N	2gram	Propp_Russ_1	Vvedenie
631	известно что	1	1
632	что здесь	1	1
633	имеет тот	1	1
634	такое название	1	1
635	долгое время	1	1
636	обратиться к	1	1
637	по поводу	1	1
638	и могут	1	1
639	и теми	1	1
640	и нужно	1	1
641	вытекает из	1	1
642	на которой	1	1
643	у разных	1	1
644	значении этого	1	1
645	еще в	4	1
646	веков в	1	1
647	того времени	1	1
648	в первой	1	1
649	все что	1	1
650	также в	3	1
651	как указывает	1	1
652	которую можно	1	1
653	иногда это	1	1
654	мы знаем	1	1
655	смысле в	1	1
656	и более	2	1
657	как видно	1	1
658	таком случае	1	1
659	размышлений и	1	1
660	что эти	1	1
661	в свою	3	1
