N	2gram	Nazirov_Tr_1	Poddanst
237	того чтобы	1	1
238	об отношении	1	1
239	не имеет	2	1
240	никогда не	2	1
241	капитализма в	1	1
242	и всегда	1	1
243	в результате	1	1
244	в отношениях	1	1
245	этом мире	1	1
246	иными словами	1	1
247	и притом	1	1
248	и первое	1	1
249	к россии	1	1
250	только что	1	1
251	с чертами	1	1
252	и теперь	1	1
253	над ним	1	1
254	из тех	1	1
255	в момент	1	1
256	в иной	1	1
257	что все	2	1
258	и жизнь	1	1
259	есть и	1	1
260	начала в	1	1
261	что оно	1	1
262	к сожалению	1	1
263	всего что	1	1
264	мы отнюдь	1	1
265	к этой	1	1
266	пришел в	1	1
267	не есть	1	1
268	вместе с	1	1
269	это в	1	1
270	что при	1	1
271	русской литературы	2	1
272	во всяком	1	1
