N	2gram	Savitsky_P_1	KFilosof
102	в некотором	1	3
103	в ней	6	3
104	единства в	1	2
105	может не	1	2
106	отношении к	5	2
107	но есть	1	2
108	же время	7	2
109	вопрос о	1	2
110	бы оно	1	2
111	говорить о	2	2
112	было и	1	2
113	прежде всего	3	2
114	думать что	2	2
115	в виде	2	2
116	в жизни	2	2
117	только это	2	2
118	жить и	1	2
119	что эта	1	2
120	того чтобы	1	2
121	по себе	4	2
122	и мы	2	2
123	с тем	3	2
124	в это	1	2
125	или иным	1	2
126	были бы	1	2
127	сводится к	3	2
128	пространство в	1	2
129	и именно	1	2
130	потому что	3	2
131	знать что	2	2
132	я и	3	2
133	что есть	1	2
134	это область	1	2
135	могут стать	1	2
136	именно на	1	2
137	тот же	3	2
138	мысль и	1	2
139	весь мир	1	2
140	еще более	2	2
141	и потому	4	2
142	не о	2	2
143	для этого	1	2
144	из нее	1	2
145	и других	2	2
146	этом мире	1	2
147	в этой	1	2
148	бытия не	1	2
149	к историческому	1	2
150	значило бы	1	2
151	поскольку она	1	2
152	и само	1	2
153	как к	1	2
154	не нужно	2	2
155	в качестве	9	2
156	с его	1	2
157	и эти	1	2
158	в области	11	2
159	как оно	1	2
160	и то	1	2
161	чтобы дать	1	2
162	или иной	1	2
163	а с	1	2
164	и как	3	2
165	ни к	1	2
166	и будущее	1	2
167	но для	1	2
168	в данном	1	2
169	реальное и	1	1
170	известном смысле	1	1
171	экономических и	1	1
172	точек зрения	2	1
173	в которой	1	1
174	и утверждается	1	1
175	и экономической	1	1
176	главным образом	2	1
177	мысли но	1	1
178	и иных	1	1
179	не относятся	1	1
180	в значительной	2	1
181	есть для	1	1
182	и с	2	1
183	сомнения что	2	1
184	во всяком	1	1
185	большинстве случаев	1	1
186	вместе с	1	1
187	с разных	1	1
188	растет в	1	1
189	ценности суть	1	1
190	культуры можно	1	1
191	области и	1	1
192	не к	2	1
193	как факт	2	1
194	и ее	1	1
195	к другим	1	1
196	и современная	1	1
197	время есть	1	1
198	исходить из	1	1
199	над ним	1	1
200	гораздо более	1	1
201	одновременно и	1	1
202	она всегда	1	1
203	по количеству	1	1
204	всего что	1	1
205	на то	1	1
206	бы что	1	1
207	и живы	1	1
208	жива и	1	1
209	настоящее время	1	1
210	тот мир	1	1
211	в большинстве	1	1
212	конечно и	1	1
213	как раз	2	1
214	в какой	1	1
215	бы ни	2	1
216	и теперь	1	1
217	история не	1	1
218	это в	1	1
219	не более	1	1
220	мир культуры	1	1
221	так называемые	2	1
222	нем в	1	1
223	действие которое	1	1
224	науки и	1	1
225	и смысла	1	1
226	с основной	1	1
227	науки они	2	1
228	между прочим	2	1
229	в мир	1	1
230	само по	1	1
231	если он	1	1
232	к пределу	1	1
233	осуществляется в	2	1
234	нет никакого	1	1
235	что уже	1	1
236	одно из	1	1
237	было с	1	1
238	уверенность что	1	1
239	же в	4	1
240	более чем	2	1
241	находятся в	1	1
242	в эту	2	1
243	всего мы	1	1
244	в пустоте	1	1
245	степени сводится	1	1
246	в отношении	10	1
247	имеют в	1	1
248	с определенной	1	1
249	культуры в	2	1
250	отношения к	2	1
251	этот выход	1	1
252	особенно в	1	1
253	а затем	1	1
254	и очень	1	1
255	относиться к	1	1
256	хотя и	3	1
257	только что	1	1
258	не с	1	1
259	в живом	1	1
260	в этих	1	1
261	к миру	1	1
262	различия между	1	1
263	и к	4	1
264	экономический материализм	1	1
265	они не	1	1
266	момент только	1	1
267	с ее	1	1
268	есть осуществление	1	1
269	и через	1	1
270	такова же	1	1
271	с которым	1	1
272	в душе	1	1
273	можно говорить	1	1
274	можно быть	1	1
275	были в	1	1
276	эта задача	1	1
277	именно как	2	1
278	мы должны	4	1
279	и о	5	1
280	но к	2	1
281	тем же	1	1
282	нужно помнить	2	1
283	находится в	1	1
284	а я	5	1
285	в предыдущем	1	1
286	в истории	1	1
287	действительный и	1	1
288	всяком случае	1	1
289	в движении	1	1
290	оно ни	1	1
291	творчества и	2	1
292	что все	1	1
293	который не	1	1
294	но о	2	1
295	приобщается к	1	1
296	одна из	2	1
297	их не	1	1
298	в настоящее	1	1
299	что именно	1	1
300	всей полноте	1	1
301	возможность не	1	1
302	в самом	1	1
303	только к	1	1
304	в иной	1	1
305	живет в	1	1
306	мысли и	1	1
307	он живет	1	1
308	мир с	1	1
309	мы видим	1	1
310	оставаясь в	1	1
311	переходит в	1	1
312	мы можем	1	1
313	и менее	1	1
314	есть попытка	1	1
315	с собой	1	1
316	она не	1	1
317	также и	1	1
318	более что	1	1
319	не просто	1	1
320	события пусть	1	1
321	из всех	1	1
322	что мы	3	1
323	с этим	2	1
324	нет ничего	1	1
325	помнить что	2	1
326	видения в	1	1
327	в различных	1	1
328	момента и	1	1
329	разрыва между	1	1
330	мире можно	1	1
331	друг друга	1	1
332	для каждого	1	1
333	из предшествующего	1	1
334	нет сомнения	1	1
335	столь же	3	1
336	имеет не	2	1
337	с которой	1	1
338	полноте и	1	1
339	культуры на	1	1
340	она должна	1	1
341	говорить об	1	1
342	в известном	1	1
343	исключительно на	1	1
344	как таковую	1	1
345	и уже	1	1
346	если мы	1	1
347	не будем	2	1
348	зрения той	1	1
349	только на	1	1
350	но где	1	1
351	в философии	1	1
352	котором говорит	1	1
353	ни на	1	1
354	разных точек	1	1
355	она может	1	1
356	есть проблема	1	1
357	мысль о	2	1
358	и живое	1	1
359	связь между	1	1
360	и по	1	1
361	как начало	1	1
362	является и	1	1
363	к следующему	1	1
364	он будет	1	1
365	мы возьмем	1	1
366	к предмету	1	1
