N	2gram	Potebnia_M_1	formyVre
293	времени с	1	2
294	слова и	4	2
295	но для	1	2
296	вне его	1	2
297	в более	4	2
298	началом и	1	2
299	и может	2	2
300	как она	3	2
301	для нас	9	2
302	мы должны	3	2
303	хотя бы	2	2
304	была бы	2	2
305	совершенно не	1	2
306	равно как	1	2
307	в свою	4	2
308	нет но	1	2
309	время не	1	2
310	в которой	2	2
311	одним из	2	1
312	до него	1	1
313	начинается с	1	1
314	он может	1	1
315	и есть	2	1
316	которое мы	2	1
317	тем же	2	1
318	об исторической	1	1
319	высшей степени	1	1
320	объясняется и	1	1
321	в зависимости	1	1
322	по его	7	1
323	или ее	1	1
324	мы имеем	1	1
325	бы в	4	1
326	именно к	1	1
327	его только	2	1
328	само слово	1	1
329	как во	2	1
330	на себе	2	1
331	не вполне	1	1
332	из того	2	1
333	что можно	3	1
334	время жизни	1	1
335	зависимости от	1	1
336	искать для	1	1
337	мы спросим	1	1
338	материала это	1	1
339	служит для	2	1
340	самом деле	1	1
341	что этого	1	1
342	то он	2	1
343	но как	3	1
344	явлений и	3	1
345	есть по	1	1
346	совершенно ясно	1	1
347	человек может	1	1
348	же мало	1	1
349	независимо от	6	1
350	только ее	1	1
351	более и	2	1
352	что касается	1	1
353	перед нами	1	1
354	в полном	2	1
355	могли бы	2	1
356	нами в	1	1
357	может получить	1	1
358	вопросом о	2	1
359	самом начале	1	1
360	себе не	1	1
361	увидим что	4	1
362	вносит в	1	1
363	он на	1	1
364	развития это	1	1
365	психологии и	1	1
366	нами явлениях	1	1
367	та же	1	1
368	что это	3	1
369	себя к	1	1
370	есть для	2	1
371	бы не	6	1
372	по которым	1	1
373	из этих	4	1
374	тоже не	1	1
375	но без	2	1
376	в этой	3	1
377	человеке и	1	1
378	но его	1	1
379	мира но	1	1
380	на то	2	1
381	не могла	2	1
382	человек не	1	1
383	не следует	5	1
384	связанные с	1	1
385	и слушающего	1	1
386	целом а	1	1
387	но вместе	2	1
388	без исключения	1	1
389	значительной степени	2	1
390	касается до	1	1
391	могла бы	2	1
392	имеют в	1	1
393	действует на	3	1
394	в мире	3	1
395	них не	2	1
396	зрения на	1	1
397	это было	1	1
398	вместе со	1	1
399	и основные	1	1
400	как высшая	1	1
401	на свои	2	1
402	и понимание	3	1
403	о которых	2	1
404	и совершается	1	1
405	бы было	2	1
406	его все	1	1
407	должно быть	7	1
408	в один	2	1
409	себе все	1	1
410	в эту	1	1
411	во время	1	1
412	и при	3	1
413	таким же	2	1
414	нас не	1	1
415	всяком случае	1	1
416	что дело	1	1
417	все духовное	1	1
418	эта жизнь	1	1
419	быть названы	2	1
420	растет и	1	1
421	и действует	1	1
422	не столько	1	1
423	они уже	1	1
424	должны были	1	1
425	что единство	2	1
426	оно должно	2	1
427	образом и	2	1
428	времен и	2	1
429	и более	2	1
430	есть еще	1	1
431	что этот	1	1
432	времени а	1	1
433	для нее	2	1
434	возвращается к	1	1
435	человека но	1	1
436	нет никакого	1	1
437	в таких	2	1
438	ничего нового	1	1
439	она не	3	1
440	виду что	1	1
441	в людях	1	1
442	из сказанного	1	1
443	но такая	2	1
444	как его	1	1
445	например что	1	1
446	него это	1	1
447	какой мы	1	1
448	которых и	2	1
449	все без	1	1
450	следовательно и	2	1
451	самой жизни	1	1
452	только проявлением	1	1
453	на те	1	1
454	ровно ничего	1	1
455	по своей	1	1
456	на природу	1	1
457	жизни как	1	1
458	это слово	1	1
459	не нужен	1	1
460	природы то	1	1
461	должно не	1	1
462	известно например	1	1
463	то должны	1	1
464	у нас	2	1
465	от их	1	1
466	поэтому не	1	1
467	эти предметы	2	1
468	про себя	1	1
469	как только	1	1
470	еще яснее	1	1
471	должны быть	7	1
472	природу человека	1	1
473	что оно	2	1
474	его с	2	1
475	себя только	2	1
476	невозможно само	1	1
477	свое значение	1	1
478	в каждом	4	1
479	такова в	1	1
480	и самое	2	1
481	значение чем	1	1
482	свою очередь	4	1
483	не подлежащих	1	1
484	служит только	1	1
485	были бы	3	1
486	и получает	1	1
487	необходимости и	2	1
488	уже с	2	1
489	так в	1	1
490	приводит к	1	1
491	существовать и	1	1
492	на том	1	1
493	и совершенно	1	1
494	в другом	1	1
495	из всего	1	1
496	ее проявление	1	1
497	было в	1	1
498	и которые	2	1
499	в последующих	1	1
500	одном и	2	1
501	оно как	1	1
502	он служит	1	1
503	оно оставляет	1	1
504	и особенности	1	1
505	смысле и	1	1
506	образом в	1	1
507	в построении	1	1
508	можно бы	4	1
509	и историческое	1	1
510	себя а	2	1
511	о том	2	1
512	внимание на	1	1
513	все прочие	1	1
514	и миром	2	1
515	находятся в	3	1
516	притом в	1	1
517	иное значение	1	1
518	затем в	1	1
519	все в	2	1
520	которой мы	1	1
521	от них	1	1
522	души к	3	1
523	какие мы	1	1
524	когда оно	1	1
525	появились и	1	1
526	всего человеческого	2	1
527	и степень	1	1
528	и только	2	1
529	необходимых для	1	1
530	а следовательно	1	1
531	наконец в	1	1
532	в теории	2	1
533	и первое	1	1
534	эти последние	1	1
535	как вдруг	1	1
536	время когда	1	1
537	жизни она	1	1
538	и представляет	1	1
539	что он	1	1
540	мы увидим	3	1
541	что даже	2	1
542	в пути	2	1
543	иначе если	1	1
544	должен быть	1	1
545	под одну	2	1
546	когда нам	1	1
547	особенности его	1	1
548	нам по	1	1
549	от оков	1	1
550	их не	1	1
551	жить и	1	1
552	на мир	1	1
553	вопрос об	3	1
554	по этому	2	1
555	что из	1	1
556	себя в	1	1
557	так что	16	1
558	переходит в	1	1
559	проникнуть в	1	1
560	с нею	4	1
561	что во	2	1
562	не произошло	1	1
563	они могли	1	1
564	или даже	3	1
565	при помощи	2	1
566	человека когда	1	1
567	из них	1	1
568	него нет	1	1
569	могло бы	3	1
570	сами по	1	1
571	произведения и	1	1
572	мы можем	2	1
573	как физические	1	1
574	бытия и	3	1
575	но уже	2	1
576	которые могут	1	1
577	человек как	1	1
578	на некоторые	1	1
579	явлений в	2	1
580	явления природы	1	1
581	ее на	1	1
582	на деле	4	1
583	эти противоречия	2	1
584	это развитие	1	1
585	это будет	2	1
586	звеном между	1	1
587	которые как	1	1
588	с другим	3	1
589	говорили все	1	1
590	все высшие	1	1
591	что человек	5	1
592	стороны он	1	1
593	никакого определенного	1	1
594	в каких	1	1
595	сама по	3	1
596	к более	1	1
597	противоречие между	1	1
598	притом не	4	1
599	то и	7	1
600	а на	1	1
601	бы назвать	1	1
602	не на	1	1
603	и легкость	1	1
604	некоторая примесь	1	1
605	и том	2	1
606	при начале	2	1
607	но есть	1	1
608	разных местах	1	1
609	особенностей и	1	1
610	если не	2	1
611	между собою	6	1
612	все более	3	1
613	начиная с	1	1
614	слагаются из	1	1
615	исходная точка	2	1
616	другу и	1	1
617	она есть	1	1
618	когда мы	2	1
619	в последнем	1	1
620	смысле этого	1	1
621	научного характера	1	1
622	в тех	1	1
623	человека то	1	1
624	самого себя	4	1
625	в словах	3	1
626	человек всегда	1	1
627	ведет не	1	1
628	в человеческом	2	1
629	все наше	1	1
630	не создает	2	1
631	этого слова	1	1
632	на самый	1	1
633	и формы	1	1
634	не предполагает	1	1
635	природу и	1	1
636	и оно	1	1
637	между прочим	2	1
638	же люди	1	1
639	последующее развитие	1	1
640	к другим	2	1
641	при всем	1	1
642	на одной	1	1
643	слова но	2	1
644	тем и	1	1
645	не существует	2	1
646	и от	3	1
647	она может	3	1
648	не подлежит	1	1
649	человека для	1	1
650	форм в	1	1
651	в данное	1	1
652	но эти	2	1
653	от него	4	1
654	к цели	1	1
655	своих произведений	1	1
656	из себя	5	1
657	не более	4	1
658	виду у	1	1
659	тем более	2	1
660	впервые появилось	1	1
661	все они	2	1
662	но всегда	2	1
663	человека не	2	1
664	все действия	1	1
665	чувств могут	1	1
666	процессы в	1	1
667	он видит	1	1
668	его к	2	1
669	с ними	1	1
670	слово в	1	1
671	этот вопрос	2	1
672	того на	1	1
673	всех других	1	1
674	остается неизменным	1	1
675	на ней	1	1
676	все упомянутые	1	1
677	где он	1	1
678	к этой	3	1
679	время с	1	1
680	в своих	4	1
