N	2gram	Tiupa_Vved_1	KFilosof
176	как к	1	2
177	в событие	1	2
178	сознания в	3	2
179	та же	1	2
180	ни одна	1	2
181	в этой	1	2
182	и тот	1	2
183	всей его	2	2
184	вследствие этого	3	2
185	как оно	2	2
186	в принципе	1	2
187	в виде	1	2
188	определяется с	1	2
189	так и	8	2
190	и мы	1	2
191	в жизни	4	2
192	кажется что	1	2
193	соответствии с	6	2
194	с тем	1	2
195	и само	1	2
196	жизни но	1	2
197	своей ответственности	1	2
198	и того	2	2
199	эти момента	1	2
200	можно ли	1	2
201	жизни является	1	2
202	тем не	3	2
203	по себе	2	2
204	случае мы	1	2
205	тому что	1	2
206	что есть	1	2
207	и время	1	2
208	дело не	1	2
209	в процессе	1	2
210	того чтобы	1	2
211	вытекает из	1	2
212	целом как	1	2
213	этом мире	1	2
214	же время	3	2
215	моменты не	1	2
216	в сознании	4	2
217	в области	3	2
218	к себе	1	2
219	пространство и	2	2
220	его с	2	2
221	бы он	1	2
222	той или	3	2
223	оно не	1	2
224	чтобы стать	2	2
225	единственном событии	1	2
226	всей своей	2	2
227	говорить о	2	2
228	котором мы	1	2
229	психический процесс	1	2
230	это только	2	2
231	сводится к	4	2
232	и та	1	2
233	своей истории	1	2
234	его жизни	1	2
235	основе своей	1	2
236	нем не	1	2
237	не со	1	2
238	и она	1	2
239	в него	1	2
240	тот же	1	2
241	дело с	2	2
242	что он	1	2
243	а с	2	2
244	всех его	1	2
245	значимость и	1	2
246	в качестве	8	2
247	его и	1	2
248	слова в	2	2
249	не о	2	2
250	течение жизни	1	2
251	или иной	3	2
252	ли это	2	2
253	было и	1	2
254	прежде всего	7	2
255	в соответствии	6	2
256	только по	1	2
257	эстетического субъекта	1	2
258	он и	2	2
259	и потому	1	2
260	его на	1	2
261	пространство в	2	2
262	быть не	4	2
263	первом плане	1	2
264	при условии	1	2
265	которой он	1	2
266	от действительного	1	2
267	это уже	1	2
268	человек и	1	2
269	еще более	1	2
270	потому что	5	2
271	отношении к	1	2
272	единственное событие	1	2
273	к этому	2	2
274	не зависит	1	1
275	также и	4	1
276	о каких	1	1
277	в движение	1	1
278	и через	1	1
279	в чужой	1	1
280	бы для	1	1
281	тем же	1	1
282	не смысл	1	1
283	и до	1	1
284	в зависимости	1	1
285	той же	1	1
286	из всех	1	1
287	нуждаются в	1	1
288	это что	1	1
289	и функция	1	1
290	именно к	1	1
291	он как	1	1
292	оба эти	1	1
293	и ее	1	1
294	в составе	2	1
295	и он	1	1
296	событие как	2	1
297	столь же	1	1
298	и мира	3	1
299	этих случаях	2	1
300	в нашем	6	1
301	как если	1	1
302	смысла который	1	1
303	как произойдет	1	1
304	смысловое единство	1	1
305	рождение и	1	1
306	определяется не	1	1
307	в истории	1	1
308	субъекта и	1	1
309	факторов и	1	1
310	хотя и	7	1
311	бы я	1	1
312	и наконец	2	1
313	и к	2	1
314	эстетический субъект	1	1
315	в этот	2	1
316	раскол между	1	1
317	в первом	2	1
318	жизни героини	1	1
319	за собой	1	1
320	в самом	2	1
321	из жизни	2	1
322	т.п но	1	1
323	и принять	1	1
324	данном контексте	1	1
325	на то	1	1
326	жизнью и	1	1
327	на его	1	1
328	что она	1	1
329	не следует	3	1
330	задний план	1	1
331	перестает быть	1	1
332	не к	4	1
333	и утверждается	1	1
334	содержит в	1	1
335	эти отвлеченные	1	1
336	их в	2	1
337	другого мира	1	1
338	и по	3	1
339	на этом	1	1
340	возможно это	1	1
341	значительной степени	1	1
342	этом последнем	1	1
343	том же	1	1
344	же не	1	1
345	об этом	4	1
346	и с	2	1
347	оно становится	1	1
348	то есть	8	1
349	в единую	1	1
350	сознание может	1	1
351	и иных	1	1
352	он есть	1	1
353	практически не	1	1
354	должен был	1	1
355	значимости и	1	1
356	это ее	1	1
357	видения в	1	1
358	смерть и	1	1
359	же пространство	2	1
360	все равно	2	1
361	этого не	1	1
362	одна и	1	1
363	несмотря на	1	1
364	и было	1	1
365	эти миры	1	1
366	не мог	1	1
367	в этих	3	1
368	от своего	1	1
369	всяком случае	1	1
370	которого является	1	1
371	его мире	1	1
372	от времени	1	1
373	в моей	1	1
374	сам же	1	1
375	но он	1	1
376	имеет смысл	2	1
377	новое и	1	1
378	в отношении	1	1
379	его полноте	1	1
380	все для	1	1
381	с которой	1	1
382	как о	2	1
383	одна из	4	1
384	между жизнью	1	1
385	к другим	1	1
386	из их	1	1
387	но только	1	1
388	не могло	2	1
389	а тот	1	1
390	которые могут	1	1
391	жизни не	1	1
392	до их	1	1
393	находятся в	1	1
394	вследствие того	1	1
395	между прочим	1	1
396	по своей	3	1
397	определения как	1	1
398	вместо того	2	1
399	мире и	1	1
400	и теперь	1	1
401	в действительную	1	1
402	не является	3	1
403	точке зрения	1	1
404	ни о	1	1
405	только от	1	1
406	в живой	1	1
407	единство возможных	1	1
408	и времени	2	1
409	на границе	1	1
410	есть только	1	1
411	зависимости от	1	1
412	к тому	6	1
413	собственных имен	1	1
414	имеет место	4	1
415	к любви	1	1
416	свою позицию	2	1
417	оно может	1	1
418	если мы	1	1
419	и о	1	1
420	с ее	1	1
421	что все	1	1
422	свою очередь	4	1
423	но при	5	1
424	возможное смысловое	1	1
425	и от	2	1
426	характер и	1	1
427	мысль о	1	1
428	и автора	1	1
429	она только	1	1
430	приводит к	2	1
431	и иные	1	1
432	как с	1	1
433	на том	1	1
434	что может	1	1
435	и человеческого	1	1
436	с собой	1	1
437	не с	3	1
438	здесь как	1	1
439	особенно в	1	1
440	мог бы	1	1
441	участия в	2	1
442	осуществляется в	1	1
443	и мыслится	1	1
444	в настоящее	1	1
445	и даже	1	1
446	гарантирует возможное	1	1
447	того мира	1	1
448	смысл бытия	1	1
449	настоящее время	1	1
450	в математике	1	1
451	можно сказать	4	1
452	в значительной	1	1
453	в конечном	1	1
454	и вследствие	2	1
455	а во	1	1
456	и смысловой	1	1
457	тем или	1	1
458	от них	1	1
459	во втором	2	1
460	полагать что	1	1
461	сказать и	1	1
462	не тот	1	1
463	человека как	1	1
464	в жизнь	1	1
465	объектов и	1	1
466	в литературе	2	1
467	один из	3	1
468	но с	1	1
469	мы видим	1	1
470	в какой	4	1
471	не само	1	1
472	субъекта в	1	1
473	событийности но	1	1
474	и так	1	1
475	поэтому и	1	1
476	не случаен	1	1
477	их не	1	1
478	а только	1	1
479	бы возникнуть	1	1
480	не можем	2	1
481	только на	1	1
482	время является	1	1
483	и чисто	1	1
484	мир и	1	1
485	а то	2	1
486	в данной	2	1
487	конечном счете	1	1
488	только к	1	1
489	только одно	1	1
490	мир не	1	1
491	него нет	1	1
492	себе в	1	1
493	мир так	1	1
494	ее не	2	1
495	может служить	4	1
496	мы можем	2	1
497	к человеку	1	1
498	само по	1	1
499	как раз	2	1
500	своей событийности	1	1
501	это будет	1	1
502	никогда и	1	1
503	точек зрения	2	1
504	и т.п	9	1
505	осмысления и	1	1
506	этом пути	1	1
507	а именно	1	1
508	или просто	1	1
509	и др	1	1
510	но о	2	1
511	и затем	1	1
512	нового времени	3	1
513	противном случае	1	1
514	превращается в	1	1
515	един и	1	1
516	зависит от	2	1
517	человеческой жизни	3	1
518	субъекта автора	1	1
519	его индивидуальных	1	1
520	это весь	1	1
521	что мы	2	1
522	здесь именно	1	1
523	стороны в	1	1
524	связь с	1	1
525	нет ничего	1	1
526	вместе с	1	1
527	к его	3	1
528	смысл который	2	1
529	картина мира	12	1
530	себе самому	1	1
531	в духе	1	1
532	в историю	2	1
533	о возможности	1	1
534	смысла своей	1	1
535	из которых	1	1
536	к бытию	1	1
537	ли его	1	1
538	момент как	1	1
539	его смысловой	1	1
540	в мир	1	1
541	возможных суждений	1	1
542	в первой	1	1
543	бытию а	1	1
544	время есть	1	1
545	слова и	1	1
546	события а	1	1
547	жизни его	1	1
548	как таковой	1	1
549	же самое	1	1
550	в противном	1	1
551	сознания это	1	1
552	не сумел	2	1
553	одного и	1	1
554	и пространства	1	1
555	и сама	1	1
556	но такой	1	1
557	при таком	1	1
558	для событийного	1	1
559	не существует	2	1
560	она может	1	1
561	не подлежит	1	1
562	или в	1	1
563	имеет дело	1	1
564	а к	3	1
565	но где	1	1
566	в третьем	1	1
567	мы должны	1	1
568	не непосредственно	1	1
569	только что	1	1
570	все они	2	1
571	или не	2	1
572	же в	1	1
573	но оно	1	1
574	своих поступках	1	1
575	требует чтобы	1	1
576	границу между	1	1
577	между ними	1	1
578	другой в	1	1
579	того же	1	1
580	является и	1	1
581	жизни а	1	1
582	все люди	1	1
583	первом случае	1	1
584	культуры в	1	1
585	элементов из	1	1
586	но эти	1	1
587	в искусстве	1	1
588	по поводу	2	1
589	не превращается	1	1
590	который не	1	1
591	гораздо более	1	1
592	во всяком	1	1
593	все что	3	1
594	они не	1	1
