N	2gram	Vinokur_St_3	OGranits
173	в некоторых	3	1
174	шансов на	1	1
175	как известно	1	1
176	на основе	2	1
177	в собственном	1	1
178	последнее время	1	1
179	произведений которые	1	1
180	ту же	1	1
181	и до	1	1
182	с языком	1	1
183	собственном смысле	1	1
184	на том	1	1
185	в образе	1	1
186	можно было	1	1
187	в нескольких	1	1
188	особенно в	1	1
189	поэтическому сознанию	1	1
190	значения как	1	1
191	здесь нет	2	1
192	на материале	1	1
193	мы имеем	5	1
194	и о	1	1
195	но у	1	1
196	мы в	1	1
197	вопрос о	1	1
198	темы в	1	1
199	стиля в	1	1
200	другое дело	3	1
201	для этого	2	1
202	из одного	1	1
203	по себе	1	1
204	по мере	1	1
205	которая связана	1	1
206	но может	1	1
207	подхода к	1	1
208	и над	1	1
209	на себя	1	1
210	с ее	2	1
211	и который	1	1
212	событий и	1	1
213	ему в	1	1
214	этого термина	2	1
215	то это	1	1
216	приближается к	1	1
217	не совсем	2	1
218	или только	1	1
219	и он	1	1
220	в каждой	2	1
221	с большим	1	1
222	внимание на	2	1
223	и что	3	1
224	отдельном случае	1	1
225	еще не	2	1
226	времени в	1	1
227	является таким	1	1
228	тем как	2	1
229	то мы	1	1
230	жизни он	1	1
231	к нему	4	1
232	на самом	1	1
233	но не	2	1
234	а у	2	1
235	то он	2	1
236	борьба с	2	1
237	отношение к	4	1
238	отметить что	5	1
239	нет и	2	1
240	на то	5	1
241	каждом отдельном	1	1
242	которая и	1	1
243	объясняется только	1	1
244	сказался в	1	1
245	в истории	1	1
246	говоря даже	1	1
247	в одной	2	1
248	и последнее	1	1
249	статье о	1	1
250	в своем	1	1
251	выборе темы	2	1
252	по своей	1	1
253	что касается	7	1
254	один из	2	1
255	пушкина или	1	1
256	моменты в	1	1
257	и как	1	1
258	стиль в	1	1
259	этого материала	1	1
260	его к	2	1
261	одной из	2	1
262	что он	19	1
263	более или	1	1
264	на родную	1	1
265	течение всей	2	1
266	чем его	1	1
267	который в	1	1
268	в значительной	1	1
269	в выражении	1	1
270	со всеми	1	1
271	так в	1	1
272	в этой	14	1
273	и стилистически	1	1
274	для всех	1	1
275	остановиться на	1	1
276	в дальнейшем	1	1
277	элементов в	1	1
278	сюда относятся	2	1
279	и тот	2	1
280	не имеющие	1	1
281	эпохи но	1	1
282	с одним	1	1
283	конечно не	1	1
284	литературы в	1	1
285	можно установить	1	1
286	не можем	1	1
287	и у	2	1
288	себя и	2	1
289	первое и	1	1
290	и если	3	1
291	к слову	2	1
292	является не	1	1
293	что она	1	1
294	не из	1	1
295	в статье	2	1
296	и других	2	1
297	же объясняется	1	1
298	одно из	2	1
299	и социальной	1	1
300	состоит в	4	1
301	в виде	3	1
302	содержания и	1	1
303	и один	1	1
304	в конце	6	1
305	и язык	1	1
306	но что	1	1
307	на этом	3	1
308	говорит следующее	1	1
309	даже и	1	1
310	для того	2	1
311	к г	2	1
312	как напр	1	1
313	в особенности	4	1
314	что такой	1	1
315	в чисто	2	1
316	бы быть	1	1
317	один этап	1	1
318	имеет и	1	1
319	и здесь	3	1
320	его в	1	1
321	понятие об	1	1
322	материала к	1	1
323	ко второму	1	1
324	которая как	1	1
325	к которому	3	1
326	в предисловии	2	1
327	представляет собою	2	1
328	заключается в	2	1
329	между отдельными	1	1
330	системы и	1	1
331	еще одно	1	1
332	в живом	1	1
333	что мы	3	1
334	только одно	1	1
335	к более	1	1
336	этом мы	1	1
337	нужно сказать	2	1
338	о которых	3	1
339	не было	4	1
340	широко пользуется	1	1
341	известно еще	1	1
342	которые не	1	1
343	он и	2	1
344	не дан	1	1
345	все время	2	1
346	долгое время	1	1
347	как социальная	1	1
348	отражается в	1	1
349	должно быть	1	1
350	этого произведения	1	1
351	такой же	2	1
352	и тогда	2	1
353	если не	1	1
354	хх века	1	1
355	или менее	1	1
356	которую он	2	1
357	вступает в	1	1
358	связь с	4	1
359	отчасти в	1	1
360	внимания к	1	1
361	эти слова	1	1
362	за незначительными	1	1
363	художественного творчества	1	1
364	к истории	1	1
365	но там	1	1
366	в такой	2	1
367	теперь к	1	1
368	то можно	1	1
369	напр в	1	1
370	в которых	2	1
371	быть это	3	1
372	предисловии к	2	1
373	он говорит	4	1
374	на три	1	1
375	это произведение	3	1
376	здесь он	1	1
377	к этому	3	1
378	такого рода	5	1
379	должно было	1	1
380	тому как	1	1
381	вырос органически	1	1
382	тем не	2	1
383	в эпоху	1	1
384	такие явления	1	1
385	и более	3	1
386	своего времени	2	1
387	только одного	1	1
388	в последнем	2	1
389	т.е на	1	1
390	соответствующего материала	1	1
391	быть не	2	1
392	это особенно	2	1
393	времени эта	1	1
394	этого слова	2	1
395	что такое	7	1
396	в контексте	1	1
397	тому что	3	1
398	нет никакого	3	1
399	до конца	3	1
400	вплоть до	1	1
401	но это	4	1
402	о значении	1	1
403	и оно	1	1
404	в начале	4	1
405	точно и	1	1
406	в то	7	1
407	как о	2	1
408	хуже для	1	1
409	например у	1	1
410	одна из	2	1
411	к новым	1	1
412	форме в	1	1
413	напр у	1	1
414	связанная с	1	1
415	того чтобы	1	1
416	иметь в	1	1
417	порядка не	1	1
418	при таком	1	1
419	формы и	1	1
420	в разных	1	1
421	или в	2	1
422	найти в	2	1
423	пр с	1	1
424	того как	1	1
425	в самой	1	1
426	же время	3	1
427	или как	1	1
428	находит свое	3	1
429	поэзии в	3	1
430	мыслей и	1	1
431	тем более	3	1
432	вообще в	1	1
433	властью и	1	1
434	сложнее и	1	1
435	а лишь	1	1
436	это слово	3	1
437	только что	2	1
438	потому что	5	1
439	песенного типа	1	1
440	связи с	3	1
441	поэтической формы	1	1
442	своей статье	1	1
443	для анализа	1	1
444	и серьезную	1	1
445	до того	1	1
446	в системе	3	1
447	этом отношении	4	1
448	тесно связана	3	1
449	об этом	5	1
450	тем хуже	1	1
451	от первого	1	1
452	не знает	1	1
453	сказать что	4	1
454	речи и	1	1
455	видим у	1	1
456	в поэтическом	1	1
457	работы и	1	1
458	все то	1	1
459	мы здесь	1	1
460	его мышления	1	1
461	его общественного	1	1
462	и именно	1	1
463	так рождается	1	1
464	когда мы	1	1
465	на очень	1	1
466	с его	3	1
467	произведения и	2	1
468	же самое	1	1
469	всего в	4	1
470	вместе с	2	1
471	поэтики в	1	1
472	например в	4	1
473	г о	1	1
474	лексические и	1	1
475	бы подумать	1	1
476	этой точки	1	1
477	они не	1	1
