N	2gram	Bakhtin_sl_1	VrazhdaK
283	в другой	2	1
284	романа в	3	1
285	в литературе	1	1
286	один из	4	1
287	но с	1	1
288	романа и	5	1
289	которым он	1	1
290	ли он	4	1
291	во всем	1	1
292	в литературу	1	1
293	сложности и	1	1
294	того который	1	1
295	в качестве	3	1
296	же он	1	1
297	себя в	9	1
298	сколько в	1	1
299	время по	1	1
300	практике его	1	1
301	в душе	1	1
302	к своим	1	1
303	что для	1	1
304	ни с	1	1
305	с различными	3	1
306	в известной	2	1
307	в одном	2	1
308	друг друга	3	1
309	каждый из	1	1
310	не просто	1	1
311	от того	1	1
312	в особенности	8	1
313	и речи	2	1
314	с другой	5	1
315	именно в	3	1
316	и крайняя	1	1
317	прежде всего	8	1
318	только по	1	1
319	в стиле	1	1
320	на этот	1	1
321	до конца	12	1
322	и самый	1	1
323	романа однако	1	1
324	общего мнения	8	1
325	мнение о	2	1
326	с помощью	1	1
327	нет ничего	1	1
328	в частности	2	1
329	роман не	1	1
330	п и	1	1
331	этого типа	2	1
332	того что	3	1
333	хотя он	1	1
334	был в	1	1
335	в свое	3	1
336	известном смысле	2	1
337	в условиях	2	1
338	сих пор	2	1
339	в основном	3	1
340	между прочим	1	1
341	ближе к	1	1
342	более того	3	1
343	лежал в	1	1
344	которых он	1	1
345	и от	4	1
346	и другими	1	1
347	такое понимание	2	1
348	о котором	1	1
349	работы над	1	1
350	хотя и	2	1
351	бы в	1	1
352	еще более	5	1
353	отношении к	6	1
354	нем самом	1	1
355	о своем	1	1
356	быть и	4	1
357	родстве с	1	1
358	только как	1	1
359	другой стороны	4	1
360	они как	2	1
361	героев романа	2	1
362	больших и	1	1
363	автора в	2	1
364	бы его	2	1
365	из этого	3	1
366	сам в	1	1
367	жизни и	1	1
368	помощью которых	1	1
369	который не	1	1
370	как на	1	1
371	в таком	1	1
372	все что	1	1
373	они не	1	1
374	он часто	1	1
