N	2gram	Savitsky_P_1	Freidism
148	притом в	1	2
149	этих двух	1	2
150	что и	1	2
151	во всей	2	2
152	также в	1	2
153	мир в	1	2
154	мы видим	1	2
155	в какой	1	2
156	может оказаться	1	2
157	с одной	3	2
158	уже в	1	2
159	только на	1	2
160	из них	2	2
161	в прошлом	1	2
162	с другой	5	2
163	и тех	1	2
164	в психологии	1	2
165	а с	1	2
166	них и	1	2
167	одной стороны	3	2
168	а не	2	2
169	что мы	3	2
170	так же	1	2
171	в развитии	1	2
172	в основном	1	2
173	к другим	1	2
174	для нас	2	2
175	да и	2	2
176	из тех	1	2
177	есть и	1	2
178	и другие	1	2
179	как на	2	2
180	они не	1	2
181	можно говорить	1	1
182	и т	3	1
183	же как	1	1
184	и через	1	1
185	за то	1	1
186	и вслед	1	1
187	века в	1	1
188	целому ряду	1	1
189	которую мы	2	1
190	вопрос о	1	1
191	оно есть	1	1
192	мы и	1	1
193	конечно и	1	1
194	большей степени	4	1
195	что по	1	1
196	время в	2	1
197	что его	1	1
198	жить и	1	1
199	них самих	1	1
200	в качестве	9	1
201	взять на	1	1
202	к сожалению	1	1
203	в истории	1	1
204	что во	1	1
205	вот как	1	1
206	пути в	2	1
207	кто не	1	1
208	бы и	1	1
209	и культурного	1	1
210	наше сознание	1	1
211	по преимуществу	1	1
212	сложной и	1	1
213	только один	1	1
214	этот вывод	1	1
215	на то	1	1
216	если он	1	1
217	в наших	1	1
218	по-видимому не	2	1
219	что было	1	1
220	т д	1	1
221	области и	1	1
222	идеи и	1	1
223	свои собственные	1	1
224	основные черты	1	1
225	ее по	1	1
226	а затем	1	1
227	она оказывается	1	1
228	из всех	1	1
229	этого отношения	1	1
230	этом смысле	1	1
231	и тем	2	1
232	на свои	1	1
233	для них	2	1
234	далеко не	1	1
235	были в	1	1
236	рождается и	1	1
237	и без	3	1
238	не к	2	1
239	совершенно новое	1	1
240	творчества и	2	1
241	друг другу	2	1
242	и эти	1	1
243	чтобы это	1	1
244	иной раз	1	1
245	гораздо большей	4	1
246	в идеологическом	1	1
247	ведущий от	1	1
248	друг друга	1	1
249	тогда когда	1	1
250	она ни	2	1
251	на путях	4	1
252	то главным	1	1
253	они являются	1	1
254	это сделать	1	1
255	как высшее	1	1
256	составляющих ее	1	1
257	помимо воли	1	1
258	бытия не	1	1
259	и здесь	1	1
260	мы все	1	1
261	всего что	1	1
262	по сравнению	2	1
263	характер этого	1	1
264	и это	2	1
265	и которая	1	1
266	у одних	1	1
267	совершенно ясно	1	1
268	как по	1	1
269	мысль о	2	1
270	в мире	2	1
271	на нее	1	1
272	на заре	1	1
273	построений –	1	1
274	не с	1	1
275	ясно что	1	1
276	культуры на	1	1
277	с собой	1	1
278	в результате	1	1
279	– совокупность	1	1
280	в эпоху	1	1
281	что некоторая	1	1
282	находится в	1	1
283	а также	4	1
284	в сфере	2	1
285	в которую	2	1
286	русской литературы	1	1
287	реальность в	1	1
288	мы вполне	1	1
289	оставаясь в	1	1
290	разрыва между	1	1
291	два основных	1	1
292	и быть	1	1
293	бы ни	2	1
294	сохранить и	1	1
295	есть в	2	1
296	говорить об	1	1
297	эти черты	1	1
298	также и	1	1
299	в виде	2	1
300	в ином	1	1
301	и других	2	1
302	кульминационный пункт	1	1
303	одно из	1	1
304	в случаях	1	1
305	не хотим	1	1
306	и только	1	1
307	других же	1	1
308	без того	1	1
309	всецело к	1	1
310	или иной	1	1
311	точек зрения	2	1
312	государство и	1	1
313	и чем	1	1
314	именно в	2	1
315	как ни	1	1
316	в свете	1	1
317	отнюдь не	2	1
318	м ы	1	1
319	там где	1	1
320	случаев только	1	1
321	эту эпоху	1	1
322	все основные	1	1
323	из мира	1	1
324	к сохранению	1	1
325	сравнению с	1	1
326	и страсти	1	1
327	связаны с	1	1
328	этого сделать	1	1
329	распадается на	1	1
330	к следующему	1	1
331	мира с	2	1
332	в это	1	1
333	или хотя	1	1
334	в гораздо	4	1
335	не будем	2	1
336	в смысле	6	1
337	в недрах	2	1
338	но на	1	1
339	об отношении	1	1
340	чтобы понять	1	1
341	есть область	1	1
342	еще более	2	1
343	тем более	2	1
344	же в	4	1
345	в различных	1	1
346	в том	9	1
347	любовь и	1	1
348	отношении к	5	1
349	может и	2	1
350	нет ничего	1	1
351	весь мир	1	1
352	путь ведущий	1	1
353	знаем и	1	1
354	в иной	1	1
355	сохранению и	1	1
356	который не	1	1
357	видим в	1	1
358	гораздо более	1	1
