N	2gram	Potebnia_M_3	VrazhdaK
395	только как	5	1
396	другой стороны	4	1
397	следует искать	1	1
398	ему но	1	1
399	сам в	1	1
400	ясно отношение	1	1
401	жизни и	2	1
402	как на	5	1
403	в таком	3	1
404	точно так	12	1
405	все что	4	1
