N	2gram	Bakhtin_sl_2	VelikijI
254	к ним	1	1
255	на котором	2	1
256	утверждению в	1	1
257	и остается	3	1
258	и два	1	1
259	указать на	1	1
260	но она	2	1
261	и от	3	1
262	карамазова и	1	1
263	мира и	5	1
264	это как	1	1
265	ничего не	1	1
266	человек и	14	1
267	того как	2	1
268	может быть	37	1
269	она с	1	1
270	в русском	1	1
271	вообще в	1	1
272	во всем	4	1
273	это слово	1	1
274	в новых	2	1
275	на него	2	1
276	в сознании	1	1
277	наших дней	1	1
278	звучит в	1	1
279	жизни в	2	1
280	может и	2	1
281	в образах	1	1
282	другой стороны	1	1
283	слова очень	1	1
284	его нужно	2	1
285	него то	1	1
286	идея в	1	1
287	возможно в	1	1
288	ставит в	1	1
289	но все	5	1
290	и могли	1	1
291	к этому	1	1
292	от слова	1	1
293	ли они	1	1
294	всего что	1	1
295	и другие	2	1
296	в своих	1	1
297	слова с	4	1
298	в процессе	13	1
299	себя и	4	1
300	она не	6	1
301	они не	2	1
