N	2gram	Nazirov_Vr_1	Hudozhes
256	во многих	1	1
257	в момент	2	1
258	с героем	1	1
259	соответствии с	1	1
260	иными словами	1	1
261	преступлении и	1	1
262	может как	1	1
263	не имеет	1	1
264	уже по	1	1
265	периоды его	1	1
266	они не	1	1
267	мнения о	1	1
268	говорилось выше	1	1
269	писателей но	2	1
270	с которым	2	1
271	можно говорить	1	1
272	до того	1	1
273	при виде	1	1
274	тем это	1	1
275	что из	1	1
276	с такими	1	1
277	нельзя не	1	1
278	и от	1	1
279	что достоевский	4	1
280	да и	1	1
281	е годы	1	1
282	известном смысле	1	1
283	вышел в	1	1
284	тому же	1	1
285	один из	1	1
286	в истории	4	1
287	на основе	2	1
288	никогда не	2	1
289	все это	4	1
290	и даже	6	1
291	вопросу о	1	1
292	едва ли	1	1
293	это было	1	1
294	не могли	1	1
295	между прочим	1	1
296	судьбы они	1	1
297	в особенности	1	1
298	человека как	1	1
299	не всегда	1	1
300	от нас	1	1
301	и страшно	1	1
302	можно признать	1	1
303	в котором	6	1
304	сговор с	1	1
305	этот закон	1	1
306	же как	2	1
307	том же	2	1
308	всего романа	1	1
309	к ним	2	1
310	содержания в	1	1
311	вошел в	1	1
312	ему и	1	1
313	живет в	1	1
314	в полной	1	1
315	и наказании	1	1
316	по крайней	1	1
317	так он	1	1
318	героя в	1	1
319	у достоевского	4	1
320	также и	1	1
321	из своего	1	1
322	автора в	1	1
323	не просто	1	1
324	свое место	1	1
325	или а	1	1
326	писал об	1	1
327	новая форма	1	1
328	к реальному	1	1
329	на них	1	1
330	в своих	4	1
331	той же	1	1
332	быть и	1	1
333	в известном	2	1
334	по его	1	1
335	ему не	1	1
336	одну из	1	1
337	время и	2	1
338	ее не	1	1
339	со мной	1	1
340	же в	2	1
341	в каком	1	1
342	тургенева в	7	1
343	и есть	1	1
344	человека но	1	1
345	на свое	1	1
346	было бы	1	1
347	одному из	1	1
348	и эстетический	1	1
349	точно так	1	1
350	на нее	1	1
351	из них	2	1
352	в соответствии	1	1
353	сложности и	1	1
354	в литературной	1	1
355	этого в	1	1
356	все что	1	1
357	героев и	1	1
358	он уже	1	1
359	он и	1	1
360	не есть	1	1
361	для публики	1	1
