N	2gram	Nazirov_Tr_1	Dialekti
272	человек не	1	1
273	он не	2	1
274	что же?	2	1
275	и еще	1	1
276	и совершенно	1	1
277	что нужно	1	1
278	содержит в	1	1
279	никому не	1	1
280	же не	1	1
281	да неужто	1	1
282	конечно в	1	1
283	и чтобы	1	1
284	на ту	1	1
285	его в	2	1
286	обоих случаях	1	1
287	времени так	1	1
288	отца и	2	1
289	не встречает	1	1
290	данном случае	2	1
291	новое уже	1	1
292	веки веков	1	1
293	всю жизнь	1	1
294	для чего	1	1
295	ведет к	1	1
296	же я	1	1
297	но я	1	1
298	которую я	1	1
299	почти не	1	1
300	с своими	1	1
301	знает и	1	1
302	в отличие	2	1
303	миф о	1	1
304	понятно что	1	1
305	сама собой	1	1
306	сам же	1	1
307	я скажу	1	1
308	но он	1	1
309	что сам	1	1
310	того кто	1	1
311	истории по	1	1
312	чтобы сохранить	1	1
313	вплоть до	1	1
314	в обоих	1	1
315	это странное	1	1
316	он еще	1	1
317	сорвался с	1	1
318	не вызывает	1	1
319	нельзя ли	1	1
320	это мы	1	1
321	и всегда	1	1
322	одна из	2	1
323	или как	1	1
324	и теперь	1	1
325	связи с	1	1
326	но теперь	1	1
327	это уже	2	1
328	день не	1	1
329	ну а	1	1
330	к себе	1	1
331	значение только	1	1
332	в духе	1	1
333	его за	2	1
334	жизнью и	2	1
335	и чужой	1	1
336	всего что	1	1
337	мы отнюдь	1	1
338	быть отнесены	1	1
339	всегда будет	1	1
340	с образом	1	1
341	как мы	1	1
342	всего этого	1	1
343	в голову	1	1
344	в дальнейшем	5	1
345	его самого	1	1
346	природе своей	1	1
347	можно было	1	1
348	больше в	1	1
349	было в	2	1
350	по природе	1	1
351	я знаю	1	1
352	в последней	1	1
353	быть может	1	1
354	собою но	1	1
355	перед собою	1	1
356	говорил что	1	1
357	ними как	1	1
358	и здесь	2	1
359	и должно	1	1
360	достоевского бесы	1	1
361	с одной	1	1
362	после того	1	1
363	мы понимаем	1	1
364	к нему	3	1
365	доходит до	1	1
366	событий и	1	1
367	вполне ясно	1	1
368	все в	1	1
369	к личности	1	1
370	все время	1	1
371	и она	1	1
372	у которого	1	1
373	он стал	1	1
374	то для	1	1
375	с другим	1	1
376	даже если	2	1
377	именно на	1	1
378	на всем	2	1
379	уже в	3	1
380	так можно	1	1
381	в понятие	1	1
382	в душе	2	1
383	одно из	1	1
384	не так	2	1
385	так вы	1	1
386	в конце	3	1
387	чтобы она	1	1
388	не для	1	1
389	с этими	1	1
390	ее не	1	1
391	как его	1	1
392	не из	1	1
393	и вместе	1	1
394	к ее	1	1
395	и знает	1	1
396	только к	2	1
397	естественно что	1	1
398	только по	1	1
399	понимаем что	1	1
400	на этот	1	1
401	до конца	2	1
402	он вполне	1	1
403	и далее	1	1
404	в связи	1	1
405	я хочу	1	1
406	ни за	1	1
407	до этого	1	1
408	ко всем	1	1
409	больное место	1	1
410	видит в	1	1
411	наряду с	1	1
412	в той	1	1
413	и сорвался	1	1
414	мира сего	1	1
415	это его	1	1
416	на вид	1	1
417	и которое	1	1
418	в это	2	1
419	прощение и	1	1
420	этом случае	1	1
421	в недрах	1	1
422	является ли	1	1
423	не является	1	1
424	и от	1	1
425	в силах	2	1
426	есть такая	1	1
427	из себя	1	1
428	все события	1	1
429	конце концов	1	1
430	гораздо больше	1	1
431	жизни в	1	1
432	в романе	10	1
433	о красе	1	1
434	из тех	1	1
435	не быть	1	1
436	в реальный	1	1
437	в глаза	2	1
438	что под	1	1
439	это она	1	1
440	я и	1	1
441	а я	5	1
442	о себе	1	1
443	вдруг с	1	1
444	во сне	2	1
