N	2gram	Potebnia_M_3	Tragedij
114	как у	1	2
115	ничего не	1	2
116	и здесь	1	2
117	о том	2	2
118	в глаза	1	2
119	теперь и	1	2
120	что и	13	2
121	даже на	1	2
122	бросается в	1	2
123	в том	32	2
124	который в	1	2
125	между этими	1	2
126	и ее	1	2
127	уже не	6	2
128	в виде	2	2
129	в душе	10	2
130	в известной	1	2
131	в одном	2	2
132	друг друга	3	2
133	на меня	1	2
134	тем что	7	2
135	чем он	1	2
136	в самую	1	2
137	ребенка в	1	2
138	под влиянием	1	2
139	было в	1	2
140	в данном	1	2
141	еще раз	2	2
142	в силах	1	2
143	от всего	3	2
144	потому что	46	2
145	этим объясняется	1	2
146	по поводу	4	2
147	в таком	3	2
148	точно так	12	2
149	нельзя же	2	1
150	я и	3	1
151	а между	2	1
152	ли мы	1	1
153	и т	5	1
154	одним из	1	1
155	например в	6	1
156	в сфере	1	1
157	человека и	5	1
158	сам по	5	1
159	самом деле	2	1
160	к своей	1	1
161	это и	2	1
162	на деле	5	1
163	и есть	3	1
164	что когда	1	1
165	в мыслях	1	1
166	должна быть	1	1
167	мать и	1	1
168	не думает	1	1
169	той же	2	1
170	то для	2	1
171	не встречает	1	1
172	которую я	1	1
173	в шутку	1	1
174	совершает в	1	1
175	господствует над	2	1
176	образами в	1	1
177	что уже	2	1
178	исследования в	1	1
179	не вполне	1	1
180	ему в	2	1
181	в разговоре	2	1
182	в виду	1	1
183	в ней	8	1
184	было до	1	1
185	встречается в	1	1
186	без которой	1	1
187	быть в	1	1
188	в чем	3	1
189	во всех	1	1
190	мысль что	1	1
191	не исчерпываются	1	1
192	но не	7	1
193	но как	2	1
194	в голове	1	1
195	тогда как	2	1
196	за пределы	2	1
197	в настоящем	1	1
198	чем же	1	1
199	в истории	1	1
200	вызывает в	1	1
201	что именно	4	1
202	своей и	1	1
203	что ее	1	1
204	мысль о	5	1
205	и наконец	2	1
206	роль играет	1	1
207	то в	1	1
208	со своей	2	1
209	в которой	3	1
210	при создании	2	1
211	сливается с	2	1
212	бы не	4	1
213	право на	1	1
214	всем моим	1	1
215	и отношения	1	1
216	имеет для	3	1
217	только один	2	1
218	говорит не	1	1
219	как он	1	1
220	не могла	2	1
221	человек не	2	1
222	и если	2	1
223	что без	1	1
224	форму то	2	1
225	так сказать	2	1
226	перестает быть	4	1
227	ее наслаждение	1	1
228	сознает свою	1	1
229	которым человек	1	1
230	к одному	5	1
231	не к	4	1
232	не как	2	1
233	теперь еще	1	1
234	и по	4	1
235	с сознанием	2	1
236	таким образом	14	1
237	от нее	2	1
238	но без	2	1
239	повторяет в	1	1
240	здесь мы	1	1
241	с криком	1	1
242	правда что	1	1
243	за то	1	1
244	конечно в	1	1
245	на ту	1	1
246	на все	2	1
247	не нашел	2	1
248	лишь в	1	1
249	это было	3	1
250	заключается в	1	1
251	быть не	2	1
252	а это	1	1
253	области возможного	1	1
254	в них	5	1
255	этого не	3	1
256	которой он	1	1
257	и вне	1	1
258	для чего	1	1
259	образ на	1	1
260	стороне я	2	1
261	с такой	1	1
262	нет своего	1	1
263	есть такая	2	1
264	но если	1	1
265	и при	4	1
266	в своей	2	1
267	в такой	1	1
268	во времена	2	1
269	в котором	4	1
270	доставляет удовольствие	1	1
271	не столько	2	1
272	что сердце	1	1
273	миф о	1	1
274	по самой	1	1
275	понятно что	1	1
276	стало быть	1	1
277	и вот	1	1
278	начнем с	1	1
279	но он	1	1
280	тем не	3	1
281	на мысль	4	1
282	речи в	1	1
283	это чувство	1	1
284	с такими	1	1
285	того кто	1	1
286	по себе	16	1
287	тому что	3	1
288	и прозе	1	1
289	перед собою	2	1
290	не менее	5	1
291	что эта	2	1
292	она не	2	1
293	вместе и	5	1
294	отнимает у	1	1
295	на котором	2	1
296	того как	4	1
297	ее души	1	1
298	как его	1	1
299	например что	1	1
300	тогда и	3	1
301	как много	1	1
302	но только	2	1
303	значение этого	1	1
304	он с	1	1
305	только не	2	1
306	судя по	1	1
307	символическое значение	1	1
308	и притом	2	1
309	к ней	5	1
310	для нас	20	1
311	и теперь	6	1
312	связи с	2	1
313	не нужен	1	1
314	без слов	4	1
315	что на	1	1
316	в области	2	1
317	и далее	1	1
318	значение только	2	1
319	могут быть	3	1
320	сходство с	1	1
321	свою личную	1	1
322	что оно	11	1
323	его с	2	1
324	и т.д	1	1
325	всего что	1	1
326	ее собственной	1	1
327	указывает на	6	1
328	не есть	17	1
329	что при	3	1
330	самом общем	1	1
331	любовь в	1	1
332	на нечто	1	1
333	как мы	7	1
334	и о	2	1
335	того чтобы	3	1
336	с каким	2	1
337	в душу	1	1
338	слова нельзя	1	1
339	с самого	1	1
340	человека с	1	1
341	на нее	1	1
342	во многом	2	1
343	когда в	2	1
344	какой она	1	1
345	на них	1	1
346	быть может	3	1
347	действия не	1	1
348	собою но	1	1
349	но мы	2	1
350	после того	1	1
351	и который	1	1
352	над всем	1	1
353	чтобы не	1	1
354	мы понимаем	1	1
355	нет это	1	1
356	внешней формы	1	1
357	от него	2	1
358	все в	2	1
359	по слову	1	1
360	связь между	2	1
361	между тем	9	1
362	так нельзя	2	1
363	в форме	2	1
364	ее содержание	1	1
365	мысль он	1	1
366	общем смысле	1	1
367	того что	18	1
368	а смерть	1	1
369	был более	1	1
370	для ребенка	2	1
371	при самом	1	1
372	его собственная	1	1
373	мы видим	2	1
374	понимание этого	1	1
375	с ними	1	1
376	что даже	4	1
377	всю ее	1	1
378	только в	21	1
379	во всем	1	1
380	как нечто	1	1
381	в самое	1	1
382	приходит в	1	1
383	в обществе	1	1
384	с одной	7	1
385	эти образы	1	1
386	есть в	3	1
387	носит в	1	1
388	мы бы	1	1
389	только на	3	1
390	и чисто	1	1
391	но самое	1	1
392	в понятие	1	1
393	назовем ее	1	1
394	одно из	5	1
395	могло бы	1	1
396	слова в	7	1
397	т п	2	1
398	ее не	1	1
399	в такое	1	1
400	к ним	1	1
401	и вместе	3	1
402	мы останавливаемся	1	1
403	даже не	1	1
404	развития в	2	1
405	вопрос об	2	1
406	именно в	3	1
407	и смеялся	1	1
408	что не	8	1
409	только по	5	1
410	не было	4	1
411	на этот	1	1
412	в ребенке	1	1
413	а не	15	1
414	с которым	1	1
415	его как	1	1
416	не я	3	1
417	вспомнить что	1	1
418	эти слова	2	1
419	время с	1	1
420	вместе с	12	1
421	ко всем	2	1
422	и потому	4	1
423	намек на	1	1
424	однако есть	1	1
425	в человеке	3	1
426	несколько раз	1	1
427	смысле этого	7	1
428	деятельность не	1	1
429	выражение лица	1	1
430	к образу	1	1
431	думать о	1	1
432	для понимания	4	1
433	и зеленый	1	1
434	этого слова	11	1
435	с этой	2	1
436	и от	4	1
437	что противоречит	1	1
438	любовь к	1	1
439	не является	1	1
440	он сказал	1	1
441	тем и	3	1
442	только теперь	1	1
443	об отношении	4	1
444	в результате	1	1
445	именно такого	1	1
446	а к	3	1
447	в двух	1	1
448	это может	1	1
449	из себя	2	1
450	бы в	2	1
451	и которое	1	1
452	только что	8	1
453	я в	1	1
454	итак для	1	1
455	очень хорошо	1	1
456	над собою	1	1
457	к ее	1	1
458	еще ничего	1	1
459	жизни в	1	1
460	нужно для	1	1
461	необходимое условие	1	1
462	мы оставим	1	1
463	самой своей	1	1
464	но этот	2	1
465	есть и	1	1
466	может ли	1	1
467	в голову	1	1
468	разговоре с	1	1
469	а нечто	1	1
470	и эта	1	1
471	это в	2	1
472	во всяком	1	1
