N	2gram	Berdyaev_N_1	VLabPisa
232	духовной жизни	2	1
233	моментом в	1	1
234	в этих	1	1
235	отцы и	1	1
236	значение для	1	1
237	быть признана	1	1
238	но он	1	1
239	творчества и	1	1
240	обращение к	2	1
241	что этот	1	1
242	не должна	1	1
243	нет никакого	1	1
244	еще до	2	1
245	мысли в	2	1
246	эти формы	3	1
247	время как	2	1
248	и имеет	1	1
249	та или	1	1
250	не имеет	4	1
251	нам предстоит	1	1
252	в формы	1	1
253	о природе	1	1
254	жизни не	3	1
255	или иная	1	1
256	к ней	1	1
257	друг друга	1	1
258	как не	8	1
259	как будто	2	1
260	в основе	3	1
261	в каком	1	1
262	к таким	1	1
263	бы он	1	1
264	быть отнесены	1	1
265	перейти к	3	1
266	и это	2	1
267	с ее	5	1
268	же так	1	1
269	то время	1	1
270	мы в	1	1
271	для этого	2	1
272	с ним	1	1
273	для будущего	1	1
274	а по	1	1
275	до последних	1	1
276	более высокой	1	1
277	и что	2	1
278	а также	1	1
279	той социальной	1	1
280	знает что	1	1
281	их совершенно	1	1
282	и во	1	1
283	которая должна	1	1
284	в русском	2	1
285	каждого человека	2	1
286	речи о	1	1
287	и элементы	1	1
288	процесса познания	1	1
289	который в	2	1
290	во времени	1	1
291	сам собой	1	1
292	существе своем	1	1
293	вот этот	1	1
294	этой системе	1	1
295	же и	1	1
296	есть в	2	1
297	конечно не	3	1
298	существу своему	1	1
299	свидетельствует о	1	1
300	говорят об	1	1
301	мыслей их	1	1
302	что будет	1	1
303	и из	1	1
304	ни в	6	1
305	к более	2	1
306	сами по	1	1
307	в существе	1	1
308	не для	1	1
309	в состоянии	1	1
310	не случайно	1	1
311	и никакой	1	1
312	французской революции	3	1
313	тем что	1	1
314	и вместе	1	1
315	в более	1	1
316	он отрицает	1	1
317	к идее	1	1
318	связаны с	2	1
319	в свою	1	1
320	труд и	1	1
321	бытия в	2	1
322	в гг	1	1
323	себя и	1	1
324	борьба за	1	1
325	связано с	1	1
326	богов он	1	1
327	процесс в	1	1
328	с большей	1	1
329	не означает	3	1
330	этих терминов	1	1
331	жизнь в	1	1
332	может иметь	1	1
333	к лицу	3	1
334	нет ничего	1	1
335	и особенно	1	1
336	мы говорим	2	1
337	в духе	3	1
338	как в	3	1
339	в той	1	1
340	слова все	1	1
341	это значит	1	1
342	может идти	1	1
343	том смысле	1	1
344	должно быть	4	1
345	только для	1	1
346	но это	6	1
347	о свободе	1	1
348	природу и	1	1
349	трудового дня	1	1
350	и ему	1	1
351	самый труд	1	1
352	ее роли	1	1
353	человека это	1	1
354	а к	1	1
355	гносеология и	1	1
356	и все	4	1
357	ни к	2	1
358	потому что	4	1
359	или не	1	1
360	еще в	1	1
361	к ее	3	1
362	лишь те	1	1
363	от всех	1	1
364	природе и	2	1
365	а блок	1	1
366	есть и	1	1
367	и повести	1	1
368	огромное значение	1	1
369	к этой	1	1
370	это было	3	1
371	можно назвать	2	1
