N	2gram	Vinokur_St_1	PoTuStor
136	что оно	3	2
137	на основе	1	2
138	и этим	1	2
139	только то	1	2
140	для этого	2	2
141	и вообще	3	2
142	не существовало	1	2
143	о том	17	2
144	для нас	7	2
145	что и	6	2
146	во всей	1	2
147	что он	10	2
148	и так	3	2
149	всех его	1	2
150	цензура но	1	2
151	со всеми	2	2
152	есть в	2	2
153	если мы	1	2
154	в начале	3	2
155	и других	1	2
156	к ним	1	2
157	у него	2	2
158	оно не	1	2
159	что не	3	2
160	а на	3	2
161	не на	1	2
162	в развитии	1	2
163	что мы	5	2
164	в одно	1	2
165	в частности	4	2
166	так же	5	2
167	с этой	3	2
168	в свое	2	2
169	с историей	2	2
170	но это	6	2
171	и таким	1	2
172	протяжении всей	1	2
173	и для	3	2
174	не существует	3	2
175	в голову	1	2
176	но зато	1	2
177	нет никаких	2	2
178	это делает	1	2
179	не знает	2	2
180	а может	1	2
181	к этому	1	2
182	можно назвать	2	2
183	они не	1	2
184	даже более	1	1
185	приходится сказать	1	1
186	и то	5	1
187	словами и	1	1
188	это и	4	1
189	что эти	1	1
190	не имеют	1	1
191	и могут	1	1
192	его не	1	1
193	полагает что	1	1
194	очень широко	1	1
195	к нашей	1	1
196	мы имеем	2	1
197	вопрос о	4	1
198	одних и	1	1
199	его современников	1	1
200	так чтобы	1	1
201	почти исключительно	1	1
202	я не	7	1
203	как я	1	1
204	из того	2	1
205	но даже	1	1
206	конечно и	3	1
207	большого материала	1	1
208	зависимости от	1	1
209	в ней	3	1
210	и самого	1	1
211	же нужно	1	1
212	он был	3	1
213	столь же	4	1
214	бы то	1	1
215	что его	1	1
216	попало в	1	1
217	оно совершенно	1	1
218	но не	3	1
219	отказ от	1	1
220	достаточно для	2	1
221	иногда и	2	1
222	в свои	1	1
223	право на	1	1
224	что они	7	1
225	только путем	1	1
226	к сожалению	3	1
227	мы снова	1	1
228	это самое	1	1
229	в течение	1	1
230	общего с	3	1
231	все же	8	1
232	хотя и	1	1
233	что по	1	1
234	не являются	3	1
235	это просто	3	1
236	сомнений в	1	1
237	от этого	2	1
238	уже не	1	1
239	лежит на	1	1
240	точку зрения	3	1
241	ни один	2	1
242	а во-вторых	1	1
243	в нашем	1	1
244	или во	1	1
245	не оставляет	1	1
246	то я	1	1
247	значение так	1	1
248	как он	1	1
249	во многих	3	1
250	начинается трагедия	1	1
251	по мнению	3	1
252	всей его	1	1
253	что она	4	1
254	что было	1	1
255	время и	1	1
256	но именно	2	1
257	с принципом	1	1
258	в корне	1	1
259	наших глазах	2	1
260	свое время	2	1
261	объяснения всех	1	1
262	приходим к	1	1
263	без исключения	1	1
264	по его	2	1
265	то ни	1	1
266	для всей	1	1
267	а то	2	1
268	что никакого	1	1
269	той же	5	1
270	на все	1	1
271	где оно	1	1
272	лишь в	3	1
273	входит в	1	1
274	это было	1	1
275	мы на	1	1
276	в свой	2	1
277	которая была	2	1
278	для них	1	1
279	он является	1	1
280	были в	1	1
281	с тем	1	1
282	несмотря на	2	1
283	похоже на	1	1
284	действительно не	1	1
285	значение как	1	1
286	но если	4	1
287	и другом	1	1
288	от своего	1	1
289	не интересует	1	1
290	что до	2	1
291	что я	1	1
292	значение для	1	1
293	но эта	1	1
294	которые в	2	1
295	каждое из	1	1
296	который всегда	1	1
297	времени не	4	1
298	иным как	1	1
299	на другую	1	1
300	однако в	1	1
301	которой является	1	1
302	слов о	1	1
303	так называемого	1	1
304	же мы	1	1
305	которые стали	1	1
306	я убежден	1	1
307	всех их	1	1
308	можно ли	4	1
309	а иногда	2	1
310	на работу	1	1
311	в эпоху	2	1
312	тогда когда	1	1
313	дело в	6	1
314	одна из	1	1
315	в сущности	2	1
316	к изучению	1	1
317	того чтобы	11	1
318	работы но	1	1
319	вытекает из	2	1
320	не имеет	4	1
321	вообще нет	1	1
322	наука и	1	1
323	ничего не	2	1
324	ко дню	1	1
325	этих двух	3	1
326	они являются	1	1
327	очень мало	3	1
328	того в	1	1
329	к этим	1	1
330	языка который	1	1
331	в сознании	2	1
332	в виду	1	1
333	уже и	1	1
334	и делает	1	1
335	характерен для	1	1
336	от того	1	1
337	не давая	1	1
338	в духе	1	1
339	и такие	2	1
340	отличается от	1	1
341	должны быть	3	1
342	к тому	1	1
343	той или	1	1
344	что при	2	1
345	она не	2	1
346	как известно	1	1
347	ничего общего	3	1
348	в применении	3	1
349	опираясь на	1	1
350	бы по	1	1
351	ни одно	1	1
352	без всякого	2	1
353	данном случае	6	1
354	только при	1	1
355	и что	4	1
356	и сам	2	1
357	в другом	3	1
358	пусть в	1	1
359	можно было	13	1
360	материал должен	1	1
361	времени и	1	1
362	его жизни	3	1
363	каждого из	2	1
364	отсюда и	1	1
365	мог бы	1	1
366	еще в	1	1
367	это только	1	1
368	если бы	9	1
369	его времени	2	1
370	мы вправе	1	1
371	в разных	1	1
372	о ней	1	1
373	о нем	1	1
374	раз того	1	1
375	но к	1	1
376	на вопрос	4	1
377	имеем дело	2	1
378	внимание на	3	1
379	и та	1	1
380	говорит об	2	1
381	давая себе	1	1
382	но нет	1	1
383	никаких сомнений	2	1
384	отметить что	2	1
385	в другой	1	1
386	быть даже	1	1
387	и можно	2	1
388	в свете	1	1
389	каких бы	1	1
390	и об	7	1
391	к нему	2	1
392	что здесь	2	1
393	что только	1	1
394	сомнению что	1	1
395	тот же	1	1
396	дело с	2	1
397	бы ни	1	1
398	об их	1	1
399	с одной	3	1
400	в качестве	4	1
401	себя в	1	1
402	целом это	1	1
403	же и	4	1
404	оказывается в	2	1
405	уже в	2	1
406	др но	1	1
407	всем его	1	1
408	так во	1	1
409	его и	1	1
410	ведь это	1	1
411	наука о	1	1
412	в конце	3	1
413	вовсе не	19	1
414	с этими	1	1
415	случае не	2	1
416	как раз	4	1
417	этом отношении	7	1
418	это какой-то	1	1
419	то наоборот	1	1
420	даже и	2	1
421	для того	10	1
422	без всякой	3	1
423	со стороны	6	1
424	или иной	1	1
425	с другой	9	1
426	на ее	1	1
427	опирается в	1	1
428	и тех	1	1
429	здесь в	1	1
430	ведь на	1	1
431	представляет собою	2	1
432	на чем	1	1
433	а с	3	1
434	что для	3	1
435	говорит о	3	1
436	в некоторых	1	1
437	связано с	1	1
438	нужно искать	3	1
439	них и	1	1
440	у нас	11	1
441	одной стороны	2	1
442	его смерти	1	1
443	на этот	3	1
444	а не	16	1
445	именно так	1	1
446	в руках	1	1
447	чем на	1	1
448	ведь именно	1	1
449	не всегда	2	1
450	не утверждал	1	1
451	в момент	1	1
452	бы оно	1	1
453	всех трех	2	1
454	свободна от	1	1
455	в м	2	1
456	вопрос можно	1	1
457	конечно есть	1	1
458	многих случаях	2	1
459	в данном	14	1
460	применении к	3	1
461	что же	6	1
462	очень важный	1	1
463	том смысле	2	1
464	быть не	1	1
465	несколько слов	1	1
466	их во	1	1
467	в культуре	1	1
468	нужно отметить	1	1
469	этом и	1	1
470	точно и	2	1
471	пор еще	1	1
472	при таком	2	1
473	потому не	1	1
474	не подлежит	1	1
475	которой можно	2	1
476	которая в	1	1
477	это может	1	1
478	еще более	4	1
479	до меня	1	1
480	я в	1	1
481	хотя в	2	1
482	всеми его	1	1
483	по поводу	7	1
484	является его	1	1
485	и начинается	1	1
486	в период	1	1
487	с ней	1	1
488	работы и	1	1
489	а во	3	1
490	от всех	1	1
491	этап в	1	1
492	самое важное	1	1
493	которому в	1	1
494	в своих	2	1
495	это в	4	1
496	как на	1	1
