N	2gram	Propp_Morf_1	slovoVRo
224	пор не	1	2
225	от материала	1	2
226	всяком случае	2	2
227	со всеми	1	2
228	его и	2	2
229	для того	2	2
230	то что	8	2
231	до сих	1	2
232	а именно	1	2
233	действующих лиц	11	2
234	и затем	4	2
235	не всегда	9	2
236	в связи	9	2
237	входить в	2	2
238	но оно	2	2
239	сюда прежде	1	2
240	в данном	1	2
241	есть на	1	2
242	дело идет	1	2
243	и нет	1	2
244	сих пор	1	2
245	известной степени	1	2
246	этих случаях	11	2
247	она может	1	2
248	в точном	1	2
249	или в	4	2
250	в результате	7	2
251	лишь о	1	2
252	и ни	1	2
253	все они	1	2
254	и предметом	1	2
255	обстоит дело	1	2
256	может и	1	2
257	работы и	1	2
258	не знает	1	2
259	только о	1	2
260	они не	1	2
261	смысле слова	4	1
262	всем ее	1	1
263	наших дней	2	1
264	он может	2	1
265	возможны и	1	1
266	и должны	1	1
267	говорит ты	1	1
268	и есть	2	1
269	между двумя	1	1
270	из самых	1	1
271	явления и	1	1
272	и до	1	1
273	можно лишь	1	1
274	более конкретных	1	1
275	и этот	1	1
276	и за	2	1
277	встречается и	3	1
278	всего о	1	1
279	но такое	2	1
280	и такой	1	1
281	разновидности и	1	1
282	к началу	4	1
283	для наших	1	1
284	их слова	1	1
285	и заставляет	1	1
286	как не	1	1
287	самого героя	1	1
288	момент в	1	1
289	между собой	4	1
290	он сам	1	1
291	людей в	1	1
292	что его	2	1
293	как таковая	2	1
294	то мы	4	1
295	друг к	2	1
296	все разновидности	1	1
297	обреченный на	1	1
298	чем это	2	1
299	совсем не	3	1
300	быть окрашена	1	1
301	вступают в	3	1
302	что так	1	1
303	чем же	1	1
304	материал на	1	1
305	в одной	1	1
306	если на	1	1
307	до его	1	1
308	формами передачи	1	1
309	все остальные	1	1
310	могли бы	1	1
311	целый ряд	3	1
312	развития все	1	1
313	увидим что	1	1
314	этой цели	1	1
315	та же	2	1
316	др эти	1	1
317	в целом	3	1
318	его роль	1	1
319	в этой	2	1
320	рассказ о	1	1
321	нами в	2	1
322	формы не	1	1
323	другом случае	1	1
324	на то	2	1
325	если он	1	1
326	самая постановка	1	1
327	превращением в	1	1
328	всего относится	1	1
329	зрения его	1	1
330	вообще не	1	1
331	что она	2	1
332	больше всего	1	1
333	все случаи	2	1
334	этом с	1	1
335	не значит	2	1
336	у ивана	2	1
337	но некоторые	1	1
338	здесь для	1	1
339	и по	2	1
340	с собой	3	1
341	одно и	1	1
342	как таковое	2	1
343	русском языке	1	1
344	в каждом	1	1
345	через все	1	1
346	типы и	1	1
347	об этом	4	1
348	к другу	2	1
349	них не	1	1
350	на все	1	1
351	говорить не	1	1
352	это было	3	1
353	для нее	1	1
354	то все	1	1
355	в борьбу	1	1
356	и тем	2	1
357	здесь нет	1	1
358	мог бы	1	1
359	о которых	1	1
360	на основании	1	1
361	этим и	1	1
362	несмотря на	4	1
363	ведет к	1	1
364	может идти	1	1
365	такой же	1	1
366	в один	3	1
367	и пользуется	2	1
368	стороны оно	1	1
369	и становится	1	1
370	этот материал	1	1
371	на первый	3	1
372	ведут к	1	1
373	в своей	1	1
374	лежат в	1	1
375	она в	2	1
376	часто не	1	1
377	мы говорили	1	1
378	для изучения	1	1
379	где герой	1	1
380	но во	1	1
381	иных форм	1	1
382	тем не	5	1
383	в таких	2	1
384	и герой	1	1
385	всегда ли	2	1
386	до известной	1	1
387	самого начала	1	1
388	и притом	1	1
389	весь этот	1	1
390	связанная с	1	1
391	дело не	2	1
392	иметь в	1	1
393	значение этого	1	1
394	не стремится	1	1
395	элемент в	1	1
396	ничего не	4	1
397	уже никак	1	1
398	а во	1	1
399	она имеет	1	1
400	лишь с	2	1
401	прежде чем	3	1
402	же он	1	1
403	или иных	1	1
404	еще резче	1	1
405	если же	5	1
406	указать на	1	1
407	чем перейти	1	1
408	что при	2	1
409	утверждать что	3	1
410	эти явления	1	1
411	иногда целых	1	1
412	как они	1	1
413	то она	1	1
414	в виду	1	1
415	всего этого	1	1
416	ее объеме	1	1
417	как по	1	1
418	непосредственно о	1	1
419	него самого	1	1
420	и говорит	1	1
421	и этим	5	1
422	с самого	1	1
423	приводит к	2	1
424	и может	1	1
425	слова а	1	1
426	еще в	1	1
427	различное значение	1	1
428	этим в	1	1
429	собой только	1	1
430	в последней	1	1
431	даны в	1	1
432	одно из	1	1
433	не на	2	1
434	путь на	1	1
435	обращается к	1	1
436	с другим	1	1
437	и что	2	1
438	можно сказать	2	1
439	самому себе	1	1
440	тем как	1	1
441	во всей	1	1
442	лишь к	1	1
443	борьба в	1	1
444	более сложный	2	1
445	говорить только	1	1
446	и она	1	1
447	является результатом	2	1
448	не зная	1	1
449	как объект	1	1
450	того что	3	1
451	в формах	1	1
452	важное значение	1	1
453	одной из	1	1
454	и две	1	1
455	в какой	3	1
456	что различные	1	1
457	друг друга	3	1
458	таких моментов	1	1
459	и действительно	1	1
460	то прежде	1	1
461	ссылки и	1	1
462	лиц не	1	1
463	никак нельзя	1	1
464	и ее	3	1
465	два типа	1	1
466	в качестве	5	1
467	чаще всего	7	1
468	наших целей	1	1
469	с какой	1	1
470	это остается	1	1
471	не можем	1	1
472	только на	1	1
473	значение и	1	1
474	постановка вопроса	1	1
475	но есть	3	1
476	за ним	1	1
477	и соответствующего	1	1
478	характерно что	1	1
479	и со	1	1
480	с этими	1	1
481	мы можем	2	1
482	случае не	3	1
483	и никогда	1	1
484	как такового	1	1
485	как раз	1	1
486	тем что	4	1
487	в других	3	1
488	перейти к	2	1
489	которое может	2	1
490	его при	1	1
491	и самая	1	1
492	это необходимо	1	1
493	д если	2	1
494	мы еще	1	1
495	других видов	1	1
496	не исключает	2	1
497	могут иметь	1	1
498	в живых	3	1
499	что не	1	1
500	должно быть	1	1
501	а на	3	1
502	этого не	2	1
503	однако и	1	1
504	другой стороны	4	1
505	как образцы	1	1
506	на поиски	1	1
507	ссылка на	1	1
508	могут служить	1	1
509	или с	3	1
510	героя герой	1	1
511	этот прием	1	1
512	для этой	3	1
513	мы находим	1	1
514	все более	1	1
515	вступает в	1	1
516	в частности	2	1
517	вступает с	1	1
518	можно утверждать	1	1
519	в рамках	1	1
520	с изучением	1	1
521	даже не	3	1
522	в иных	4	1
523	какого бы	1	1
524	мы опять	1	1
525	определяет его	1	1
526	если они	2	1
527	всех других	1	1
528	как испытание	1	1
529	и разновидности	1	1
530	и диалог	1	1
531	на новый	1	1
532	на пути	4	1
533	то перед	5	1
534	только для	1	1
535	того или	1	1
536	и таким	2	1
537	этом и	1	1
538	более и	1	1
539	тех или	1	1
540	не является	3	1
541	в немецкой	1	1
542	тем и	2	1
543	но на	1	1
544	часто начинает	1	1
545	это так	2	1
546	или нет	2	1
547	идет об	1	1
548	же в	2	1
549	нисколько не	1	1
550	в который	1	1
551	здесь только	1	1
552	которые здесь	1	1
553	последнем случае	2	1
554	бы быть	1	1
555	в последнем	2	1
556	в отдельности	1	1
557	что под	1	1
558	или точнее	1	1
559	что такое	3	1
560	которым они	1	1
561	также не	1	1
562	или непосредственно	1	1
563	к этому	3	1
564	которая не	1	1
