N	2gram	Losev_Prob_2	Sovremen
161	что при	4	2
162	же самое	6	2
163	что в	11	2
164	если же	3	2
165	в таком	11	2
166	во всяком	13	2
167	а может	2	1
168	им термины	1	1
169	и это	5	1
170	можно говорить	3	1
171	всегда останется	1	1
172	то она	1	1
173	с ее	1	1
174	очень важную	1	1
175	на самом	4	1
176	ведь в	1	1
177	это и	3	1
178	но тем	1	1
179	для науки	1	1
180	необходимости и	1	1
181	здесь и	1	1
182	характерное для	1	1
183	случае только	1	1
184	по преимуществу	2	1
185	нас на	2	1
186	и до	1	1
187	не имеют	1	1
188	от всяких	2	1
189	что такой	1	1
190	ничего реального	1	1
191	то нужно	1	1
192	иметь место	1	1
193	входящих в	2	1
194	можно было	5	1
195	мы уже	3	1
196	их и	1	1
197	есть не	6	1
198	здесь нет	1	1
199	во многом	1	1
200	при одном	1	1
201	осуществляется в	1	1
202	мы имеем	1	1
203	и само	2	1
204	же как	1	1
205	еще в	2	1
206	действительно если	1	1
207	и наш	1	1
208	только все	1	1
209	это только	3	1
210	это что	1	1
211	мы в	3	1
212	смысле то	1	1
213	поэтому в	1	1
214	часто бывают	1	1
215	если бы	4	1
216	и вообще	16	1
217	этот был	1	1
218	что иное	3	1
219	и действительно	2	1
220	для нашей	3	1
221	и ни	3	1
222	или как	2	1
223	о том	18	1
224	в ней	2	1
225	и та	1	1
226	определенным образом	2	1
227	что каждый	2	1
228	не соответствует	1	1
229	одного из	1	1
230	которую можно	1	1
231	на них	1	1
232	он сам	3	1
233	иное как	3	1
234	бы то	2	1
235	что его	1	1
236	его в	3	1
237	с его	1	1
238	во всех	2	1
239	обратном порядке	1	1
240	те или	7	1
241	раз и	5	1
242	различия между	1	1
243	мы надеемся	1	1
244	данном случае	5	1
245	совсем не	7	1
246	но не	4	1
247	или иные	3	1
248	к этому	1	1
249	свести все	2	1
250	мы будем	1	1
251	но как	6	1
252	и все-таки	3	1
253	если в	1	1
254	во всей	1	1
255	каждый элемент	2	1
256	крайней мере	6	1
257	вообще и	2	1
258	один и	2	1
259	которая и	2	1
260	же вопрос	1	1
261	в ту	1	1
262	все время	1	1
263	говорить только	2	1
264	можно дробить	1	1
265	независимо от	2	1
266	опирается на	1	1
267	стороны и	4	1
268	значит что	4	1
269	к нему	2	1
270	более и	1	1
271	известном смысле	1	1
272	один из	3	1
273	кроме того	5	1
274	есть такой	1	1
275	с понятием	2	1
276	одной из	1	1
277	этого можно	1	1
278	это просто	1	1
279	ли он	3	1
280	в действительности	2	1
281	только в	14	1
282	начала мы	1	1
283	при каких	1	1
284	чего же	2	1
285	через несколько	1	1
286	то нет	1	1
287	то он	1	1
288	собой но	2	1
289	не приходится	1	1
290	к другому	1	1
291	одном случае	1	1
292	до наших	2	1
293	но ведь	3	1
294	в известном	1	1
295	очень широкая	1	1
296	остановиться на	1	1
297	нами в	2	1
298	и тот	3	1
299	этот вопрос	1	1
300	конечно не	2	1
301	да еще	1	1
302	и те	1	1
303	только на	9	1
304	нельзя говорить	1	1
305	нашу систему	1	1
306	и если	3	1
307	и чисто	1	1
308	а это	3	1
309	в первых	1	1
310	по самому	3	1
311	в данной	1	1
312	чтобы он	1	1
313	он не	2	1
314	определить собою	1	1
315	конечно нет	1	1
316	и еще	1	1
317	твердая и	1	1
318	себе в	2	1
319	и их	3	1
320	необходимо сказать	6	1
321	эти три	1	1
322	пока не	3	1
323	в корне	2	1
324	допустим что	2	1
325	сами по	2	1
326	необходимо для	2	1
327	вовсе не	37	1
328	случае когда	2	1
329	для них	3	1
330	но что	1	1
331	случае не	4	1
332	какой бы	1	1
333	одной и	2	1
334	бы все	1	1
335	роли а	1	1
336	в основу	1	1
337	по его	1	1
338	о каком	1	1
339	это значит	4	1
340	и только	4	1
341	не будет	11	1
342	терминологии и	1	1
343	в другом	1	1
344	том случае	2	1
345	одной стороны	5	1
346	или скажем	1	1
347	и речи	3	1
348	чем в	1	1
349	мы это	2	1
350	до сих	4	1
351	с другой	6	1
352	может ли	3	1
353	нельзя сказать	1	1
354	именно в	1	1
355	здесь в	1	1
356	сказать несколько	1	1
357	будет ли	1	1
358	этом смысле	5	1
359	и прежде	2	1
360	своя собственная	1	1
361	должен был	1	1
362	ведь если	4	1
363	только к	1	1
364	ни в	6	1
365	от другого	2	1
366	но уже	5	1
367	не было	3	1
368	она и	2	1
369	все равно	3	1
370	сыграли в	1	1
371	для своего	1	1
372	несмотря на	3	1
373	для чего	1	1
374	многим вопросам	1	1
375	оно имеет	1	1
376	на эту	2	1
377	должно быть	2	1
378	и ничего	2	1
379	и следовательно	4	1
380	понятия и	1	1
381	в связи	5	1
382	том что	19	1
383	нет никаких	1	1
384	все более	1	1
385	оперировать с	1	1
386	этом случае	7	1
387	но если	4	1
388	том как	1	1
389	и при	2	1
390	сказать так	1	1
391	так же	5	1
392	и особенно	2	1
393	в такой	2	1
394	мы конечно	2	1
395	уже к	1	1
396	мы говорим	4	1
397	только ничего	1	1
398	в предыдущей	1	1
399	представление о	5	1
400	направление в	1	1
401	мы опять	1	1
402	и значит	1	1
403	по многим	1	1
404	от его	2	1
405	в область	4	1
406	в данном	10	1
407	является только	3	1
408	и той	4	1
409	и цельное	1	1
410	но эта	3	1
411	которые в	2	1
412	а потом	1	1
413	ни то	1	1
414	быть только	3	1
415	совершенно невозможно	1	1
416	в обратном	1	1
417	по крайней	6	1
418	именно к	1	1
419	и более	5	1
420	так называемое	1	1
421	мере в	2	1
422	общего и	1	1
423	если нет	1	1
424	по себе	8	1
425	в своем	4	1
426	только о	8	1
427	еще следующее	1	1
428	еще раз	1	1
429	несколько слов	1	1
430	и нет	1	1
431	сих пор	4	1
432	при условии	6	1
433	но они	1	1
434	с ним	1	1
435	они относятся	2	1
436	что эта	1	1
437	она не	3	1
438	что с	2	1
439	дело если	1	1
440	и тогда	1	1
441	но для	1	1
442	свое время	1	1
443	для каждого	4	1
444	не имеет	7	1
445	это последнее	1	1
446	и абсолютной	1	1
447	случае он	1	1
448	не является	7	1
449	которых она	1	1
450	с и	2	1
451	не думаем	1	1
452	уже на	1	1
453	но только	4	1
454	и от	3	1
455	только не	3	1
456	никогда не	1	1
457	или в	2	1
458	и всегда	1	1
459	это совершенно	2	1
460	другое дело	1	1
461	на язык	1	1
462	но отнюдь	1	1
463	хотя и	3	1
464	только и	3	1
465	жизни не	1	1
466	и философы	1	1
467	в отдельных	1	1
468	это то	5	1
469	можем ли	1	1
470	только из	1	1
471	или другой	5	1
472	может вызывать	1	1
473	случае и	2	1
474	самому своему	2	1
475	только фактически	1	1
476	все они	1	1
477	и его	1	1
478	связи с	5	1
479	ни было	1	1
480	же в	1	1
481	но это	6	1
482	все элементы	1	1
483	этой области	3	1
484	ни другое	1	1
485	ли это	2	1
486	не знает	3	1
487	сказать что	24	1
488	не быть	1	1
489	определяет собою	1	1
490	ни о	4	1
491	в живой	1	1
492	и для	6	1
493	но можно	2	1
494	они все	2	1
495	сколько угодно	1	1
496	системы а	2	1
497	элементов а	2	1
498	не что	3	1
499	в то	6	1
500	в свое	1	1
501	если уже	1	1
502	есть то	5	1
503	в заключение	2	1
504	в какой	1	1
505	собою ясно	1	1
506	той или	5	1
507	в своих	3	1
508	и эта	1	1
509	и свою	2	1
510	на это	2	1
511	все что	3	1
512	они не	1	1
513	ничего общего	3	1
