N	2gram	Berdyaev_M_1	Morfolog
418	не подходит	1	1
419	то не	1	1
420	для нас	3	1
421	и все	10	1
422	которую он	2	1
423	бы в	2	1
424	своих героев	2	1
425	том случае	1	1
426	он во	1	1
427	бросается в	1	1
428	а ведь	1	1
429	которым он	1	1
430	остается на	1	1
431	не что	1	1
432	выходят за	1	1
433	на своем	3	1
434	влияния на	1	1
435	случае если	1	1
436	он лишь	2	1
437	во всяком	1	1
438	небо и	4	1
