N	2gram	Berdyaev_O_1	Tragedij
319	не быть	1	1
320	иван карамазов	2	1
321	я хочу	1	1
322	исходит от	1	1
323	ко всем	2	1
324	и потому	2	1
325	в человеке	9	1
326	сравнению с	1	1
327	в романах	4	1
328	необходимо подчеркнуть	1	1
329	смысле этого	1	1
330	понял что	1	1
331	распадается на	1	1
332	этого слова	1	1
333	и от	3	1
334	и зло	1	1
335	любовь к	2	1
336	достоевского но	2	1
337	самое главное	2	1
338	о нем	1	1
339	к счастью	1	1
340	это часто	1	1
341	бы в	1	1
342	но у	1	1
343	хотя бы	3	1
344	б это	1	1
345	человеке о	4	1
346	еще ничего	1	1
347	жизни в	2	1
348	совершенно не	1	1
349	ко всему	1	1
350	т е	4	1
351	может ли	1	1
352	в голову	1	1
353	но еще	1	1
354	к этой	2	1
355	и эта	1	1
356	природу человека	1	1
357	во всяком	1	1
