N	2gram	Nazirov_Vr_1	PoTuStor
262	как раз	2	1
263	этом отношении	1	1
264	с большими	1	1
265	в высшей	1	1
266	с другой	1	1
267	в свою	2	1
268	а с	2	1
269	что для	1	1
270	говорит о	1	1
271	на этот	1	1
272	и самый	1	1
273	с которым	2	1
274	не всегда	1	1
275	в связи	3	1
276	в момент	2	1
277	этот мотив	1	1
278	влияния на	1	1
279	предположить что	1	1
280	что же	1	1
281	с последним	1	1
282	задолго до	1	1
283	но какое	1	1
284	и другими	1	1
285	в эту	2	1
286	еще более	1	1
287	позволяет нам	1	1
288	только что	1	1
289	лучше ли	1	1
290	же в	2	1
291	хотя в	1	1
292	и начинается	1	1
293	нет ничего	1	1
294	в период	2	1
295	по которой	1	1
296	время сна	1	1
297	за шагом	1	1
298	которому в	1	1
299	в своих	4	1
300	это в	2	1
301	как на	1	1
