N	2gram	Kanaev_Sov_1	SlovoVZh
111	но что	1	2
112	форма в	2	2
113	но все	2	2
114	конечно в	2	2
115	это не	4	2
116	может стать	1	2
117	форму и	1	2
118	одной стороны	1	2
119	можем сказать	1	2
120	там где	1	2
121	вместе с	4	2
122	но не	1	2
123	точку зрения	4	2
124	быть только	1	2
125	она не	1	2
126	еще раз	1	2
127	с точки	5	2
128	в условиях	5	2
129	такой же	2	2
130	в то	1	2
131	ничего не	6	2
132	но отнюдь	1	2
133	этих двух	2	2
134	и все	3	2
135	все они	1	2
136	но это	1	2
137	между ними	1	2
138	стороны и	1	2
139	могут быть	2	2
140	же самое	2	2
141	на это	1	2
142	что в	2	2
143	к этому	1	2
144	если же	2	2
145	и это	1	1
146	же как	1	1
147	как мы	2	1
148	совпадают с	1	1
149	с жизнью	1	1
150	с ее	1	1
151	свою очередь	2	1
152	а из	1	1
153	это и	1	1
154	тем же	2	1
155	с самого	3	1
156	по преимуществу	1	1
157	не имеют	1	1
158	не стремится	1	1
159	по аналогии	1	1
160	из двух	3	1
161	можно было	1	1
162	этом направлении	1	1
163	мы уже	1	1
164	на может	1	1
165	нуждаются в	1	1
166	в жизненной	1	1
167	это только	1	1
168	та же	1	1
169	что уже	1	1
170	химических и	1	1
171	же просто	1	1
172	из одного	2	1
173	то она	1	1
174	определенным образом	1	1
175	чем отличается	1	1
176	что каждый	1	1
177	на них	1	1
178	это направление	1	1
179	человек занимает	1	1
180	на их	2	1
181	аналогии с	1	1
182	во всех	1	1
183	и во	2	1
184	в конечном	1	1
185	должны искать	1	1
186	от его	1	1
187	два основных	1	1
188	и основное	1	1
189	конечном счете	1	1
190	отметить что	1	1
191	крайней мере	1	1
192	именно в	1	1
193	этой группы	1	1
194	за вычетом	1	1
195	опирается на	1	1
196	как например	1	1
197	на которой	1	1
198	хотя и	1	1
199	тот же	2	1
200	ли он	1	1
201	следующим образом	3	1
202	двух частей	1	1
203	увидим что	1	1
204	значение этих	1	1
205	положение в	1	1
206	именно эта	1	1
207	чего же	1	1
208	по мнению	2	1
209	может дать	2	1
210	что это	2	1
211	в целом	4	1
212	если мы	4	1
213	сводится только	1	1
214	не можем	7	1
215	в большинстве	1	1
216	в виде	2	1
217	что она	3	1
218	не из	1	1
219	является очень	1	1
220	и предварительной	1	1
221	его и	1	1
222	себе в	1	1
223	и их	1	1
224	всяком случае	2	1
225	ведь это	3	1
226	в одном	3	1
227	вовсе не	1	1
228	ничего общего	1	1
229	как его	1	1
230	у него	2	1
231	какой бы	1	1
232	кто же	1	1
233	на этом	2	1
234	природой и	1	1
235	каждый элемент	1	1
236	помощью которой	1	1
237	и только	1	1
238	что все	2	1
239	в другом	1	1
240	осмысленное целое	1	1
241	мы это	1	1
242	и т.п	1	1
243	и из	1	1
244	должно быть	1	1
245	но самый	1	1
246	и мы	3	1
247	было бы	3	1
248	к которому	1	1
249	этом смысле	1	1
250	и прежде	1	1
251	один и	1	1
252	только к	1	1
253	находиться в	1	1
254	физические и	1	1
255	само собою	3	1
256	для них	1	1
257	может находиться	1	1
258	но уже	1	1
259	не было	1	1
260	рядом с	1	1
261	на второй	1	1
262	остается еще	1	1
263	не знает	1	1
264	все равно	1	1
265	которой он	2	1
266	одна и	1	1
267	несмотря на	1	1
268	так называемый	1	1
269	на эту	1	1
270	обратимся к	1	1
271	и тогда	1	1
272	но можно	1	1
273	и становится	1	1
274	мы видели	4	1
275	все элементы	1	1
276	все более	1	1
277	но если	1	1
278	то он	1	1
279	это делает	1	1
280	она в	1	1
281	ту действительную	1	1
282	к одному	1	1
283	сторона дела	1	1
284	не могут	2	1
285	является только	1	1
286	разберем это	1	1
287	но эта	1	1
288	и тот	1	1
289	которые в	1	1
290	форму этого	1	1
291	сами по	1	1
292	одному и	1	1
293	для их	1	1
294	по крайней	1	1
295	зрения и	1	1
296	можно наблюдать	1	1
297	же мы	2	1
298	и вся	1	1
299	в обоих	1	1
300	самого начала	3	1
301	это последнее	1	1
302	только из	1	1
303	более и	1	1
304	в науке	2	1
305	зрения уже	1	1
306	и химические	1	1
307	от двух	1	1
308	не является	1	1
309	только одна	6	1
310	переводе с	1	1
311	уже на	1	1
312	при таком	3	1
313	в результате	6	1
314	человек и	1	1
315	эта сторона	1	1
316	только и	1	1
317	с греческого	1	1
318	же время	1	1
319	еще более	2	1
320	мы должны	4	1
321	ровно ничего	1	1
322	же этот	1	1
323	связи с	1	1
324	в свою	2	1
325	эти три	1	1
326	этого развития	1	1
327	это уже	1	1
328	жизни в	1	1
329	нечего делать	1	1
330	в области	3	1
331	представлять себе	2	1
332	у нас	3	1
333	равно как	1	1
334	этот третий	1	1
335	по самому	1	1
336	когда мы	3	1
337	то из	1	1
338	подвести итоги	1	1
339	в окончательном	1	1
340	и эта	1	1
341	раз подчеркнуть	1	1
342	в таком	2	1
343	во всяком	2	1
344	они не	1	1
