N	2gram	Medvedev_U_1	Myslijsy
276	все они	2	1
277	тех и	1	1
278	состоит из	1	1
279	себе известное	1	1
280	находящихся в	1	1
281	время не	1	1
282	заключенные в	1	1
283	ее в	1	1
284	от которой	1	1
285	в процессе	1	1
286	они относятся	1	1
