N	2gram	Savitsky_P_1	Hudozhes
103	более чем	2	2
104	человеческого бытия	1	2
105	все же	1	2
106	и к	4	2
107	но в	9	2
108	из этих	1	2
109	не более	1	2
110	ей в	3	2
111	мысли и	1	2
112	т д	1	2
113	не как	1	2
114	прежде чем	1	2
115	ее по	1	2
116	не с	1	2
117	его в	1	2
118	личности не	1	2
119	место в	1	2
120	в г	1	2
121	с точки	3	2
122	не столько	2	2
123	одна из	2	2
124	бытия как	1	2
125	мысль о	2	2
126	она может	1	2
127	с собой	1	2
128	те же	1	2
129	с того	1	2
130	а также	4	2
131	и только	1	2
132	теперь в	2	2
133	именно на	1	2
134	в виде	2	2
135	из них	2	2
136	или иной	1	2
137	именно в	2	2
138	что не	1	2
139	мы знаем	1	2
140	нет ничего	1	2
141	вместе с	1	2
142	в данном	1	2
143	он будет	1	2
144	в ряду	2	2
145	отнюдь не	2	2
146	потому что	3	2
147	хотя бы	8	2
148	давно уже	1	2
149	точки зрения	3	2
150	и внутренне	1	2
151	т е	3	2
152	как на	2	2
153	тем самым	3	2
154	гораздо более	1	2
155	одних и	2	1
156	отношения к	2	1
157	например в	2	1
158	в сфере	2	1
159	и через	1	1
160	на две	1	1
161	века в	1	1
162	момент когда	1	1
163	также и	1	1
164	мы не	3	1
165	что если	1	1
166	ослабевает и	1	1
167	которого в	1	1
168	в xix	2	1
169	не нужно	2	1
170	он был	1	1
171	в различных	1	1
172	во всех	2	1
173	в общем	2	1
174	не просто	1	1
175	и чем	1	1
176	поскольку они	1	1
177	как к	1	1
178	такова же	1	1
179	хотя и	3	1
180	но для	1	1
181	в которой	1	1
182	представляет собой	1	1
183	известно не	1	1
184	в жертву	1	1
185	к миру	1	1
186	из этой	1	1
187	при виде	1	1
188	в восприятии	1	1
189	в силу	2	1
190	наших глазах	1	1
191	какой бы	1	1
192	известном смысле	1	1
193	в каждом	1	1
194	происходит и	1	1
195	тем в	1	1
196	как автор	1	1
197	когда-то и	1	1
198	и других	2	1
199	значение если	1	1
200	и иных	1	1
201	и тем	2	1
202	о личности	1	1
203	на свои	1	1
204	может идти	1	1
205	среди окружающих	1	1
206	рождается и	1	1
207	и еще	1	1
208	в ходе	1	1
209	и при	1	1
210	никак не	2	1
211	это ощущение	1	1
212	с явлениями	1	1
213	знаем что	1	1
214	теми же	1	1
215	и более	1	1
216	эта мысль	1	1
217	и притом	1	1
218	что с	1	1
219	можно судить	1	1
220	разгорается в	1	1
221	та или	1	1
222	и всегда	1	1
223	в отношениях	1	1
224	этих двух	1	1
225	или иная	1	1
226	в ком	1	1
227	как она	1	1
228	в области	11	1
229	бытия не	1	1
230	не относятся	1	1
231	в момент	1	1
232	не та	1	1
233	ли не	1	1
234	числе и	1	1
235	от нее	1	1
236	все еще	1	1
237	а затем	1	1
238	м е	1	1
239	в себя	1	1
240	к смерти	1	1
241	при сохранении	1	1
242	личный опыт	1	1
243	в годы	1	1
244	к ценностям	1	1
245	на нее	1	1
246	особенно в	1	1
247	еще в	1	1
248	что от	1	1
249	является в	2	1
250	в настоящее	1	1
251	по себе	4	1
252	именно потому	1	1
253	и здесь	1	1
254	настоящее время	1	1
255	и что	1	1
256	и который	1	1
257	в значительной	2	1
258	заключается в	3	1
259	бы она	1	1
260	борьбе с	1	1
261	еще более	2	1
262	которая и	1	1
263	судить по	1	1
264	того что	2	1
265	на будущее	1	1
266	обе эти	1	1
267	бы эти	1	1
268	и потому	4	1
269	и весьма	2	1
270	не являясь	1	1
271	но как	1	1
272	во времени	1	1
273	например с	1	1
274	и теперь	1	1
275	тот или	1	1
276	оказывается в	1	1
277	уже в	1	1
278	в начале	2	1
279	где бы	2	1
280	углубляется в	1	1
281	представить себе	1	1
282	не о	2	1
283	отношении к	5	1
284	бы это	1	1
285	где в	2	1
286	были бы	1	1
287	без того	1	1
288	ней и	1	1
289	т и	1	1
290	выступает в	1	1
291	церкви и	2	1
292	не означает	1	1
293	и достоевского	2	1
294	с которым	1	1
295	там где	1	1
296	и силы	1	1
297	настоящее и	1	1
298	бы оно	1	1
299	ни на	1	1
300	купцы и	1	1
301	в пределах	8	1
302	к жизни	1	1
303	взгляда на	2	1
304	в тот	2	1
305	о соотношении	1	1
306	распадается на	1	1
307	по обстоятельствам	1	1
308	xix в	1	1
309	наиболее же	1	1
310	в условиях	1	1
311	как живую	1	1
312	слова но	2	1
313	в с	4	1
314	и среди	1	1
315	всего что	1	1
316	к внешнему	1	1
317	же в	4	1
318	в творчестве	1	1
319	только как	1	1
320	другой стороны	1	1
321	и жизнь	1	1
322	об отношении	1	1
323	над собой	1	1
324	к этой	1	1
325	а я	5	1
326	люди и	1	1
327	том числе	2	1
328	это в	1	1
329	который не	1	1
