N	2gram	Savitsky_E_1	RusskieA
161	в течение	5	2
162	во всем	1	2
163	связано с	3	2
164	и еще	2	2
165	должно быть	1	2
166	очевидно что	3	2
167	при рассмотрении	1	2
168	заметить что	2	2
169	в их	11	2
170	ее от	2	2
171	одной стороны	8	2
172	того в	1	2
173	а к	1	2
174	могут быть	2	2
175	также что	1	2
176	с одной	8	2
177	что и	3	2
178	в новой	1	2
179	один из	1	2
180	ее и	1	2
181	в своих	2	2
182	с другой	7	2
183	в состав	1	2
184	начиная с	2	2
185	никогда не	3	2
186	как оно	2	2
187	чем в	4	2
188	которое в	2	2
189	идут к	1	2
190	в стороне	3	2
191	на себя	3	2
192	и то	2	2
193	мнение что	1	2
194	совершенно очевидно	2	2
195	что с	1	2
196	не было	1	2
197	этот вопрос	2	2
198	можно было	3	2
199	и как	2	2
200	связи с	1	2
201	еще в	1	2
202	связь между	1	2
203	также в	2	2
204	и затем	1	1
205	например по	1	1
206	может не	1	1
207	в ряде	1	1
208	выходит и	1	1
209	других случаях	1	1
210	и наконец	2	1
211	активности и	1	1
212	во всяком	3	1
213	входит в	1	1
214	же к	2	1
215	что между	1	1
216	многих других	1	1
217	говорить о	1	1
218	также на	1	1
219	можно сказать	4	1
220	место в	3	1
221	аналогии с	1	1
222	из себя	1	1
223	есть ли	2	1
224	достаточно чтобы	1	1
225	может дать	1	1
226	от этого	5	1
227	несколько ниже	1	1
228	в состоянии	1	1
229	значение и	1	1
230	ко всему	2	1
231	даже не	1	1
232	не будет	3	1
233	в великой	1	1
234	на которые	1	1
235	как на	3	1
236	себе в	3	1
237	области и	1	1
238	время как	1	1
239	из всего	1	1
240	так и	10	1
241	был бы	1	1
242	одна другую	1	1
243	только одно	2	1
244	если при	1	1
245	рядом с	1	1
246	зависит от	1	1
247	это так	3	1
248	на то	6	1
249	случаях когда	2	1
250	западной европе	4	1
251	и должна	1	1
252	можно в	2	1
253	применении к	3	1
254	в большинстве	2	1
255	в какой	2	1
256	в нем	1	1
257	увидим что	1	1
258	и во	2	1
259	и вообще	1	1
260	это обстоятельство	1	1
261	и целые	1	1
262	независимо от	4	1
263	образом к	1	1
264	в тех	1	1
265	что эта	1	1
266	не более	3	1
267	или из	1	1
268	но с	2	1
269	своей идеологии	2	1
270	свои границы	1	1
271	некоторые из	1	1
272	е не	1	1
273	если в	2	1
274	относятся к	2	1
275	которая должна	1	1
276	г по	2	1
277	значение в	1	1
278	как его	1	1
279	становится ясным	1	1
280	того или	4	1
281	тем как	1	1
282	в одном	2	1
283	в ней	4	1
284	религии и	1	1
285	с и	10	1
286	другие народы	2	1
287	вопрос мы	1	1
288	стороны и	6	1
289	мы должны	2	1
290	его к	1	1
291	с полной	1	1
292	в западной	1	1
293	по своей	2	1
294	смысле этого	1	1
295	оно не	1	1
296	с той	1	1
297	iv в	1	1
298	с ним	1	1
299	например в	1	1
300	многих отношениях	1	1
301	выход на	2	1
302	для него	1	1
303	место при	1	1
304	которых нет	1	1
305	во всей	2	1
306	мир в	1	1
307	понимать как	1	1
308	то как	1	1
309	и притом	4	1
310	части ее	1	1
311	которые как	1	1
312	подходят к	1	1
313	и сами	1	1
314	именно с	1	1
315	но они	1	1
316	к этой	1	1
317	и даже	6	1
318	хотя и	2	1
319	некоторое время	1	1
320	к такой	2	1
321	с природой	1	1
322	п с	1	1
323	которые в	1	1
324	в силе	1	1
325	затем в	1	1
326	на нижнем	1	1
327	мог бы	2	1
328	и не	14	1
329	более высокой	1	1
330	может произойти	1	1
331	и его	1	1
332	что если	2	1
333	что его	1	1
334	пока что	1	1
335	что эти	2	1
336	климата и	1	1
337	что к	2	1
338	тот же	1	1
339	в изучении	1	1
340	в применении	3	1
341	или по	2	1
342	и чем	2	1
343	дойдя до	1	1
344	дело в	3	1
345	в противном	1	1
346	он называет	1	1
347	и другими	1	1
348	на пути	1	1
349	но на	3	1
350	и поэтому	2	1
351	мы увидим	1	1
352	во все	3	1
353	в одной	1	1
354	сказать что	4	1
355	относится к	1	1
356	имеет место	2	1
357	к сожалению	1	1
358	тому же	1	1
359	и потому	5	1
360	востока и	2	1
361	мы устанавливаем	1	1
362	нему однако	1	1
363	на основе	2	1
364	на основании	2	1
365	образом из	1	1
366	к тем	1	1
367	в другой	2	1
368	и таким	2	1
369	к ним	3	1
370	своему влиянию	1	1
371	считает что	1	1
372	в исторической	1	1
373	о таких	1	1
374	то это	1	1
375	идеологии и	2	1
376	или менее	1	1
377	нужно иметь	2	1
378	в основе	1	1
379	что все	2	1
380	ту же	1	1
381	еще далеко	1	1
382	если бы	2	1
383	не будут	1	1
384	имело место	1	1
385	по своему	7	1
386	более или	1	1
387	с ними	1	1
388	но так	1	1
389	другой стороны	2	1
390	это должно	1	1
391	этого слова	1	1
392	как более	1	1
393	они могут	1	1
394	всяком случае	3	1
395	с таким	1	1
396	в его	2	1
397	всех этих	1	1
398	оставить в	2	1
399	всем другим	1	1
400	он в	1	1
401	в двух	1	1
402	на которых	1	1
403	исключения и	1	1
404	когда он	3	1
405	не дают	2	1
406	можно рассматривать	1	1
407	оставаться в	1	1
408	в самом	4	1
409	этом отношении	3	1
410	такой же	2	1
411	в полной	4	1
412	и если	2	1
413	также к	1	1
414	только в	9	1
415	с собой	1	1
416	не являются	1	1
417	именно тогда	2	1
418	эту же	1	1
419	что за	1	1
420	в данной	3	1
421	и когда	1	1
422	земли в	1	1
423	из того	2	1
424	возвращается к	1	1
425	от других	1	1
426	несмотря на	4	1
427	ли он	1	1
428	быть и	1	1
429	но возможно	1	1
430	при помощи	2	1
431	например то	1	1
432	которое не	1	1
433	по своим	3	1
434	тем более	4	1
435	когда в	1	1
436	на долю	3	1
437	в развитии	2	1
438	или точнее	2	1
439	не на	4	1
440	в мировом	1	1
441	она может	1	1
442	так называемый	1	1
443	в такой	1	1
444	чем больше	2	1
445	выступает в	1	1
446	все что	1	1
447	что вызывает	1	1
448	и до	1	1
449	в человеческом	1	1
450	и где	1	1
451	свою очередь	2	1
452	уже в	1	1
453	или это	1	1
454	нас в	1	1
455	который в	1	1
456	от нее	1	1
457	поворот к	1	1
458	из числа	4	1
459	в ту	1	1
460	него не	1	1
461	время не	1	1
462	она в	3	1
463	можем входить	1	1
464	означает что	1	1
465	этого же	1	1
466	и хозяйства	1	1
467	не является	3	1
468	и это	1	1
469	как будто	2	1
470	некоторых случаях	1	1
471	случае она	1	1
472	признаков что	1	1
473	каждую из	1	1
474	входящие в	1	1
475	сильнее чем	1	1
476	все еще	1	1
477	например к	1	1
478	в пределах	25	1
479	такая же	1	1
480	их на	1	1
481	к выводу	1	1
482	более поздние	2	1
483	и следовательно	1	1
484	сводится к	1	1
485	тех случаях	1	1
486	и эта	2	1
487	все остальные	1	1
488	но все	1	1
489	исторической перспективе	1	1
490	от них	3	1
491	отнюдь не	9	1
492	это имело	1	1
493	вообще не	3	1
494	самих себя	1	1
495	и несколько	1	1
496	и более	2	1
497	но это	1	1
498	в своем	14	1
499	каждая область	1	1
500	нужно заметить	2	1
501	в свою	3	1
502	которую они	1	1
