N	2gram	Medvedev_U_1	EvropaiE
169	что по	1	1
170	более или	1	1
171	в этот	1	1
172	он в	1	1
173	вне пределов	1	1
174	бы только	1	1
175	на его	1	1
176	ли для	1	1
177	не значит	1	1
178	не как	3	1
179	находит себе	1	1
180	или иных	2	1
181	принципа в	1	1
182	в нем	1	1
183	поэзии и	1	1
184	значительный сдвиг	1	1
185	которой принадлежит	1	1
186	говорить не	1	1
187	входит в	1	1
188	но нам	1	1
189	к области	2	1
190	несомненно представляет	1	1
191	как таковой	2	1
192	и всей	1	1
193	или менее	1	1
194	что при	1	1
195	признать что	1	1
196	друг другу	1	1
197	в современном	1	1
198	для этого	3	1
199	что с	1	1
200	было у	1	1
201	подходят к	1	1
202	находятся в	1	1
203	бы значение	1	1
204	так то	1	1
205	у нас	3	1
206	он называет	1	1
207	отказаться от	1	1
208	для себя	1	1
209	значительной мере	1	1
210	степени и	1	1
211	литературы и	2	1
212	об этом	1	1
213	является в	2	1
214	сводится к	2	1
215	тех кто	1	1
216	к проблемам	1	1
217	нас в	2	1
218	указаниями на	1	1
219	большей или	1	1
220	тот же	1	1
221	всех этих	2	1
222	которое мы	1	1
223	имеются не	1	1
224	мыслей о	1	1
225	больше чем	1	1
226	с которыми	1	1
227	переходит в	1	1
228	конечно не	4	1
229	уже не	1	1
230	то и	1	1
231	к созданию	1	1
232	в точном	1	1
233	одно из	1	1
234	для него	3	1
235	у других	1	1
236	и искусства	1	1
237	не о	3	1
238	в исторической	1	1
239	даже не	1	1
240	или иначе	1	1
241	построения он	1	1
242	или меньшей	1	1
243	что для	1	1
244	не было	1	1
245	сдвиг в	1	1
246	него не	1	1
247	что мы	2	1
248	если не	2	1
249	тех и	1	1
250	для всех	2	1
251	религии и	1	1
252	и единственно	1	1
253	и разнообразие	1	1
254	должно быть	1	1
255	лучше и	1	1
256	для тех	1	1
257	какой именно	1	1
258	тех или	2	1
259	при таком	2	1
260	о котором	1	1
261	в большей	1	1
262	пришлось бы	3	1
263	но это	2	1
264	существует в	1	1
265	сводить к	1	1
266	в свое	1	1
267	время не	1	1
268	это в	1	1
269	они относятся	1	1
270	все что	1	1
