N	2gram	Kanaev_Sov_1	Tvorches
106	у читателя	1	2
107	и по	2	2
108	которой он	2	2
109	такой же	2	2
110	и еще	1	2
111	в такой	1	2
112	в отличие	2	2
113	точку зрения	4	2
114	их в	4	2
115	влечет за	1	2
116	не менее	2	2
117	xviii века	1	2
118	в процессе	1	2
119	у нас	3	2
120	если у	1	2
121	могут быть	2	2
122	так в	1	2
123	приводит к	2	2
124	роль в	2	2
125	и что	2	2
126	что его	1	2
127	и только	1	2
128	крайней мере	1	2
129	всяком случае	2	2
130	в ту	1	2
131	все время	1	2
132	в которую	2	2
133	к которому	1	2
134	не случайно	1	2
135	затем из	1	2
136	только в	1	2
137	точка зрения	1	2
138	и у	1	2
139	уже в	3	2
140	в виде	2	2
141	на ней	1	2
142	из них	4	2
143	его и	1	2
144	в одном	3	2
145	вовсе не	1	2
146	отличие от	2	2
147	рядом с	1	2
148	с другой	1	2
149	не было	1	2
150	на этот	2	2
151	по крайней	1	2
152	и вообще	1	2
153	и тогда	1	2
154	это уже	1	2
155	в окончательном	1	2
156	но если	1	2
157	во всяком	2	2
158	можно говорить	1	1
159	как его	1	1
160	на другой	1	1
161	и должно	1	1
162	это и	1	1
163	мы говорим	1	1
164	в первом	3	1
165	нас на	1	1
166	быть действительно	1	1
167	мы уже	1	1
168	той же	2	1
169	из всех	1	1
170	в первый	1	1
171	что уже	1	1
172	мы получаем	3	1
173	свою очередь	2	1
174	между собой	3	1
175	она развивается	1	1
176	и механическое	1	1
177	быть в	1	1
178	это означало	1	1
179	с его	1	1
180	во всех	1	1
181	веры но	1	1
182	еще одним	1	1
183	но как	1	1
184	если в	1	1
185	чем же	1	1
186	в гости	1	1
187	другой день	1	1
188	с этим	2	1
189	и нет	1	1
190	и к	3	1
191	что это	2	1
192	в известном	1	1
193	из этих	2	1
194	нами в	1	1
195	и до	1	1
196	какую бы	1	1
197	о принципиальной	2	1
198	эта система	1	1
199	к одному	1	1
200	можно было	1	1
201	в каждом	8	1
202	совпадают с	1	1
203	что все	2	1
204	значение в	2	1
205	образом если	1	1
206	было бы	3	1
207	должен был	1	1
208	в споре	1	1
209	по себе	1	1
210	ведь в	1	1
211	в ином	1	1
212	ни в	1	1
213	для них	1	1
214	нет в	1	1
215	несмотря на	1	1
216	мы видели	4	1
217	жизни но	1	1
218	мы знаем	2	1
219	в развитии	4	1
220	должно быть	1	1
221	в один	2	1
222	их на	1	1
223	в эту	1	1
224	совсем иного	1	1
225	отчасти в	1	1
226	таким же	1	1
227	это делает	1	1
228	развития что	1	1
229	знаем что	2	1
230	является только	1	1
231	почти совершенно	1	1
232	такую же	1	1
233	и более	1	1
234	важную роль	1	1
235	зрения и	1	1
236	необходимо сказать	1	1
237	о значении	2	1
238	она не	1	1
239	что с	1	1
240	в обоих	1	1
241	дело в	1	1
242	но только	1	1
243	он с	1	1
244	не имеет	1	1
245	это совершенно	1	1
246	жизни не	1	1
247	и соответственно	1	1
248	дает нам	2	1
249	но очень	2	1
250	эта функция	1	1
251	жизни как	1	1
252	в области	3	1
253	ли это	1	1
254	и несколько	1	1
255	он называет	1	1
256	не давая	1	1
257	стороны и	1	1
258	не могут	2	1
259	для развития	2	1
260	той или	1	1
261	на это	1	1
262	если же	2	1
263	ничего общего	1	1
264	дальнейшем мы	1	1
265	должен быть	1	1
266	своего развития	1	1
267	как мы	2	1
268	с самого	3	1
269	ясно что	3	1
270	каждого из	2	1
271	еще в	1	1
272	развития в	2	1
273	когда в	1	1
274	том как	1	1
275	поэтому в	1	1
276	с человеком	1	1
277	но отнюдь	1	1
278	поступков я	1	1
279	же необходимо	1	1
280	в другом	1	1
281	одного из	1	1
282	с одной	2	1
283	и ставит	1	1
284	утверждает что	1	1
285	может не	3	1
286	в конечном	1	1
287	а потому	1	1
288	значит что	1	1
289	известном смысле	1	1
290	не сказано	1	1
291	ли он	1	1
292	из многих	1	1
293	может оказаться	1	1
294	то он	1	1
295	такое же	1	1
296	или же	2	1
297	связи с	1	1
298	не можем	7	1
299	в большинстве	1	1
300	не из	1	1
301	не дает	2	1
302	конечном счете	1	1
303	и их	1	1
304	сами по	1	1
305	же это	4	1
306	или иной	2	1
307	говорим о	2	1
308	требует новых	1	1
309	и эту	1	1
310	его с	1	1
311	и прежде	1	1
312	нужно сказать	1	1
313	позиции в	1	1
314	ясного и	2	1
315	ни о	1	1
316	самого начала	3	1
317	всегда и	1	1
318	всецело и	1	1
319	в связи	1	1
320	действия в	1	1
321	нет никаких	1	1
322	и особенно	1	1
323	в течение	1	1
324	такого рода	2	1
325	что же	5	1
326	человек с	1	1
327	с необходимостью	3	1
328	отличается от	3	1
329	и для	1	1
330	для ее	1	1
331	в результате	6	1
332	а все	3	1
333	это как	1	1
334	человек и	1	1
335	себя самого	1	1
336	для нас	3	1
337	к различным	1	1
338	или нет	1	1
339	а может	1	1
340	держится на	1	1
341	еще более	2	1
342	и ни	1	1
343	теперь же	2	1
344	тот же	2	1
345	этого развития	1	1
346	она продолжается	1	1
347	а о	1	1
348	в свою	2	1
349	между ними	1	1
350	не знает	1	1
351	сказать что	1	1
352	не быть	1	1
353	но можно	1	1
354	совершенно не	2	1
355	к действию	3	1
356	и свою	1	1
