N	2gram	Berdyaev_M_1	RusskieA
283	весь мир	1	1
284	нет в	4	1
285	в этой	6	1
286	жизни то	1	1
287	они идут	1	1
288	он и	2	1
289	оно имеет	1	1
290	и благополучия	1	1
291	смысл и	1	1
292	веков в	1	1
293	но если	3	1
294	еще менее	1	1
295	но христос	1	1
296	и без	1	1
297	установить что	1	1
298	место в	2	1
299	не столько	1	1
300	этого вопроса	1	1
301	что до	1	1
302	что я	1	1
303	без основания	1	1
304	точку зрения	1	1
305	и эти	1	1
306	что сам	1	1
307	и наоборот	1	1
308	сам он	1	1
309	что христос	2	1
310	более зрелый	1	1
311	что есть	5	1
312	привела к	2	1
313	в то	2	1
314	хотелось бы	1	1
315	что их	1	1
316	в основе	2	1
317	когда они	1	1
318	в самых	1	1
319	все свои	1	1
320	земли не	1	1
321	прежде чем	2	1
322	и его	9	1
323	к этим	2	1
324	и сама	2	1
325	не потому	1	1
326	в духе	1	1
327	и всех	1	1
328	обращение к	1	1
329	быть назван	1	1
330	смысле в	2	1
331	и это	12	1
332	они должны	1	1
333	и о	1	1
334	в виду	2	1
335	на природу	2	1
336	идет не	1	1
337	то время	2	1
338	для нового	1	1
339	слова а	1	1
340	на том	3	1
341	и сам	1	1
342	можно было	1	1
343	были против	1	1
344	из всего	1	1
345	было в	1	1
346	и каждый	1	1
347	и мы	2	1
348	уже на	1	1
349	разного рода	2	1
350	жизнь и	1	1
351	быть может	7	1
352	если бы	2	1
353	их но	1	1
354	и нужно	2	1
355	и та	1	1
356	при котором	1	1
357	теми которые	1	1
358	в глаза	1	1
359	нас в	1	1
360	первого дня	1	1
361	к нему	7	1
362	не могло	1	1
363	по типу	1	1
364	и во	2	1
365	говорить об	1	1
366	исследования о	1	1
367	борьбе с	1	1
368	ней связаны	1	1
369	от одного	1	1
370	во всей	1	1
371	примыкает к	1	1
372	и менее	1	1
373	о своих	2	1
374	было бы	10	1
375	не так	3	1
376	бросается в	1	1
377	на которой	1	1
378	сразу же	1	1
379	в верхнем	1	1
380	что он	10	1
381	и действительно	1	1
382	он во	1	1
383	он уже	6	1
384	бы ни	1	1
385	жизни как	1	1
386	на первую	1	1
387	это ни	1	1
388	уже в	4	1
389	в нашей	1	1
390	только одно	3	1
391	него нет	1	1
392	земли и	1	1
393	всяком случае	1	1
394	т п	1	1
395	не могут	5	1
396	от того	1	1
397	хотел бы	4	1
398	не до	1	1
399	их нужно	1	1
400	с русским	1	1
401	которая должна	1	1
402	влияние на	1	1
403	как у	1	1
404	каждый человек	1	1
405	главное и	1	1
406	типу своему	1	1
407	к которому	1	1
408	с той	1	1
409	писал о	1	1
410	мы еще	2	1
411	он считал	1	1
412	что не	1	1
413	обратиться к	1	1
414	говорит о	1	1
415	связано с	2	1
416	света и	2	1
417	у других	1	1
418	и самый	2	1
419	жизнь в	1	1
420	точек зрения	1	1
421	долгое время	2	1
422	которой он	1	1
423	одна и	1	1
424	под влиянием	1	1
425	если не	1	1
426	себя на	1	1
427	в старом	1	1
428	в иной	3	1
429	в иных	3	1
430	в пределах	1	1
431	по своему	2	1
432	наряду с	1	1
433	в той	2	1
434	и смысла	1	1
435	же можно	2	1
436	ко всему	1	1
437	быть не	2	1
438	есть и	3	1
439	что мы	1	1
440	ближе к	1	1
441	только одна	1	1
442	он видел	1	1
443	связана и	1	1
444	к пониманию	1	1
445	не раскрывает	1	1
446	его нет	1	1
447	а к	1	1
448	благополучия но	1	1
449	от него	4	1
450	и все	10	1
451	на одной	1	1
452	иное чем	1	1
453	или нет	1	1
454	только с	1	1
455	нет никаких	2	1
456	для людей	1	1
457	но оно	1	1
458	в период	1	1
459	это все	1	1
460	более поздний	1	1
461	не знает	4	1
462	сказать что	2	1
463	для русских	1	1
464	отношению к	2	1
465	оно не	1	1
466	и состоит	1	1
467	всегда была	1	1
468	жизни и	2	1
469	они не	1	1
470	можно назвать	1	1
471	во всяком	1	1
472	все что	2	1
