N	2gram	Nazirov_Tr_1	Mirosoze
259	и доброго	1	1
260	его ума	1	1
261	во всех	1	1
262	самом деле	1	1
263	отказ от	1	1
264	к области	2	1
265	отличие от	2	1
266	и хочу	1	1
267	и петра	1	1
268	как говорит	2	1
269	более чем	1	1
270	стало быть	1	1
271	вот я	1	1
272	романах достоевского	2	1
273	это был	2	1
274	говорит что	2	1
275	силе и	1	1
276	со своей	1	1
277	отказывается от	2	1
278	дьявол и	1	1
279	средство для	1	1
280	страсти я	1	1
281	роль в	1	1
282	имеет для	1	1
283	вы так	1	1
284	в записках	2	1
285	записках из	3	1
286	одержимость идеей	1	1
287	между достоевским	1	1
288	которой не	1	1
289	смертной казни	1	1
290	ставрогине и	1	1
291	к одному	1	1
292	него есть	1	1
293	отцов и	1	1
294	ее жизни	2	1
295	что сам	1	1
296	же не	1	1
297	и чтобы	1	1
298	говорил что	1	1
299	на все	1	1
300	знает что	2	1
301	в душе	2	1
302	это было	1	1
303	дома и	2	1
304	с начала	1	1
305	самостоятельное значение	1	1
306	на первую	1	1
307	а что	2	1
308	мировой литературы	1	1
309	которой он	1	1
310	когда я	1	1
311	с такой	1	1
312	же я	1	1
313	этой связи	1	1
314	в такой	1	1
315	эта тема	1	1
316	достоевский всегда	1	1
317	но у	1	1
318	знает и	1	1
319	понимал что	1	1
320	в отличие	2	1
321	что я	4	1
322	должны были	1	1
323	знал и	1	1
324	сам же	1	1
325	с человека	1	1
326	и тайны	1	1
327	этого зла	1	1
328	достоевского так	1	1
329	не менее	1	1
330	не раз	1	1
331	вплоть до	1	1
332	в обоих	1	1
333	что ему	1	1
334	в трагической	2	1
335	россии но	1	1
336	этими двумя	2	1
337	достоевский никогда	1	1
338	карамазова в	1	1
339	он еще	1	1
340	от достоевского	1	1
341	и добро	1	1
342	во всем	1	1
343	не нужен	1	1
344	в бунте	1	1
345	в области	1	1
346	но все-таки	1	1
347	уже ни	1	1
348	xx века	1	1
349	к себе	1	1
350	в духе	1	1
351	быть свободен	1	1
352	личности при	1	1
353	людей в	1	1
354	творчества достоевского	1	1
355	и о	1	1
356	к людям	3	1
357	в душу	1	1
358	настасьи филипповны	1	1
359	не столько	1	1
360	природе своей	1	1
361	и сам	3	1
362	к окончательному	1	1
363	в образе	6	1
364	можно было	1	1
365	так и	5	1
366	было в	2	1
367	по природе	1	1
368	когда его	1	1
369	жизнь и	3	1
370	в эпоху	1	1
371	и даже	4	1
372	об этом	4	1
373	а к	1	1
374	своей книге	1	1
375	разрушения и	1	1
376	в глаза	2	1
377	она всегда	1	1
378	своеволия в	1	1
379	трагической судьбы	1	1
380	заключается в	1	1
381	а достоевский	1	1
382	доходит до	1	1
383	внешней формы	1	1
384	восходит к	1	1
385	все время	1	1
386	и наконец	1	1
387	и великий	2	1
388	xix век	1	1
389	в новой	1	1
390	между тем	1	1
391	в обществе	1	1
392	между этими	2	1
393	и ее	2	1
394	против всех	1	1
395	лишь бы	1	1
396	так что	2	1
397	он очень	1	1
398	то и	2	1
399	униженных и	16	1
400	завершения в	1	1
401	рассказывает о	1	1
402	него нет	1	1
403	всяком случае	1	1
404	что она	2	1
405	в одном	2	1
406	т п	1	1
407	ее не	1	1
408	к ним	1	1
409	достоевского тема	1	1
410	как его	1	1
411	идет в	1	1
412	характерны для	1	1
413	мир на	1	1
414	рядом с	1	1
415	глава i	1	1
416	русской интеллигенции	1	1
417	как у	2	1
418	в ставрогине	1	1
419	человек слишком	1	1
420	чем он	2	1
421	и др	1	1
422	что не	1	1
423	обратиться к	1	1
424	говорит о	2	1
425	и возвращается	1	1
426	а на	1	1
427	попал в	1	1
428	может ли	1	1
429	власти и	1	1
430	вызывает в	1	1
431	себя на	1	1
432	настасью филипповну	1	1
433	и психологической	1	1
434	мог быть	1	1
435	в частности	2	1
436	бунта против	2	1
437	исходит от	1	1
438	умирает под	1	1
439	над ним	1	1
440	в моей	1	1
441	мы опять	1	1
442	если так	1	1
443	к жизни	5	1
444	сравнению с	1	1
445	в романах	1	1
446	наряду с	1	1
447	бунт ивана	1	1
448	встреч и	1	1
449	слова он	1	1
450	к образу	1	1
451	это его	1	1
452	для понимания	1	1
453	который он	1	1
454	бросается в	2	1
455	в это	2	1
456	о жизни	2	1
457	человеческая личность	1	1
458	писателя в	1	1
459	но это	4	1
460	о его	2	1
461	это выражение	1	1
462	под влиянием	2	1
463	и зло	1	1
464	ставрогина и	3	1
465	на одной	1	1
466	перед собой	1	1
467	свободы ибо	1	1
468	самое главное	1	1
469	об отношении	1	1
470	всегда была	1	1
471	ивану карамазову	1	1
472	из себя	1	1
473	с потрясающей	1	1
474	я в	1	1
475	личности и	2	1
476	и оскорбленных	17	1
477	за этим	1	1
478	к ее	1	1
479	еще ничего	1	1
480	он же	1	1
481	в период	1	1
482	нужно для	1	1
483	не быть	1	1
484	самой своей	1	1
485	но этот	1	1
486	ко всему	1	1
487	мертвого дома	2	1
488	время он	1	1
489	пришел в	1	1
490	с первого	2	1
491	и эта	1	1
492	природу человека	1	1
493	так же	4	1
494	во всяком	1	1
