N	2gram	Tiupa_Vved_1	OGranits
173	в несколько	1	1
174	особенно в	1	1
175	миром с	1	1
176	осуществляется в	1	1
177	мы имеем	5	1
178	нуждаются в	1	1
179	или их	1	1
180	когда в	2	1
181	на первом	1	1
182	и о	1	1
183	может входить	1	1
184	говоря и	1	1
185	это они	1	1
186	из одного	1	1
187	нам удалось	1	1
188	по себе	2	1
189	по мере	1	1
190	исследования в	1	1
191	как то	1	1
192	на себя	1	1
193	с ее	1	1
194	и который	1	1
195	сводится к	4	1
196	из того	1	1
197	событий и	1	1
198	этого термина	1	1
199	приближается к	1	1
200	не совсем	1	1
201	общения в	1	1
202	в мире	8	1
203	и он	1	1
204	в каждой	1	1
205	стиля мы	1	1
206	внимание на	3	1
207	своей истории	1	1
208	и что	1	1
209	еще не	7	1
210	их исторической	1	1
211	столь же	1	1
212	осмысления и	1	1
213	времени в	3	1
214	не могу	1	1
215	же самые	1	1
216	в конечном	1	1
217	появляется и	1	1
218	к нему	1	1
219	на самом	4	1
220	взаимодействия и	1	1
221	но не	5	1
222	то он	2	1
223	данной ситуации	2	1
224	группируются в	1	1
225	может и	1	1
226	природы и	1	1
227	отношение к	2	1
228	тут же	1	1
229	в едином	3	1
230	в другой	1	1
231	на то	1	1
232	один и	1	1
233	в художественной	1	1
234	они характеризуют	1	1
235	в истории	1	1
236	в одной	2	1
237	внимание к	2	1
238	до его	1	1
239	в своем	5	1
240	по своей	3	1
241	что касается	5	1
242	один из	3	1
243	в цепь	1	1
244	не хотят	2	1
245	что он	1	1
246	более или	2	1
247	который в	2	1
248	в значительной	1	1
249	и ряд	1	1
250	так в	4	1
251	момент как	1	1
252	ни одна	1	1
253	в этой	1	1
254	что к	1	1
255	с их	1	1
256	и тот	1	1
257	сливаются в	2	1
258	не можем	2	1
259	нам как	1	1
260	и у	1	1
261	только на	1	1
262	вследствие этого	3	1
263	в нашей	1	1
264	общения с	1	1
265	и если	1	1
266	и чисто	1	1
267	к слову	1	1
268	что она	1	1
269	или даже	1	1
270	на эту	1	1
271	постановка вопроса	1	1
272	его и	1	1
273	конечном счете	1	1
274	состоит в	10	1
275	в виде	1	1
276	художественного высказывания	2	1
277	в конце	1	1
278	что без	1	1
279	только с	1	1
280	картины мира	5	1
281	самые слова	1	1
282	из него	1	1
283	каждый из	1	1
284	шкловского и	1	1
285	подобно тому	2	1
286	отличие от	2	1
287	на этом	1	1
288	людей и	1	1
289	встречаются в	1	1
290	угадывается в	1	1
291	в вечности	1	1
292	ни о	1	1
293	и слушателю	1	1
294	же не	1	1
295	косвенной речи	1	1
296	воплощенной в	1	1
297	в особенности	1	1
298	в совершенно	1	1
299	понимаем всю	1	1
300	бы быть	1	1
301	в лирике	1	1
302	как к	1	1
303	если говорить	1	1
304	и иных	1	1
305	к которому	2	1
306	свести к	1	1
307	мира это	2	1
308	что мы	2	1
309	только к	1	1
310	только одно	1	1
311	обратиться к	2	1
312	для них	3	1
313	ее исследования	1	1
314	произведение как	1	1
315	о которых	1	1
316	не было	2	1
317	о художественном	1	1
318	а на	2	1
319	которые не	1	1
320	все равно	2	1
321	далеко не	4	1
322	автору и	1	1
323	не всегда	2	1
324	которой он	1	1
325	он и	2	1
326	отнюдь не	7	1
327	автора и	1	1
328	разных местах	1	1
329	особенностей и	1	1
330	и застывает	1	1
331	или менее	2	1
332	но при	5	1
333	и вполне	1	1
334	сводятся к	2	1
335	связь с	1	1
336	но если	1	1
337	себе в	1	1
338	и особенно	1	1
339	как это	1	1
340	которого является	1	1
341	и языка	1	1
342	о возможности	1	1
343	или нет?	1	1
344	в отличие	2	1
345	в которых	1	1
346	бы мы	1	1
347	к этому	2	1
348	такого рода	16	1
349	тому как	2	1
350	и вот	1	1
351	объединены в	1	1
352	наполнения и	1	1
353	тем не	3	1
354	прямая речь	1	1
355	и более	3	1
356	их в	2	1
357	в ряду	2	1
358	и наоборот	1	1
359	и ценностных	1	1
360	быть не	4	1
361	что такое	18	1
362	в контексте	1	1
363	тому что	1	1
364	быть и	2	1
365	письма к	2	1
366	до конца	3	1
367	вплоть до	1	1
368	но это	3	1
369	о теории	1	1
370	и оно	2	1
371	в начале	3	1
372	преображения и	1	1
373	обратимся к	2	1
374	в то	4	1
375	как о	2	1
376	к другим	1	1
377	одна из	4	1
378	в науке	1	1
379	пространство и	2	1
380	того чтобы	1	1
381	объекта и	1	1
382	на самый	1	1
383	само по	1	1
384	но такой	1	1
385	при таком	1	1
386	не существует	2	1
387	в разных	1	1
388	и становится	1	1
389	однако если	1	1
390	или в	1	1
391	того как	1	1
392	находятся в	1	1
393	же время	3	1
394	в основе	3	1
395	же остается	1	1
396	материале и	1	1
397	а лишь	2	1
398	только что	1	1
399	потому что	5	1
400	связи с	1	1
401	науке о	1	1
402	этом отношении	4	1
403	не вполне	3	1
404	об этом	4	1
405	от первого	1	1
406	это все	1	1
407	не знает	1	1
408	сказать что	1	1
409	все то	1	1
410	речевого взаимодействия	1	1
411	возникает весьма	1	1
412	не входит	1	1
413	о литературе	1	1
414	почти вся	1	1
415	ли не	2	1
416	же самое	1	1
417	вместе с	1	1
418	как для	2	1
419	например в	2	1
420	по поводу	2	1
421	со времен	1	1
422	они не	1	1
