N	2gram	Tiupa_Hudo_2	Tvorches
680	для читателя	1	1
681	героя а	1	1
682	смерти отца	1	1
683	была не	1	1
684	чем не	1	1
685	за человек	1	1
686	во все	1	1
687	том чтобы	1	1
688	и более	1	1
689	жизни но	1	1
690	в речи	1	1
691	той или	1	1
692	с автором	1	1
693	без церемонии	1	1
