N	2gram	Tiupa_Vved_1	SlovoVZh
112	и та	1	2
113	настоящее время	1	2
114	и что	1	2
115	между собой	2	2
116	данном случае	6	2
117	в данном	13	2
118	к слову	1	2
119	в его	4	2
120	что и	2	2
121	подчеркнуть что	5	2
122	в форме	1	2
123	относится к	1	2
124	в своем	5	2
125	жизненной ситуации	1	2
126	в формах	1	2
127	как уже	1	2
128	дело с	2	2
129	в какой	4	2
130	и потому	1	2
131	и так	1	2
132	в настоящее	1	2
133	эти моменты	1	2
134	бы не	2	2
135	с одной	5	2
136	уже в	1	2
137	тому же	4	2
138	слово это	1	2
139	жизнью и	1	2
140	он не	3	2
141	перестает быть	1	2
142	не так	1	2
143	в корне	1	2
144	в зависимости	1	2
145	к ним	2	2
146	мы можем	2	2
147	из него	1	2
148	и оценки	1	2
149	в особенности	1	2
150	с другими	1	2
151	это не	6	2
152	до известной	1	2
153	кругозора и	1	2
154	оно не	1	2
155	одной стороны	5	2
156	зависит от	2	2
157	до конца	3	2
158	другой стороны	2	2
159	автора и	1	2
160	имеет место	4	2
161	в комнате	1	2
162	связь с	1	2
163	нет ничего	1	2
164	вместе с	1	2
165	в отношении	1	2
166	к его	3	2
167	но не	5	2
168	место в	2	2
169	быть только	2	2
170	в то	4	2
171	и притом	1	2
172	на него	2	2
173	известной степени	1	2
174	слова но	2	2
175	а к	3	2
176	и все	4	2
177	но зато	1	2
178	все они	2	2
179	в этих	3	2
180	но это	3	2
181	между ними	1	2
182	стороны и	1	2
183	им не	1	2
184	могут быть	4	2
185	и вполне	1	2
186	же самое	1	2
187	в событии	4	2
188	что в	3	2
189	к этому	2	2
190	если же	1	2
191	за ее	1	1
192	например в	2	1
193	как мы	3	1
194	и о	1	1
195	с ее	1	1
196	свою очередь	4	1
197	миром и	1	1
198	на основе	1	1
199	характер и	1	1
200	в приведенном	2	1
201	тем же	1	1
202	и автора	1	1
203	в произведении	1	1
204	сохраняет при	1	1
205	некоторого события	1	1
206	высшей степени	2	1
207	становится лишь	1	1
208	по аналогии	1	1
209	можно было	2	1
210	этом направлении	1	1
211	было в	1	1
212	так называемую	1	1
213	нуждаются в	1	1
214	классической и	1	1
215	это только	2	1
216	та же	1	1
217	из одного	1	1
218	взаимодействие и	1	1
219	высказывания в	1	1
220	он как	1	1
221	не вполне	3	1
222	на себя	1	1
223	то она	1	1
224	сводится к	4	1
225	общения в	1	1
226	и он	1	1
227	нашем случае	2	1
228	определенным образом	1	1
229	за пределами	3	1
230	но при	5	1
231	словесного творчества	1	1
232	основе своей	1	1
233	и который	1	1
234	на их	1	1
235	столь же	1	1
236	аналогии с	1	1
237	в значительной	1	1
238	художественного смысла	2	1
239	во всех	2	1
240	в конечном	1	1
241	положения и	1	1
242	важно не	2	1
243	то в	1	1
244	от его	1	1
245	его смысла	2	1
246	которой было	1	1
247	к которой	1	1
248	конечном счете	1	1
249	автор как	1	1
250	произведение не	1	1
251	необходимо все	1	1
252	крайней мере	1	1
253	что они	1	1
254	и уж	1	1
255	и она	1	1
256	в одной	2	1
257	не входят	1	1
258	если она	2	1
259	опирается на	1	1
260	так называемая	1	1
261	второй план	1	1
262	в современной	3	1
263	далее мы	1	1
264	поле зрения	1	1
265	перед нами	6	1
266	хотя и	7	1
267	в двух	1	1
268	и понимания	2	1
269	тот же	1	1
270	мы увидим	1	1
271	более или	2	1
272	зрения как	1	1
273	более глубокую	1	1
274	именно эта	1	1
275	нашего времени	2	1
276	о самом	1	1
277	это особый	1	1
278	героического эпоса	1	1
279	тому как	2	1
280	во времени	2	1
281	нам удалось	1	1
282	что это	1	1
283	в целом	3	1
284	позиции автора	1	1
285	если мы	1	1
286	себя в	1	1
287	еще один	1	1
288	есть в	2	1
289	сливаются в	2	1
290	не можем	2	1
291	так можно	1	1
292	не обходится	1	1
293	в виде	1	1
294	что она	1	1
295	противном случае	1	1
296	обращение к	1	1
297	или даже	1	1
298	или просто	1	1
299	и точек	1	1
300	образом для	1	1
301	его и	1	1
302	сказано в	1	1
303	себе в	1	1
304	и их	1	1
305	этого нельзя	1	1
306	всяком случае	1	1
307	не как	2	1
308	художественного высказывания	2	1
309	в одном	1	1
310	и вот	1	1
311	в пространстве	1	1
312	вовсе не	1	1
313	у нее	2	1
314	как его	2	1
315	у него	1	1
316	подобно тому	2	1
317	на этом	1	1
318	природой и	1	1
319	значительной степени	1	1
320	что является	1	1
321	том же	1	1
322	здесь мы	1	1
323	и только	1	1
324	что все	1	1
325	ее пределы	1	1
326	которой принадлежит	1	1
327	оно становится	1	1
328	мы воспринимаем	1	1
329	и т.п	9	1
330	входит в	1	1
331	на протяжении	1	1
332	и иных	1	1
333	и мы	1	1
334	было бы	4	1
335	и создает	1	1
336	к которому	2	1
337	этом смысле	1	1
338	и прежде	1	1
339	она стала	1	1
340	в воспринимающем	1	1
341	и тем	2	1
342	окружающей его	1	1
343	один и	1	1
344	кажется что	1	1
345	тем о	1	1
346	только к	1	1
347	что для	1	1
348	для них	3	1
349	не было	2	1
350	на второй	1	1
351	а с	2	1
352	не знает	1	1
353	все равно	2	1
354	далеко не	4	1
355	и выражают	1	1
356	не на	1	1
357	в ее	1	1
358	в слове	3	1
359	не всегда	2	1
360	которой он	1	1
361	одна и	1	1
362	несмотря на	1	1
363	о чем	2	1
364	так называемый	1	1
365	на эту	1	1
366	и было	1	1
367	же не	1	1
368	в истории	1	1
369	обратимся к	2	1
370	и того	2	1
371	восприятия и	1	1
372	и становится	1	1
373	мы видели	2	1
374	или менее	2	1
375	это на	1	1
376	но если	1	1
377	в частности	13	1
378	видели в	1	1
379	то он	2	1
380	автора с	1	1
381	это делает	1	1
382	то есть	8	1
383	к одному	1	1
384	но сами	1	1
385	что я	1	1
386	наряду с	2	1
387	и тот	1	1
388	всегда имеет	1	1
389	сами по	1	1
390	по крайней	1	1
391	слов в	1	1
392	в особых	2	1
393	того кто	1	1
394	ключ как	1	1
395	на ранних	1	1
396	что до	1	1
397	материал для	1	1
398	случае мы	1	1
399	на другое	1	1
400	события а	1	1
401	по мере	1	1
402	в высшей	2	1
403	с которой	1	1
404	в противном	1	1
405	как о	2	1
406	в науке	1	1
407	не является	3	1
408	в основе	3	1
409	только одна	1	1
410	только а	1	1
411	при таком	1	1
412	того чтобы	1	1
413	не существует	2	1
414	взятый в	1	1
415	в игру	1	1
416	всей его	2	1
417	это мы	1	1
418	имеет дело	1	1
419	в результате	3	1
420	которой можно	1	1
421	человек и	1	1
422	в качестве	8	1
423	герою но	1	1
424	имеем дело	3	1
425	к одной	1	1
426	же время	3	1
427	полагать что	1	1
428	еще более	1	1
429	не должен	1	1
430	мы должны	1	1
431	что ситуация	1	1
432	по своей	3	1
433	если нам	2	1
434	а лишь	2	1
435	смысла то	1	1
436	герой нашего	1	1
437	связи с	1	1
438	участие в	1	1
439	науке о	1	1
440	обстоит дело	1	1
441	в искусстве	1	1
442	в свою	4	1
443	это уже	1	1
444	как будто	4	1
445	этом отношении	4	1
446	анализа в	1	1
447	кругозором и	1	1
448	жизни в	4	1
449	нам не	1	1
450	в области	3	1
451	ситуации и	3	1
452	приближается к	1	1
453	может и	1	1
454	у нас	1	1
455	и оно	2	1
456	все то	1	1
457	самой своей	1	1
458	только внешней	1	1
459	является и	1	1
460	о литературе	1	1
461	есть только	1	1
462	и героев	1	1
463	культуры в	1	1
464	время не	1	1
465	героя в	1	1
466	частности в	2	1
467	этого события	1	1
468	но эти	1	1
469	к другим	1	1
470	и слушателю	1	1
471	в таком	1	1
472	во всяком	1	1
473	они не	1	1
474	слова это	1	1
475	к тому	6	1
