N	2gram	Tiupa_Hudo_2	Morfolog
261	непонятно почему	1	1
262	в которой	1	1
263	к другому	1	1
264	из этих	2	1
265	не в	13	1
266	в этой	5	1
267	остановиться на	1	1
268	нами в	1	1
269	и тот	1	1
270	быть объяснена	1	1
271	но ведь	1	1
272	его но	1	1
273	уже иное	1	1
274	что она	7	1
275	на свое	1	1
276	лишь с	1	1
277	каждое утро	1	1
278	по его	3	1
279	в каждом	1	1
280	здесь мы	1	1
281	то ни	1	1
282	он входит	1	1
283	героя при	1	1
284	с другими	3	1
285	то все	1	1
286	всего по	1	1
287	например с	1	1
288	и тем	1	1
289	даже в	1	1
290	в это	3	1
291	о которых	2	1
292	превращаются в	1	1
293	служит в	1	1
294	дороге на	1	1
295	на что	1	1
296	характерно что	3	1
297	чем в	1	1
298	других и	1	1
299	может идти	1	1
300	в саду	1	1
301	и становится	2	1
302	является непосредственным	1	1
303	том как	2	1
304	этой связи	2	1
305	не столько	2	1
306	самого героя	1	1
307	что говорит	2	1
308	могло бы	1	1
309	что я	2	1
310	и уж	1	1
311	при этом	11	1
312	но он	1	1
313	теми же	1	1
314	вырастает в	1	1
315	все это	3	1
316	не должно	1	1
317	для нее	4	1
318	видит в	2	1
319	мы пока	1	1
320	своей дочерью	1	1
321	своей смерти	1	1
322	тому что	4	1
323	она не	5	1
324	то с	1	1
325	ее иногда	1	1
326	ему хочется	1	1
327	и начинает	1	1
328	для меня	1	1
329	что с	1	1
330	она могла	1	1
331	самого начала	1	1
332	что ему	1	1
333	то чего	1	1
334	того как	2	1
335	и притом	1	1
336	и сама	4	1
337	в основе	2	1
338	не вызывает	1	1
339	дело не	2	1
340	а сама	1	1
341	появляются в	1	1
342	же время	4	1
343	рассказа как	1	1
344	этих двух	1	1
345	постольку поскольку	1	1
346	к концу	1	1
347	как на	2	1
348	окна и	1	1
349	одним из	1	1
350	и животные	1	1
351	в момент	1	1
352	встречается в	1	1
353	и вдруг	1	1
354	всего в	1	1
355	к тому	7	1
356	героя например	2	1
357	той или	1	1
358	все еще	1	1
359	на это	1	1
360	только одну	1	1
361	с ее	5	1
362	людей в	2	1
363	же не	2	1
364	данном случае	2	1
365	ни стало	1	1
366	и говорит	1	1
367	с самого	1	1
368	и исчезает	1	1
369	всей своей	1	1
370	приводит к	2	1
371	роль в	2	1
372	на свой	2	1
373	в глаза	1	1
374	те же	2	1
375	в плоскости	1	1
376	еще в	1	1
377	соответствующего согласия	1	1
378	когда в	3	1
379	во второй	2	1
380	как персонаж	1	1
381	по ее	1	1
382	и с	6	1
383	что от	1	1
384	дома он	1	1
385	других лиц	1	1
386	в последней	2	1
387	но иногда	1	1
388	на ходе	1	1
389	со двора	1	1
390	но мы	1	1
391	бы то	1	1
392	и просто	2	1
393	как было	1	1
394	того или	2	1
395	их в	1	1
396	он возвращается	1	1
397	за этим	1	1
398	нечто иное	1	1
399	и всякая	1	1
400	в его	11	1
401	и хорошо	1	1
402	на одном	1	1
403	одна не	1	1
404	в другой	1	1
405	тот момент	1	1
406	что бы	1	1
407	спору нет	1	1
408	к ней	2	1
409	не зная	2	1
410	о его	2	1
411	в новой	1	1
412	отца не	1	1
413	с ними	3	1
414	ли он	2	1
415	говорить о	2	1
416	он первый	1	1
417	который в	2	1
418	но то	1	1
419	все они	3	1
420	со всеми	1	1
421	было так	2	1
422	же и	2	1
423	и у	2	1
424	мы получим	1	1
425	в нашей	1	1
426	действующего лица	1	1
427	что не	2	1
428	за ним	1	1
429	и соответствующего	1	1
430	их как	1	1
431	в одном	3	1
432	домой с	1	1
433	у него	5	1
434	и никогда	1	1
435	это по	1	1
436	героя его	1	1
437	в с	1	1
438	были бы	1	1
439	к двум	1	1
440	только на	5	1
441	другого и	2	1
442	и даже	1	1
443	со стороны	3	1
444	или иной	2	1
445	до сих	2	1
446	на ее	3	1
447	именно в	2	1
448	а именно	1	1
449	человека а	1	1
450	как же	2	1
451	еще и	2	1
452	такое же	1	1
453	ей не	2	1
454	на которых	1	1
455	в рассказе	21	1
456	что несмотря	1	1
457	о чем	8	1
458	уже давно	1	1
459	все более	1	1
460	вступает в	1	1
461	о себе	3	1
462	в одной	1	1
463	же с	1	1
464	этот мотив	2	1
465	всех людей	1	1
466	в данном	2	1
467	что за	1	1
468	в течение	1	1
469	они все	2	1
470	это его	1	1
471	откуда они	1	1
472	в тот	1	1
473	из этой	1	1
474	отношения к	1	1
475	в ряду	2	1
476	как будто	4	1
477	что же	2	1
478	с этой	1	1
479	на другое	1	1
480	думает о	1	1
481	еще раз	1	1
482	сих пор	2	1
483	только для	2	1
484	же самое	3	1
485	у вас	4	1
486	отношении между	1	1
487	на улице	1	1
488	потому не	1	1
489	она может	2	1
490	же мне	1	1
491	в голову	2	1
492	то не	1	1
493	для нас	3	1
494	и все	7	1
495	бы в	1	1
496	на других	1	1
497	у которого	2	1
498	том случае	1	1
499	она его	1	1
500	не будет	2	1
501	первый раз	1	1
502	между ними	2	1
503	только о	1	1
504	таким же	1	1
505	случае если	1	1
506	в таком	1	1
