N	2gram	Medvedev_F_1	NovoeSre
406	только одна	1	1
407	та или	1	1
408	в свою	8	1
409	не начало	1	1
410	от всех	3	1
411	жизни а	1	1
412	есть только	1	1
413	во все	1	1
414	их место	1	1
415	есть и	1	1
416	и всех	1	1
417	в которой	4	1
418	числе и	1	1
419	для настоящего	1	1
420	ведь прежде	1	1
421	что новое	1	1
422	во всяком	4	1
423	формы познания	1	1
424	свое и	1	1
425	оно не	4	1
426	но сама	1	1
427	как на	4	1
428	том числе	1	1
