N	2gram	Losev_Vesc_1	Formalny
225	то ни	4	2
226	они должны	1	2
227	разница между	1	2
228	но совершенно	2	2
229	для нее	2	2
230	должен был	1	2
231	и тем	3	2
232	бы совершенно	1	2
233	ни в	1	2
234	со смыслом	1	2
235	должно быть	6	2
236	смысл и	9	2
237	том что	8	2
238	нужно было	2	2
239	в этих	1	2
240	не так	1	2
241	представление о	1	2
242	себе а	1	2
243	в отличие	1	2
244	от его	2	2
245	их в	3	2
246	для этого	4	2
247	тому что	2	2
248	она не	4	2
249	тем самым	1	2
250	что эта	1	2
251	для определения	2	2
252	и другое	4	2
253	ее с	5	2
254	для всего	1	2
255	находится в	3	2
256	никогда не	2	2
257	слово и	4	2
258	этих двух	2	2
259	как она	4	2
260	стоит перед	1	2
261	есть только	7	2
262	что на	2	2
263	и это	14	2
264	и о	3	2
265	на нем	1	2
266	в ее	7	2
267	в в	2	2
268	и от	3	2
269	приводит к	1	2
270	и совершенно	1	2
271	времени и	1	2
272	было в	1	2
273	сам он	1	2
274	подойти к	1	2
275	мы в	1	2
276	с ним	8	2
277	и восприятия	1	2
278	в виду	2	2
279	и нужно	1	2
280	только так	1	2
281	в применении	1	2
282	этом понятии	1	2
283	является в	2	2
284	во всей	1	2
285	это не	5	2
286	от этих	1	2
287	если это	2	2
288	один из	3	2
289	с ними	3	2
290	этот вопрос	1	2
291	смысла т	2	2
292	не будет	12	2
293	потому что	16	2
294	в качестве	1	2
295	же и	1	2
296	с нею	18	2
297	вопроса о	1	2
298	является не	1	2
299	при помощи	2	2
300	в котором	3	2
301	сами по	3	2
302	в конце	2	2
303	общения и	2	2
304	нее не	1	2
305	не просто	19	2
306	смысла и	5	2
307	имеет значение	1	2
308	со стороны	5	2
309	даже не	7	2
310	а именно	1	2
311	между ними	3	2
312	превращается в	1	2
313	ничем не	3	2
314	есть лишь	2	2
315	конце концов	2	2
316	его как	1	2
317	ни на	3	2
318	к его	1	2
319	как это	2	2
320	в той	3	2
321	применении к	2	2
322	из этого	1	2
323	но это	10	2
324	в чем	6	2
325	не отрицает	1	2
326	от всякого	4	2
327	слово в	2	2
328	сказать что	17	2
329	от всех	4	2
330	равно как	2	2
331	в работах	2	2
332	ее в	1	2
333	и другие	1	2
334	смысле что	1	2
335	вещь воспринимается	1	1
336	и а	2	1
337	связана с	1	1
338	того же	5	1
339	и без	3	1
340	и новое	1	1
341	но тогда	3	1
342	своей основной	1	1
343	к чему-то	1	1
344	в чисто	1	1
345	из его	2	1
346	не вещь	2	1
347	ведь и	5	1
348	собственном смысле	3	1
349	и больше	9	1
350	когда это	1	1
351	и этот	2	1
352	обойтись без	2	1
353	той же	2	1
354	совершенно в	1	1
355	есть не	14	1
356	мы имеем	7	1
357	и само	2	1
358	что если	1	1
359	из своих	1	1
360	и новые	1	1
361	на эти	1	1
362	можно различить	1	1
363	так чтобы	2	1
364	но она	3	1
365	что иное	7	1
366	не вполне	2	1
367	из того	2	1
368	которое не	1	1
369	но даже	3	1
370	и самой	1	1
371	конечно и	1	1
372	и заставляет	2	1
373	как не	1	1
374	себе что	3	1
375	при таких	1	1
376	каждое новое	1	1
377	без всякого	4	1
378	именно эти	1	1
379	иное как	7	1
380	на их	2	1
381	бы то	4	1
382	в различных	1	1
383	подходить к	1	1
384	а тем	1	1
385	то он	1	1
386	внутренняя форма	1	1
387	мы будем	1	1
388	точка зрения	1	1
389	смысле мы	1	1
390	силы и	1	1
391	с трудом	1	1
392	только тогда	3	1
393	в эти	1	1
394	ее понимают	1	1
395	если она	1	1
396	в своем	6	1
397	и нет	1	1
398	и где	1	1
399	и есть	26	1
400	увидеть в	1	1
401	не отрицал	1	1
402	и конкретной	2	1
403	даже просто	1	1
404	более или	1	1
405	в действительности	7	1
406	это определение	1	1
407	нет никакой	2	1
408	все новые	1	1
409	вещи но	14	1
410	духа в	1	1
411	от чего	2	1
412	чем-то совершенно	1	1
413	бы сказать	2	1
414	так или	4	1
415	выражение в	3	1
416	думать что	1	1
417	но он	2	1
418	и резко	1	1
419	на то	4	1
420	если он	1	1
421	но на	2	1
422	смыслом и	3	1
423	не могла	1	1
424	мы везде	1	1
425	форма и	1	1
426	и стало	1	1
427	по самому	3	1
428	тем не	3	1
429	и еще	2	1
430	в принципе	1	1
431	к одному	3	1
432	эта основная	1	1
433	я занимаюсь	2	1
434	том чтобы	1	1
435	слово или	1	1
436	быть с	1	1
437	сделать и	1	1
438	понятие же	1	1
439	и творческого	1	1
440	новое понимание	1	1
441	всех своих	1	1
442	и выражения	2	1
443	всего то	2	1
444	именно это	1	1
445	от других	1	1
446	тут не	5	1
447	мы его	1	1
448	могла бы	3	1
449	же не	1	1
450	в определенном	1	1
451	значение в	1	1
452	в другом	2	1
453	определенном направлении	1	1
454	и чтобы	1	1
455	в виде	1	1
456	вещь а	1	1
457	его своим	1	1
458	или если	1	1
459	сейчас можно	1	1
460	действительности в	2	1
461	е уже	1	1
462	в новое	1	1
463	как общее	1	1
464	же мы	1	1
465	эти вопросы	1	1
466	случае мы	1	1
467	все равно	2	1
468	новые формы	1	1
469	и вне	2	1
470	палку в	1	1
471	в данном	5	1
472	которая именно	1	1
473	или менее	1	1
474	можно только	4	1
475	отрыве от	2	1
476	но если	8	1
477	том как	1	1
478	и тут	3	1
479	нас не	1	1
480	от несущественного	1	1
481	не теперь	1	1
482	вопрос о	1	1
483	строго говоря	1	1
484	нельзя было	4	1
485	всего иного	3	1
486	слово для	1	1
487	в россии	2	1
488	по крайней	4	1
489	никак нельзя	1	1
490	как от	1	1
491	же такое	3	1
492	и вся	1	1
493	если и	1	1
494	вещи не	8	1
495	не менее	3	1
496	а а	1	1
497	о значении	1	1
498	иной раз	1	1
499	она могла	2	1
500	мышления и	1	1
501	дело в	4	1
502	и притом	3	1
503	говорят и	1	1
504	существовать в	1	1
505	бытия и	2	1
506	о них	1	1
507	из их	1	1
508	к такому	1	1
509	чем не	2	1
510	это еще	1	1
511	и вещи	3	1
512	к ней	2	1
513	восприятие вещи	1	1
514	самому своему	1	1
515	во всем	1	1
516	далеко не	1	1
517	потому она	1	1
518	вопрос в	1	1
519	только с	3	1
520	так то	3	1
521	как будто	1	1
522	только одна	1	1
523	у нас	7	1
524	же необходимо	1	1
525	и оно	3	1
526	следовательно от	1	1
527	относиться к	1	1
528	во все	1	1
529	ли не	1	1
530	как только	4	1
531	отличается от	7	1
532	же кроется	1	1
533	различных типов	1	1
534	той или	2	1
535	они и	1	1
536	постановки вопроса	1	1
537	к пониманию	3	1
538	ничего общего	1	1
539	должен быть	2	1
540	для себя	5	1
541	трудом можно	1	1
542	учение об	1	1
543	и образ	3	1
544	свою очередь	4	1
545	мыслить и	3	1
546	данном случае	2	1
547	самим собою	2	1
548	только при	1	1
549	в собственном	2	1
550	то или	2	1
551	то чтобы	3	1
552	уже с	1	1
553	только то	2	1
554	степени и	2	1
555	то как	2	1
556	с собой	2	1
557	можно было	2	1
558	от некоторых	1	1
559	ясно что	8	1
560	с самим	4	1
561	таковы что	1	1
562	как таковую	1	1
563	она была	2	1
564	именно этот	1	1
565	это только	1	1
566	ли и	1	1
567	к языку	1	1
568	можно сказать	6	1
569	смысле и	1	1
570	может в	2	1
571	только потому	1	1
572	из основных	1	1
573	социальной действительности	4	1
574	вот почему	3	1
575	так оно	2	1
576	она уже	3	1
577	о том	6	1
578	существенной и	1	1
579	что каждый	1	1
580	до сих	1	1
581	с одной	3	1
582	на что	1	1
583	связанной с	1	1
584	и во	3	1
585	это может	2	1
586	том или	1	1
587	организма и	1	1
588	теперь уже	1	1
589	отвлекаясь от	1	1
590	крайней мере	4	1
591	реальность в	1	1
592	и ни	1	1
593	и смысл	1	1
594	отлично от	2	1
595	и следовательно	7	1
596	и мы	1	1
597	всего внутреннего	1	1
598	познания в	1	1
599	ровно ничего	1	1
600	в современной	1	1
601	как из	1	1
602	в отрыве	2	1
603	тот же	3	1
604	в себе	14	1
605	но ни	1	1
606	и так	1	1
607	поэтому и	1	1
608	все своеобразие	1	1
609	к смыслу	1	1
610	где они	1	1
611	так что	5	1
612	ее смысловой	2	1
613	для всех	1	1
614	конечно не	1	1
615	не можем	1	1
616	вещи а	2	1
617	отрицал и	1	1
618	даже вообще	2	1
619	мере четыре	1	1
620	мы получим	2	1
621	не из	2	1
622	сущность и	1	1
623	отличны от	1	1
624	него нет	1	1
625	себе в	3	1
626	никто не	1	1
627	моментов в	2	1
628	и должна	1	1
629	уже предполагается	1	1
630	содержание и	1	1
631	можно с	2	1
632	ее не	2	1
633	предметом который	1	1
634	но что	2	1
635	чтобы осуществить	1	1
636	естественно что	1	1
637	притом как	1	1
638	существовать как	1	1
639	мы возьмем	2	1
640	сама по	3	1
641	но из	1	1
642	на фактах	1	1
643	момент в	6	1
644	это будет	3	1
645	со всем	5	1
646	смерть а	1	1
647	или иначе	4	1
648	не обязательно	1	1
649	к которому	1	1
650	в свою	4	1
651	как же	3	1
652	вещь и	14	1
653	социальной жизни	1	1
654	говорит о	1	1
655	зависит от	1	1
656	такой постановки	1	1
657	на этот	1	1
658	не на	1	1
659	самого смысла	4	1
660	именно так	1	1
661	на этих	1	1
662	у всех	3	1
663	и исторической	1	1
664	смысл или	3	1
665	что из	2	1
666	ближе к	1	1
667	если не	3	1
668	все вообще	1	1
669	худший вид	1	1
670	все основные	1	1
671	так же	1	1
672	всем что	2	1
673	sui generis	1	1
674	оно только	3	1
675	о различных	1	1
676	отличия и	1	1
677	а так	2	1
678	именно для	1	1
679	о чем	1	1
680	одной стороны	3	1
681	для обозначения	1	1
682	а если	1	1
683	оказалось не	1	1
684	эти признаки	1	1
685	то чем	1	1
686	это различие	2	1
687	факты и	1	1
688	не что	7	1
689	да и	3	1
690	в первой	2	1
691	существу и	1	1
692	система понимания	1	1
693	поэтому когда	1	1
694	нее самой	1	1
695	но почему	1	1
696	сих пор	1	1
697	новые и	1	1
698	теперь остается	1	1
699	но для	2	1
700	в смысле	12	1
701	должны быть	4	1
702	просто как	1	1
703	в более	1	1
704	это новое	1	1
705	сравнить с	1	1
706	могло не	1	1
707	форма слова	1	1
708	такое понимание	1	1
709	о нем	1	1
710	или другой	2	1
711	для нас	2	1
712	собственно говоря	4	1
713	из себя	3	1
714	для его	1	1
715	вообще в	1	1
716	мы должны	2	1
717	же оно	1	1
718	несмотря на	1	1
719	или не	2	1
720	же в	1	1
721	хотя в	1	1
722	лежит в	1	1
723	не дает	1	1
724	судить о	4	1
725	но оно	1	1
726	к самому	1	1
727	е в	7	1
728	нам не	2	1
729	может ведь	1	1
730	только как	1	1
731	этот самый	1	1
732	является и	1	1
733	мере в	1	1
734	только о	1	1
735	можно назвать	1	1
736	в своих	1	1
737	и эта	3	1
738	гораздо более	1	1
739	которая не	1	1
