N	2gram	Nazirov_Tv_1	PoTuStor
330	говорили что	1	1
331	приводит к	2	1
332	протест против	2	1
333	роль в	1	1
334	и что	1	1
335	если они	1	1
336	и сам	1	1
337	что может	1	1
338	с первым	1	1
339	времени и	4	1
340	ли это?	1	1
341	это состояние	1	1
342	еще в	2	1
343	полном согласии	1	1
344	в глубине	1	1
345	о нем	1	1
346	действия но	1	1
347	развития в	1	1
348	и здесь	1	1
349	считают что	1	1
350	году и	1	1
351	внимание на	1	1
352	и та	2	1
353	говорит об	2	1
354	нас в	1	1
355	других людей	2	1
356	человек был	1	1
357	этот момент	1	1
358	эти два	1	1
359	отметить что	1	1
360	наконец в	1	1
361	нем и	1	1
362	неожиданно для	1	1
363	все время	1	1
364	каких бы	2	1
365	человека как	2	1
366	и мир	2	1
367	в которую	1	1
368	к нему	1	1
369	себя с	1	1
370	тот же	2	1
371	к их	1	1
372	делает его	1	1
373	с одной	1	1
374	в качестве	2	1
375	себя в	1	1
376	же и	2	1
377	уже в	3	1
378	терминах личной	1	1
379	то и	1	1
380	в нашей	2	1
381	а это	1	1
382	его и	1	1
383	центр тяжести	1	1
384	ведь это	1	1
385	в конце	1	1
386	вовсе не	5	1
387	ее не	1	1
388	не случайно	4	1
389	заметить что	1	1
390	как раз	1	1
391	рай и	1	1
392	в любви	2	1
393	даже и	1	1
394	науки в	1	1
395	без всякой	1	1
396	с другой	3	1
397	в свою	7	1
398	представляет собою	1	1
399	на чем	1	1
400	а с	1	1
401	что для	2	1
402	говорит о	3	1
403	борьбой с	1	1
404	у нас	1	1
405	одной стороны	1	1
406	на этот	1	1
407	а наоборот	1	1
408	в ребенке	1	1
409	и самый	1	1
410	зависит от	2	1
411	а не	5	1
412	с которым	2	1
413	жизнь в	1	1
414	в руках	1	1
415	в комнате	1	1
416	человек есть	1	1
417	для человека	3	1
418	в связи	1	1
419	в момент	4	1
420	связь с	1	1
421	намек на	2	1
422	этот мотив	1	1
423	не сразу	1	1
424	в человеке	4	1
425	в данном	2	1
426	что же	1	1
427	даже с	1	1
428	из этой	1	1
429	и философии	1	1
430	человеческой психики	1	1
431	сейчас же	1	1
432	полную свободу	1	1
433	о его	1	1
434	так ли	2	1
435	в более	1	1
436	и борьба	1	1
437	это уже	5	1
438	и тесно	1	1
439	и часто	1	1
440	общества путем	1	1
441	в самые	1	1
442	при таком	1	1
443	которая в	1	1
444	ad absurdum	1	1
445	еще более	2	1
446	мы должны	1	1
447	только что	2	1
448	динамика и	1	1
449	я в	1	1
450	же в	1	1
451	хотя в	1	1
452	всеми его	1	1
453	жизни в	6	1
454	от всех	1	1
455	этап в	1	1
456	обречены на	1	1
457	не что	1	1
458	ко всему	1	1
459	и жизнь	1	1
460	в своих	5	1
461	именно здесь	1	1
462	это в	3	1
