N	2gram	Tiupa_Hudo_1	OGranits
143	эстетической функции	1	2
144	с этой	1	2
145	слова и	2	2
146	художественное произведение	1	2
147	не менее	3	2
148	не имеет	1	2
149	в структуре	3	2
150	на язык	1	2
151	собственно говоря	2	2
152	от всех	1	2
153	бы в	1	2
154	истории литературы	2	2
155	и является	1	2
156	а в	12	2
157	героя и	5	2
158	и к	3	2
159	имеет место	2	2
160	могут быть	4	2
161	в своих	1	2
162	к тому	4	2
163	и это	2	1
164	можно говорить	1	1
165	одним из	1	1
166	также и	1	1
167	же как	1	1
168	человека и	1	1
169	и через	1	1
170	в виду	5	1
171	того же	2	1
172	своем составе	1	1
173	на основе	2	1
174	это и	1	1
175	в собственном	1	1
176	и есть	1	1
177	в организации	1	1
178	здесь и	1	1
179	в себя	2	1
180	ту же	1	1
181	взаимодействия людей	2	1
182	или иная	1	1
183	можно лишь	1	1
184	с языком	3	1
185	едва ли	1	1
186	мышления но	1	1
187	повести гоголя	2	1
188	мы имеем	6	1
189	содержания в	1	1
190	и о	3	1
191	но у	1	1
192	комплексов в	1	1
193	говоря и	2	1
194	стиля в	1	1
195	быть может	1	1
196	для этого	1	1
197	по себе	2	1
198	его за	1	1
199	общем виде	1	1
200	с ее	5	1
201	и который	2	1
202	сводится к	7	1
203	из того	1	1
204	этого термина	2	1
205	в мире	21	1
206	в каждой	1	1
207	революции в	1	1
208	теории литературы	2	1
209	внимание на	1	1
210	следует иметь	1	1
211	и что	3	1
212	еще не	3	1
213	хх веке	1	1
214	в широком	1	1
215	столь же	1	1
216	время в	1	1
217	времени в	2	1
218	в различных	1	1
219	является таким	1	1
220	тем как	1	1
221	в конечном	5	1
222	художественной формы	1	1
223	к нему	3	1
224	но не	11	1
225	отношение к	5	1
226	художественного впечатления	3	1
227	разница в	1	1
228	или иное	1	1
229	в другой	1	1
230	на то	1	1
231	своей ценностной	1	1
232	в художественной	2	1
233	строф в	1	1
234	и эстетического	1	1
235	событии художественного	1	1
236	в истории	1	1
237	его эстетической	3	1
238	в одной	1	1
239	статье о	1	1
240	в своем	2	1
241	своей полноте	1	1
242	то или	1	1
243	языкового знака	2	1
244	по своей	7	1
245	один из	2	1
246	они хотят	1	1
247	ценностная активность	1	1
248	и как	3	1
249	языка наиболее	1	1
250	одной из	2	1
251	что он	3	1
252	более или	5	1
253	звука и	1	1
254	произведения есть	1	1
255	есть его	1	1
256	или иную	1	1
257	который в	2	1
258	в значительной	1	1
259	или же	1	1
260	этим словом	1	1
261	состоит не	1	1
262	со всеми	1	1
263	так в	4	1
264	замысла и	1	1
265	в этой	2	1
266	с их	2	1
267	если он	1	1
268	становится эстетическим	1	1
269	себя и	2	1
270	три стороны	1	1
271	вследствие этого	1	1
272	является не	1	1
273	что она	2	1
274	в статье	1	1
275	речь в	1	1
276	или даже	3	1
277	конечном счете	5	1
278	ту или	1	1
279	одно из	2	1
280	в понимании	1	1
281	никто не	2	1
282	в узком	3	1
283	не сумеет	2	1
284	состоит в	16	1
285	художественного высказывания	2	1
286	внутренней речи	14	1
287	и реализуется	1	1
288	в конце	1	1
289	одном случае	1	1
290	картины мира	3	1
291	подобно тому	1	1
292	с системой	1	1
293	отличие от	7	1
294	на этом	1	1
295	его можно	1	1
296	встречаются в	2	1
297	или иных	2	1
298	не должно	1	1
299	для того	2	1
300	в особенности	1	1
301	к другому	1	1
302	особенности в	1	1
303	бы быть	1	1
304	и здесь	1	1
305	его в	2	1
306	как к	2	1
307	значимым и	1	1
308	искусства в	4	1
309	если говорить	1	1
310	к которому	4	1
311	вещами как	1	1
312	свести к	1	1
313	и дает	1	1
314	организации художественного	4	1
315	такого понимания	1	1
316	заключается в	2	1
317	художественного слова	1	1
318	членения и	1	1
319	мира это	1	1
320	только к	1	1
321	больше и	1	1
322	отношений здесь	1	1
323	в хх	1	1
324	к более	2	1
325	т.д как	1	1
326	не было	1	1
327	а на	5	1
328	далеко не	2	1
329	из наиболее	1	1
330	лишь одного	1	1
331	автору и	1	1
332	не всегда	1	1
333	он и	1	1
334	как ни	1	1
335	же точно	1	1
336	выбор слова	1	1
337	отнюдь не	2	1
338	из проявлений	1	1
339	должно быть	1	1
340	иных произведений	1	1
341	выбора все	1	1
342	автора и	3	1
343	если не	1	1
344	хх века	2	1
345	с первых	1	1
346	или менее	5	1
347	сводятся к	2	1
348	вступает в	1	1
349	но если	1	1
350	себе в	1	1
351	одно слово	3	1
352	художественного творчества	4	1
353	нее как	1	1
354	и особенно	2	1
355	в такой	1	1
356	как это	5	1
357	существует как	1	1
358	и синтаксические	1	1
359	однако этот	1	1
360	этот результат	1	1
361	себе а	1	1
362	в отличие	7	1
363	быть это	1	1
364	он говорит	1	1
365	такого рода	10	1
366	тому как	1	1
367	для данного	1	1
368	высказывания и	2	1
369	слова могут	1	1
370	тем не	3	1
371	между индивидуальными	1	1
372	и более	2	1
373	их в	3	1
374	для понимания	2	1
375	и наоборот	1	1
376	этой внутренней	1	1
377	что говоря	1	1
378	быть не	1	1
379	зрения и	1	1
380	это особенно	1	1
381	этого слова	2	1
382	что такое	1	1
383	только то	1	1
384	в контексте	3	1
385	тому что	2	1
386	быть и	2	1
387	между людьми	1	1
388	в условиях	1	1
389	литературы как	3	1
390	точно и	1	1
391	обратимся к	1	1
392	виду что	1	1
393	в то	6	1
394	одна из	2	1
395	эстетическим объектом	1	1
396	тех или	2	1
397	ними и	1	1
398	того чтобы	2	1
399	объекта и	3	1
400	жизни когда	1	1
401	иметь в	1	1
402	синтаксической конструкции	1	1
403	не существует	1	1
404	отношений и	1	1
405	как система	2	1
406	и становится	1	1
407	однако если	2	1
408	или в	2	1
409	в самой	2	1
410	же время	5	1
411	протопопа аввакума	1	1
412	воспринимающее сознание	1	1
413	в основе	4	1
414	тем более	1	1
415	от него	1	1
416	говоря словами	5	1
417	не объективно	1	1
418	потому что	3	1
419	связи с	1	1
420	в современных	1	1
421	носителем и	1	1
422	и систематизации	1	1
423	до того	1	1
424	в системе	2	1
425	не вполне	2	1
426	об этом	2	1
427	бы несколько	1	1
428	та или	1	1
429	не знает	3	1
430	языка в	4	1
431	сказать что	4	1
432	вечного и	1	1
433	речи и	3	1
434	впервые в	1	1
435	все то	1	1
436	поэт не	1	1
437	поэтому не	1	1
438	которого только	1	1
439	не входит	2	1
440	типа и	1	1
441	языкового сознания	1	1
442	о литературе	3	1
443	когда мы	1	1
444	что основной	1	1
445	с вещами	1	1
446	ее восприятия	1	1
447	ли не	1	1
448	с его	6	1
449	только о	2	1
450	в совокупности	1	1
451	же самое	1	1
452	всего в	1	1
453	вместе с	1	1
454	поэтики в	1	1
455	например в	3	1
456	по поводу	1	1
457	этой точки	1	1
458	они не	1	1
