N	2gram	Berdyaev_O_1	Dialekti
215	бы в	1	2
216	а в	5	2
217	личность и	1	2
218	совершенно не	1	2
219	но еще	1	2
220	к этой	2	2
221	ее в	2	2
222	в своих	3	2
223	во всяком	1	2
224	ту же	1	1
225	кто бы	1	1
226	отношения к	1	1
227	и бесконечно	2	1
228	чтобы не	1	1
229	этом отношении	1	1
230	на самом	1	1
231	кто хочет	1	1
232	но тем	1	1
233	к другому	1	1
234	откровение и	1	1
235	он всегда	7	1
236	из всего	2	1
237	можно подходить	1	1
238	себе что	1	1
239	гибели и	1	1
240	и вопрос	1	1
241	христа в	1	1
242	иногда и	1	1
243	себе и	1	1
244	свободы и	2	1
245	с какой	1	1
246	как к	2	1
247	что как	1	1
248	духа и	1	1
249	силе и	1	1
250	вот где	1	1
251	от этого	1	1
252	в этот	2	1
253	чего же	1	1
254	откровения и	1	1
255	к чему	1	1
256	та же	1	1
257	в которой	2	1
258	из жизни	1	1
259	есть для	1	1
260	того ни	1	1
261	не те	1	1
262	только один	1	1
263	чувств и	1	1
264	говорят о	1	1
265	он ни	1	1
266	после этого	1	1
267	опять-таки не	1	1
268	же это	2	1
269	чем у	1	1
270	в корне	1	1
271	как от	1	1
272	из него	1	1
273	этом мире	2	1
274	ней не	1	1
275	бы от	1	1
276	в совершенно	1	1
277	в мире	1	1
278	в глубине	7	1
279	его в	2	1
280	природой и	1	1
281	чтобы все	1	1
282	всегда и	1	1
283	о чем	1	1
284	в чистом	1	1
285	они в	1	1
286	бога и	1	1
287	тьмой и	1	1
288	нисколько не	1	1
289	в отношении	1	1
290	в котором	1	1
291	все и	1	1
292	не уничтожает	1	1
293	оказывается что	1	1
294	по своей	1	1
295	для всякого	2	1
296	нет вещей	1	1
297	и раньше	1	1
298	одном из	1	1
299	но он	7	1
300	что было	1	1
301	человек по	1	1
302	и более	1	1
303	свобода и	2	1
304	это вопрос	1	1
305	да ведь	1	1
306	устроения и	1	1
307	с гордостью	1	1
308	вообще но	1	1
309	а иногда	1	1
310	отличается в	1	1
311	религиозное откровение	1	1
312	того как	1	1
313	все есть	1	1
314	движения но	1	1
315	в нас	1	1
316	о природе	3	1
317	жизни не	1	1
318	в самой	9	1
319	в науке	1	1
320	природы в	2	1
321	дух от	1	1
322	перед ним	1	1
323	в движении	1	1
324	это конечно	1	1
325	всего в	2	1
326	всегда в	1	1
327	на нем	1	1
328	не могу	1	1
329	в ее	2	1
330	россии в	2	1
331	уже с	1	1
332	человеческой и	1	1
333	и религиозное	1	1
334	и сам	1	1
335	умирает в	2	1
336	находятся и	1	1
337	не с	1	1
338	своего ума	1	1
339	с ним	3	1
340	но может	1	1
341	ее у	1	1
342	изображена в	1	1
343	но к	1	1
344	это потому	1	1
345	выходе из	1	1
346	все в	4	1
347	духа как	1	1
348	а потому	1	1
349	вообще и	1	1
350	бы и	1	1
351	он был	8	1
352	у одного	1	1
353	к ней	2	1
354	и мир	1	1
355	своей глубине	1	1
356	его собственная	1	1
357	что только	1	1
358	в свой	1	1
359	то он	1	1
360	е от	1	1
361	нем нет	3	1
362	себе есть	1	1
363	вот что	1	1
364	а это	1	1
365	бытия но	1	1
366	но от	1	1
367	возможности для	1	1
368	иного но	1	1
369	подходить с	2	1
370	был бы	1	1
371	не так	1	1
372	в одном	1	1
373	много раз	2	1
374	у нее	1	1
375	и никогда	2	1
376	сложнее и	2	1
377	же всегда	1	1
378	в других	2	1
379	момент в	2	1
380	до самого	5	1
381	глубине человеческой	1	1
382	что природа	1	1
383	с той	1	1
384	же существование	1	1
385	на людей	1	1
386	не нужна	1	1
387	стремится к	1	1
388	та самая	1	1
389	пред собою	1	1
390	мира в	1	1
391	ближе к	1	1
392	есть одно	1	1
393	но оно	1	1
394	связь с	1	1
395	бесконечность и	1	1
396	чем в	2	1
397	я хочу	1	1
398	образ и	1	1
399	да и	1	1
400	сердце в	3	1
401	в это	1	1
402	оба они	1	1
403	видно что	1	1
404	ничего кроме	2	1
405	указать на	1	1
406	самое главное	2	1
407	отречения от	1	1
408	но остается	1	1
409	его с	1	1
410	в силах	1	1
411	человек и	4	1
412	христа и	1	1
413	это часто	1	1
414	от него	7	1
415	в этих	3	1
416	есть уже	1	1
417	и очень	2	1
418	но всегда	1	1
419	это все	1	1
420	состоит из	1	1
421	а ведь	1	1
422	сила и	1	1
423	это так	1	1
424	бы даже	1	1
425	бога он	1	1
426	в процессе	1	1
427	и эта	1	1
428	те которые	2	1
