N	2gram	Savitsky_E_1	Tvorches
338	жизни но	1	1
339	в не	2	1
340	чем в	4	1
341	можно считать	3	1
342	духовной жизни	2	1
343	и было	1	1
344	их на	1	1
345	одного и	1	1
346	пребывает в	1	1
347	рассматривает как	1	1
348	и ее	1	1
349	именно и	1	1
350	на месте	2	1
351	от себя	1	1
352	центра и	1	1
353	и останется	1	1
354	и более	2	1
355	том же	1	1
356	по себе	4	1
357	тому что	1	1
358	народом в	1	1
359	европейской культуры	3	1
360	в отношении	32	1
361	вплоть до	1	1
362	что эта	1	1
363	что с	1	1
364	и другое	1	1
365	в смысле	9	1
366	считает что	1	1
367	не имеет	4	1
368	в процессе	4	1
369	мы все	1	1
370	и имеет	2	1
371	для всего	1	1
372	это мы	1	1
373	казалось бы	1	1
374	действительности но	1	1
375	в самой	1	1
376	на себя	3	1
377	на практике	1	1
378	того в	1	1
379	в русском	1	1
380	со своим	1	1
381	для осуществления	1	1
382	исторического процесса	1	1
383	если нельзя	1	1
384	и искусства	1	1
385	в области	11	1
386	ли это	3	1
387	у нас	1	1
388	которую не	1	1
389	xx века	1	1
390	уже о	1	1
391	начиная с	2	1
392	будущее в	1	1
393	не могут	2	1
394	относиться к	1	1
395	но все	1	1
396	в других	2	1
397	что оно	1	1
398	что на	2	1
399	не есть	2	1
400	до состояния	1	1
401	имеет место	2	1
402	оно не	1	1
403	она не	2	1
404	и это	1	1
405	и о	1	1
406	но по	2	1
407	будущего в	1	1
408	свою очередь	2	1
409	внимание на	1	1
410	всего этого	1	1
411	в ее	8	1
412	другой стороны	2	1
413	как по	1	1
414	человеческой истории	1	1
415	решения проблемы	2	1
416	культуры и	2	1
417	и видимо	1	1
418	какой сфере	1	1
419	что может	1	1
420	маска и	1	1
421	которая в	1	1
422	означает что	1	1
423	в глубине	1	1
424	западной европы	9	1
425	в таком	3	1
426	связанное с	1	1
427	при такой	1	1
428	на тех	1	1
429	и что	2	1
430	религии и	1	1
431	или на	1	1
432	из составных	1	1
433	но когда	1	1
434	кажется что	2	1
435	как было	3	1
436	нас в	1	1
437	существования в	3	1
438	связь между	1	1
439	в которую	1	1
440	к нему	2	1
441	между тем	8	1
442	от них	3	1
443	эти два	1	1
444	нем и	1	1
445	известном смысле	3	1
446	себя с	1	1
447	в ряде	1	1
448	с ними	1	1
449	будь то	1	1
450	разницы в	1	1
451	почти всего	1	1
452	с одной	8	1
453	для всех	1	1
454	если мы	1	1
455	то и	1	1
456	человека этот	1	1
457	но с	2	1
458	и рядом	2	1
459	протекать в	1	1
460	например к	1	1
461	ту или	3	1
462	с традиционной	1	1
463	мы знаем	1	1
464	более к	2	1
465	в одном	2	1
466	и со	3	1
467	к ним	3	1
468	а через	1	1
469	отметить что	3	1
470	заметить что	2	1
471	тем что	3	1
472	не было	1	1
473	новый принцип	2	1
474	личности именно	1	1
475	к которому	1	1
476	с той	1	1
477	для этого	1	1
478	исходит из	1	1
479	у других	1	1
480	и их	1	1
481	одной стороны	8	1
482	связи с	1	1
483	а на	1	1
484	на этот	2	1
485	такие же	1	1
486	на которых	1	1
487	не на	4	1
488	пока что	1	1
489	так называемой	1	1
490	него не	1	1
491	иные и	1	1
492	этот принцип	1	1
493	именно поэтому	1	1
494	связь с	1	1
495	как некий	1	1
496	и xix	2	1
497	как это	4	1
498	о возможности	1	1
499	не сразу	1	1
500	если так	1	1
501	по своему	7	1
502	а если	1	1
503	с некоторыми	1	1
504	есть только	1	1
505	в сферу	2	1
506	это есть	1	1
507	во все	3	1
508	что же	2	1
509	xix век	1	1
510	находятся в	1	1
511	и всей	1	1
512	даже с	1	1
513	это значит	2	1
514	и философии	1	1
515	ли не	1	1
516	слова и	1	1
517	и некоторые	3	1
518	между прочим	7	1
519	в полном	1	1
520	сознает что	1	1
521	и сам	1	1
522	в более	1	1
523	время для	1	1
524	в мировой	1	1
525	живет и	1	1
526	в связи	1	1
527	но на	3	1
528	настоящего и	1	1
529	в точном	1	1
530	тем более	4	1
531	не дают	2	1
532	мы должны	2	1
533	ни было	4	1
534	же в	2	1
535	отношении к	15	1
536	этот вопрос	2	1
537	всего мира	1	1
538	но этот	1	1
539	ко всему	2	1
540	т е	9	1
541	приводит нас	2	1
542	в какой	2	1
543	оставались в	1	1
