N	2gram	Losev_Vesc_1	Otkroven
206	не стоит	1	1
207	словом только	1	1
208	конечно какое-то	1	1
209	самому себе	1	1
210	самом деле	4	1
211	возможности и	1	1
212	и вопрос	1	1
213	но не	5	1
214	то он	1	1
215	и всякий	1	1
216	с трудом	1	1
217	сравнению с	6	1
218	только единое	1	1
219	нуждается в	1	1
220	себе и	1	1
221	есть просто	5	1
222	и можно	1	1
223	и чем	3	1
224	вообще и	4	1
225	все время	1	1
226	и я	1	1
227	что как	1	1
228	в частности	1	1
229	один из	3	1
230	его собственная	1	1
231	будет такая	1	1
232	что только	3	1
233	и как	8	1
234	с ними	3	1
235	скажете что	1	1
236	ли он	1	1
237	самом начале	1	1
238	силе и	1	1
239	от этого	2	1
240	то в	4	1
241	духа в	1	1
242	их жизни	1	1
243	бы и	5	1
244	что это	13	1
245	со всеми	1	1
246	в эти	1	1
247	думать что	1	1
248	с какой	1	1
249	же и	1	1
250	но о	1	1
251	есть уже	1	1
252	только один	2	1
253	уже не	9	1
254	я имею	2	1
255	ее как	2	1
256	на то	4	1
257	бы ни	2	1
258	что она	15	1
259	на этих	1	1
260	до последней	1	1
261	да и	3	1
262	ее внутреннее	1	1
263	из них	4	1
264	раз навсегда	2	1
265	что сама	1	1
266	его и	2	1
267	свой собственный	1	1
268	опять-таки не	1	1
269	самом последнем	1	1
270	к одному	3	1
271	что нужно	3	1
272	в силу	3	1
273	есть один	1	1
274	в одном	2	1
275	вовсе не	10	1
276	у нее	1	1
277	само по	1	1
278	из него	1	1
279	смерть ибо	1	1
280	этом отношении	1	1
281	вещей и	4	1
282	что красота	1	1
283	нее не	1	1
284	от того	3	1
285	я бы	1	1
286	же не	1	1
287	и даже	6	1
288	со стороны	5	1
289	есть момент	2	1
290	заключается в	1	1
291	свете в	1	1
292	а кончает	1	1
293	а самая	1	1
294	а именно	1	1
295	и прежде	1	1
296	а это	4	1
297	в свой	2	1
298	истории и	2	1
299	и кто	2	1
300	было и	2	1
301	главное в	1	1
302	в жизни	3	1
303	в это	1	1
304	говорит о	1	1
305	жизни человека	1	1
306	и пр	6	1
307	она и	1	1
308	а с	3	1
309	может ли	2	1
310	на этот	1	1
311	что природа	1	1
312	и имя	6	1
313	ним когда	1	1
314	с голыми	1	1
315	о чем	1	1
316	выше всякого	1	1
317	этому но	1	1
318	и тогда	1	1
319	нисколько не	4	1
320	но почему	1	1
321	он и	1	1
322	в одно	1	1
323	и ему	1	1
324	я хочу	5	1
325	не так	1	1
326	ум его	1	1
327	и тут	3	1
328	все основные	1	1
329	этот свой	1	1
330	его как	1	1
331	и без	3	1
332	как это	2	1
333	в котором	3	1
334	и почему	1	1
335	не иное	1	1
336	может с	1	1
337	бы самой	1	1
338	ее ни	1	1
339	в сферу	1	1
340	это есть	7	1
341	страха и	1	1
342	образ и	3	1
343	всяком случае	2	1
344	и более	1	1
345	в конце	2	1
346	друг с	1	1
347	как от	1	1
348	ней не	1	1
349	быть не	4	1
350	и формы	2	1
351	для тех	3	1
352	нет никакого	2	1
353	в отношении	4	1
354	людей а	1	1
355	и здесь	4	1
356	вообще но	5	1
357	но это	10	1
358	природу и	1	1
359	но у	1	1
360	отличается от	7	1
361	он глубоко	1	1
362	она не	4	1
363	судьбы ее	1	1
364	этого нужно	2	1
365	дело в	4	1
366	одна из	5	1
367	в науке	1	1
368	ближе к	1	1
369	она должна	2	1
370	ее с	5	1
371	со всей	2	1
372	было не	1	1
373	не случайно	2	1
374	указать на	1	1
375	в уме	3	1
376	а что	1	1
377	человека от	1	1
378	в разных	4	1
379	жизни не	1	1
380	и весь	1	1
381	но еще	3	1
382	бы в	5	1
383	еще более	2	1
384	для его	1	1
385	по своей	2	1
386	и темное	1	1
387	во всем	1	1
388	е от	1	1
389	как будто	1	1
390	еще ничего	1	1
391	не потому	6	1
392	с другом	1	1
393	и откровение	1	1
394	есть у	2	1
395	у нас	7	1
396	в движении	1	1
397	и эта	3	1
398	много было	1	1
399	не быть	3	1
400	состоит из	1	1
401	была бы	2	1
402	свое собственное	1	1
403	от всех	4	1
404	но можно	1	1
405	совершенно не	5	1
406	к его	1	1
407	ее динамика	1	1
408	но оно	1	1
409	это конечно	1	1
410	та же	1	1
411	в свое	2	1
412	сила и	1	1
413	его с	1	1
414	жизни и	2	1
415	будто бы	1	1
416	это так	3	1
417	во всяком	3	1
418	они и	1	1
419	кем и	1	1
420	а ее	2	1
421	доступ к	1	1
422	указал на	1	1
