N	2gram	Bakhtin_KF_1	StatiiOP
353	следующие строки	1	1
354	но как	5	1
355	и формальных	1	1
356	к ней	1	1
357	более чем	1	1
358	тот же	1	1
359	не для	1	1
360	и то	2	1
361	мире с	1	1
362	не с	1	1
363	лицо с	1	1
364	но между	1	1
365	их не	1	1
366	я это	1	1
367	культурного творчества	1	1
368	за его	1	1
369	мысли в	1	1
370	в момент	3	1
371	на все	1	1
372	но к	1	1
373	по отношению	26	1
374	что есть	2	1
375	в моем	6	1
376	при всех	1	1
377	в конкретном	1	1
378	что язык	1	1
379	этим не	1	1
380	но этот	1	1
381	и всякого	1	1
382	со всех	1	1
383	какие бы	1	1
384	себя до	1	1
385	это положение	1	1
386	это и	2	1
387	с которым	1	1
388	значения как	1	1
389	для самого	1	1
390	к его	1	1
391	не имеют	1	1
392	за собой	1	1
393	том кто	1	1
394	а за	1	1
395	новое и	1	1
396	смысле слова	1	1
397	ведь это	1	1
398	именно как	1	1
399	действительности в	2	1
400	в чем	4	1
401	свет в	1	1
402	однако что	2	1
403	поэтому и	1	1
404	свою очередь	1	1
405	и от	1	1
406	средних веков	1	1
407	я с	1	1
408	ни о	1	1
409	зависимости от	1	1
410	во второй	1	1
411	она не	1	1
412	не за	1	1
413	имеет только	1	1
414	один из	2	1
415	основана на	1	1
416	и вследствие	1	1
417	а я	1	1
418	бы только	1	1
419	всю свою	1	1
420	а все	3	1
421	и также	1	1
422	в контексте	5	1
423	от своего	1	1
424	взято из	1	1
425	поэтому в	1	1
426	в первом	1	1
427	смысле не	2	1
428	перестает быть	1	1
429	характер и	1	1
430	это что	1	1
431	ничего общего	2	1
432	в последнем	1	1
433	той же	1	1
434	их и	1	1
435	едва ли	2	1
436	что значит	2	1
437	того именно	2	1
438	не о	2	1
439	себе и	3	1
440	в основе	5	1
441	можно ли	1	1
442	ценности с	1	1
443	ту же	1	1
444	могло бы	4	1
445	в каждом	3	1
446	в живом	1	1
447	с ними	3	1
448	на один	1	1
449	что конечно	1	1
450	но оно	1	1
451	принципиально не	2	1
452	одна из	1	1
453	и тем	3	1
454	и всей	1	1
455	которой все	2	1
456	здесь этот	1	1
457	этом его	2	1
458	в зависимости	1	1
459	знать и	1	1
460	неотделим от	1	1
461	согласиться с	1	1
462	действительности и	1	1
463	не существует	1	1
464	который не	1	1
465	бы оставить	1	1
466	что первая	1	1
467	то для	1	1
468	но я	2	1
469	а по	2	1
470	такой же	1	1
471	разницу в	1	1
472	может служить	1	1
473	совпадает с	1	1
474	себя и	2	1
475	мы можем	1	1
476	с собой	1	1
477	первая часть	1	1
478	не психологической	1	1
479	не просто	1	1
480	уклонился от	1	1
481	из всех	1	1
482	на этом	1	1
483	это позволяет	1	1
484	совершенно правильно	1	1
485	бы его	1	1
486	совпадение с	1	1
487	не как	4	1
488	но нельзя	1	1
489	освободиться от	1	1
490	и глубокая	1	1
491	в своих	3	1
492	нее в	2	1
493	нет не	1	1
494	от них	1	1
495	вследствие того	1	1
496	все содержание	1	1
497	и эти	2	1
498	одно из	1	1
499	столь же	1	1
500	которую я	1	1
501	все они	1	1
502	в последней	1	1
503	но нет	2	1
504	отличаются от	1	1
505	если оно	1	1
506	же в	1	1
507	я должен	7	1
508	прочим и	1	1
509	не подлежит	1	1
510	самого и	1	1
511	не следует	1	1
512	и до	1	1
513	впрочем в	1	1
514	в составе	2	1
515	хорош в	1	1
516	чем не	4	1
517	что она	1	1
518	котором он	3	1
519	в ту	2	1
520	которых он	1	1
521	и уже	1	1
522	только таким	1	1
523	всем его	3	1
524	в каких	1	1
525	другого но	1	1
526	не будем	1	1
527	повторение этого	1	1
528	эта последняя	1	1
529	что все	1	1
530	конечно не	7	1
531	месте и	1	1
532	отношению к	22	1
533	не совпадает	1	1
534	когда он	1	1
535	где все	1	1
536	к выводу	1	1
537	ни на	1	1
538	не могу	3	1
539	перестал быть	2	1
540	мысль о	1	1
541	ни к	2	1
542	и смысл	2	1
543	образом в	1	1
544	связь между	1	1
545	все что	1	1
546	этому слову	1	1
547	он и	2	1
548	его действительное	1	1
549	в свою	3	1
550	выдержанного в	1	1
551	во втором	1	1
