N	2gram	Berdyaev_M_2	Tragedij
294	она не	8	1
295	на земле	8	1
296	того как	3	1
297	него была	2	1
298	словами о	1	1
299	карамазова в	1	1
300	тогда и	1	1
301	карамазов смердяков	1	1
302	он с	1	1
303	на путях	1	1
304	и всегда	3	1
305	до самой	1	1
306	в самой	1	1
307	достоевский сам	1	1
308	или как	1	1
309	к ней	2	1
310	она хочет	1	1
311	по своей	3	1
312	и теперь	1	1
313	связи с	2	1
314	был так	1	1
315	собственной личности	1	1
316	в бунте	2	1
317	что на	1	1
318	перед ним	4	1
319	от высшей	1	1
320	в трагедии	3	1
321	в момент	1	1
322	к себе	2	1
323	своей книге	1	1
324	уже было	1	1
325	что наш	1	1
326	в окончательном	1	1
327	его с	2	1
328	не есть	13	1
329	в бога	4	1
330	любовь в	2	1
331	того самого	1	1
332	потому нельзя	1	1
333	того чтобы	4	1
334	не хочу	1	1
335	себе ее	1	1
336	людей в	2	1
337	всего этого	1	1
338	достоевского к	5	1
339	слова нельзя	1	1
340	настасьи филипповны	1	1
341	он понял	2	1
342	говорили что	1	1
343	роль в	1	1
344	природе своей	1	1
345	с собой	2	1
346	можно было	2	1
347	на нее	1	1
348	по природе	1	1
349	в борьбе	1	1
350	начала и	1	1
351	когда в	1	1
352	ничего подобного	3	1
353	по сравнению	1	1
354	в последней	2	1
355	на них	1	1
356	быть может	2	1
357	в эпоху	1	1
358	действия не	1	1
359	говорил что	1	1
360	в прошлое	1	1
361	и должно	3	1
362	вот почему	2	1
363	на вопрос	1	1
364	достоевского все	1	1
365	она всегда	1	1
366	под маской	1	1
367	после того	2	1
368	и который	1	1
369	своеволия в	1	1
370	а также	1	1
371	толстой и	1	1
372	чтобы не	3	1
373	все в	1	1
374	доходит до	6	1
375	добра и	5	1
376	это была	2	1
377	между тем	2	1
378	решение в	1	1
379	ума и	4	1
380	стояли на	1	1
381	к личности	1	1
382	все время	2	1
383	и первое	1	1
384	и она	3	1
385	в жизнь	1	1
386	х годов	1	1
387	того что	6	1
388	он есть	1	1
389	его собственная	2	1
390	мы видим	2	1
391	только в	3	1
392	во всем	5	1
393	есть в	3	1
394	этой борьбе	1	1
395	и чисто	1	1
396	самостоятельное значение	1	1
397	него нет	5	1
398	этом обнаруживается	1	1
399	не для	3	1
400	ту сторону	1	1
401	братьях карамазовых	2	1
402	в xx	1	1
403	во взглядах	1	1
404	он любит	3	1
405	мир на	1	1
406	любит и	2	1
407	и возвращается	1	1
408	с другим	3	1
409	русской интеллигенции	1	1
410	братства людей	1	1
411	что не	2	1
412	люблю и	1	1
413	отзывы о	1	1
414	может жить	1	1
415	не было	11	1
416	– в	2	1
417	а не	13	1
418	власти и	1	1
419	с которым	3	1
420	не быть	1	1
421	на смерть	1	1
422	xx веке	1	1
423	настасью филипповну	3	1
424	иван карамазов	13	1
425	более чем	2	1
426	вместе с	2	1
427	исходит от	1	1
428	и потому	7	1
429	которую достоевский	1	1
430	в духе	5	1
431	в человеке	2	1
432	не из	1	1
433	может так	1	1
434	не знал	3	1
435	xix века	1	1
436	видит в	1	1
437	сравнению с	1	1
438	в романах	1	1
439	в той	1	1
440	смысле этого	1	1
441	слова он	1	1
442	понял что	2	1
443	него есть	1	1
444	распадается на	1	1
445	этого слова	1	1
446	с этой	1	1
447	и от	3	1
448	в неизмеримо	1	1
449	не любил	1	1
450	и зло	2	1
451	на одной	1	1
452	любовь к	8	1
453	он сказал	1	1
454	смердяков и	2	1
455	достоевского но	1	1
456	тот кто	5	1
457	а к	1	1
458	из себя	1	1
459	видим уже	1	1
460	бы в	2	1
461	но у	1	1
462	конце концов	1	1
463	я даже	2	1
464	хотя бы	7	1
465	только что	1	1
466	пусть пусть	1	1
467	этой теме	1	1
468	жизни в	3	1
469	к женщине	1	1
470	но этот	2	1
471	идея в	1	1
472	ко всему	1	1
473	т е	4	1
474	и жизнь	1	1
475	есть и	3	1
476	может ли	1	1
477	всегда была	1	1
478	к этой	1	1
479	и эта	2	1
480	это в	1	1
