N	2gram	Nazirov_Tr_1	VrazhdaK
284	что эта	1	1
285	генезис образа	2	1
286	не имеет	2	1
287	iii князь	1	1
288	близок к	1	1
289	также что	1	1
290	ранней стадии	1	1
291	впрочем он	1	1
292	только не	1	1
293	ничего не	2	1
294	того как	1	1
295	иными словами	1	1
296	по своей	1	1
297	потому что	2	1
298	в эпизоде	1	1
299	ли это	1	1
300	встречался с	1	1
301	один раз	1	1
302	в духе	1	1
303	могут быть	1	1
304	стал смотреть	1	1
305	глаза в	1	1
306	в недрах	1	1
307	сходство с	1	1
308	за что	1	1
309	по всем	1	1
310	…> я	1	1
311	не есть	1	1
312	тургеневскому роману	1	1
313	над бесами	1	1
314	творчества достоевского	1	1
315	у себя	1	1
316	с ее	3	1
317	и образ	1	1
318	но при	2	1
319	в ее	2	1
320	гиперболизированный ситников	1	1
321	роман бесы	1	1
322	сей день	2	1
323	но мы	1	1
324	роль в	1	1
325	к смерти	1	1
326	в столицу	1	1
327	сегодня мы	1	1
328	веру в	2	1
329	на страницах	3	1
330	и сам	3	1
331	так и	5	1
332	на нее	1	1
333	было в	2	1
334	еще в	2	1
335	перед сном	1	1
336	но у	1	1
337	жизнь и	3	1
338	образа князя	1	1
339	быть может	1	1
340	а поскольку	1	1
341	иисуса христа	1	1
342	декабре года	1	1
343	во всяком	1	1
344	увидел что	1	1
345	ему нужно	1	1
346	это была	1	1
347	к нему	3	1
348	доходит до	1	1
349	во всех	1	1
350	преступлении и	2	1
351	романа отцы	1	1
352	из хозяйки	1	1
353	я вижу	1	1
354	в форме	1	1
355	все в	1	1
356	романа в	1	1
357	белых ночей	2	1
358	года во	1	1
359	навсегда и	1	1
360	а ставрогин	1	1
361	в литературе	1	1
362	в третий	1	1
363	один из	3	1
364	оказалось что	1	1
365	он стал	1	1
366	романа и	3	1
367	опошленного нигилизма	1	1
368	во всем	1	1
369	ненависти к	2	1
370	в декабре	1	1
371	это же	1	1
372	отчасти использовал	1	1
373	и ненависти	1	1
374	мы бы	1	1
375	самую суть	1	1
376	записках из	3	1
377	а это	1	1
378	в душе	2	1
379	говорит о	2	1
380	никто не	3	1
381	в известной	2	1
382	в одном	2	1
383	в комментариях	1	1
384	ее не	1	1
385	друг друга	2	1
386	не просто	2	1
387	для публики	1	1
388	в особенности	1	1
389	гораздо больше	1	1
390	никого не	1	1
391	в твери	1	1
392	из мертвого	2	1
393	возникший в	1	1
394	только достоевский	1	1
395	именно в	1	1
396	к роману	1	1
397	из сибири	1	1
398	прежде всего	4	1
399	только по	1	1
400	в стиле	1	1
401	на этот	1	1
402	нашему мнению	1	1
403	до конца	2	1
404	в рассказе	2	1
405	одну из	1	1
406	верховенского в	2	1
407	роману отцы	1	1
408	себя на	1	1
409	с помощью	1	1
410	в частности	2	1
411	время с	1	1
412	с первого	2	1
413	ресторане бореля	1	1
414	да я	1	1
415	с нечаевым	1	1
416	хорошо знает	1	1
417	не знал	1	1
418	года с	1	1
419	что за	3	1
420	сравняться с	1	1
421	и такую	1	1
422	того что	1	1
423	эти строки	1	1
424	еще к	1	1
425	еще раз	2	1
426	период создания	1	1
427	антинигилистических романов	1	1
428	в условиях	1	1
429	в основном	3	1
430	с последним	1	1
431	романа с	1	1
432	не любил	1	1
433	и достоевским	1	1
434	их характеры	1	1
435	под влиянием	2	1
436	этом романе	1	1
437	я очень	1	1
438	годов в	1	1
439	и от	1	1
440	и своею	1	1
441	это как	1	1
442	тот кто	1	1
443	бы в	1	1
444	на ранней	1	1
445	у которого	1	1
446	конце концов	1	1
447	для достоевского	2	1
448	года а	1	1
449	только что	1	1
450	долга и	1	1
451	в обоих	1	1
452	героев романа	1	1
453	враждебное отношение	1	1
454	с улыбкой	1	1
455	мертвого дома	2	1
456	только о	2	1
457	к этой	1	1
458	и наказании	2	1
459	по сей	2	1
460	во сне	2	1
461	в таком	2	1
462	точно так	2	1
