N	2gram	Tiupa_Vved_1	VrazhdaK
246	как о	2	1
247	из их	1	1
248	писателя с	2	1
249	того как	1	1
250	это то	1	1
251	по своей	3	1
252	и мире	2	1
253	потому что	5	1
254	сюжет в	1	1
255	согласия или	1	1
256	этом отношении	4	1
257	ли это	2	1
258	следует рассматривать	1	1
259	только от	1	1
260	в мировой	1	1
261	в духе	1	1
262	могут быть	4	1
263	вследствие которых	1	1
264	ли не	2	1
265	по характеру	1	1
266	он ищет	1	1
267	не совсем	1	1
268	с ее	1	1
269	свою очередь	4	1
270	но при	5	1
271	это будет	1	1
272	у чехова	1	1
273	в ее	1	1
274	не могло	2	1
275	роль в	1	1
276	ему текста	1	1
277	и сам	1	1
278	так и	8	1
279	не с	3	1
280	было в	1	1
281	этого как	1	1
282	так называемую	1	1
283	которого у	1	1
284	еще в	2	1
285	вошел в	1	1
286	том как	3	1
287	всеми силами	1	1
288	внимание к	2	1
289	подавляющее большинство	1	1
290	во всяком	1	1
291	приближается к	1	1
292	его жизни	1	1
293	к нему	1	1
294	во всех	2	1
295	от них	1	1
296	во всей	1	1
297	в форме	1	1
298	единственно возможной	1	1
299	крайней мере	1	1
300	в другой	1	1
301	вслед за	2	1
302	также в	1	1
303	человека как	1	1
304	в литературе	2	1
305	к которому	2	1
306	этом смысле	1	1
307	один из	3	1
308	но с	1	1
309	не хотят	2	1
310	действие в	1	1
311	проникнуть в	1	1
312	во всем	1	1
313	то он	2	1
314	сложности и	1	1
315	в качестве	8	1
316	себя в	1	1
317	сколько в	1	1
318	указания на	1	1
319	мы бы	1	1
320	хотя в	1	1
321	сходятся в	1	1
322	этот раз	2	1
323	что для	1	1
324	узнает в	1	1
325	в одном	1	1
326	ее не	2	1
327	каждый из	1	1
328	лишь один	1	1
329	остается за	1	1
330	в особенности	1	1
331	из мертвого	1	1
332	с другой	5	1
333	все равно	2	1
334	эпизода из	1	1
335	прежде всего	7	1
336	в соответствии	6	1
337	только по	1	1
338	на этот	1	1
339	до конца	3	1
340	в рассказе	6	1
341	человек в	1	1
342	не об	1	1
343	во франции	1	1
344	с помощью	1	1
345	нет ничего	1	1
346	в частности	13	1
347	человека к	1	1
348	или по	1	1
349	из которых	1	1
350	предположить что	1	1
351	в ответ	1	1
352	и маргариты	2	1
353	того что	6	1
354	в остальном	1	1
355	свои позиции	1	1
356	косвенно свидетельствует	1	1
357	между прочим	1	1
358	горе и	1	1
359	мире а	1	1
360	ближе к	1	1
361	дети не	1	1
362	и от	2	1
363	но на	2	1
364	котором он	2	1
365	о котором	2	1
366	человек и	1	1
367	тот кто	2	1
368	хотя и	7	1
369	бы в	3	1
370	еще более	1	1
371	но зато	1	1
372	только что	1	1
373	можно признать	1	1
374	отношении к	1	1
375	нам не	1	1
376	судьбы они	1	1
377	а о	1	1
378	быть и	2	1
379	другой стороны	2	1
380	автора в	5	1
381	из этого	1	1
382	героя в	1	1
383	жизни и	7	1
384	к этой	1	1
385	он лишь	1	1
386	который не	1	1
387	в таком	1	1
388	все что	3	1
389	они не	1	1
