N	2gram	Savitsky_P_1	EvropaiC
200	из европы	1	2
201	промежуток времени	1	2
202	эти черты	1	2
203	одно из	1	2
204	не будут	1	2
205	всяком случае	1	2
206	к ним	1	2
207	из нее	1	2
208	при отсутствии	1	2
209	до тех	1	2
210	и только	1	2
211	не было	2	2
212	только один	1	2
213	одной стороны	3	2
214	отнюдь не	2	2
215	в одно	1	2
216	в частности	2	2
217	знаем и	1	2
218	но не	3	2
219	из этой	1	2
220	многих других	1	2
221	только то	1	2
222	в гораздо	4	2
223	между прочим	2	2
224	но для	1	2
225	только мы	1	2
226	том виде	1	2
227	не более	1	2
228	что народ	1	2
229	с ними	3	2
230	они не	1	2
231	гораздо более	1	2
232	я и	3	1
233	от этой	1	1
234	например в	2	1
235	и весьма	2	1
236	смысл этого	1	1
237	отношения к	2	1
238	есть не	2	1
239	мы не	3	1
240	которую мы	2	1
241	области техники	1	1
242	этом не	1	1
243	правила и	1	1
244	на себя	1	1
245	начала в	1	1
246	в различных	1	1
247	с его	1	1
248	это имеет	1	1
249	ценности в	2	1
250	на сторону	1	1
251	и другие	1	1
252	если в	2	1
253	со стороны	2	1
254	к сожалению	1	1
255	что во	1	1
256	что именно	1	1
257	сущность которого	1	1
258	помнить что	2	1
259	цивилизация есть	1	1
260	и как	3	1
261	тем же	1	1
262	применительно к	1	1
263	возможно что	1	1
264	у каждого	1	1
265	отчасти и	1	1
266	сливаются в	1	1
267	себе те	1	1
268	во многих	1	1
269	не могла	1	1
270	как оно	1	1
271	главным образом	2	1
272	многие русские	1	1
273	и еще	1	1
274	идеи и	1	1
275	и вот	2	1
276	наших глазах	1	1
277	одно и	1	1
278	в каждом	1	1
279	тем в	1	1
280	и тем	2	1
281	более мелких	1	1
282	в ином	1	1
283	по всему	1	1
284	признавать что	1	1
285	о господстве	1	1
286	с большою	1	1
287	к а	1	1
288	в развитии	1	1
289	к первому	1	1
290	с к	7	1
291	во времена	1	1
292	большей степени	4	1
293	не к	2	1
294	иначе как	1	1
295	эта не	1	1
296	современной европе	1	1
297	друг другу	2	1
298	и эти	1	1
299	чтобы это	1	1
300	того кто	1	1
301	национального целого	1	1
302	в отношении	10	1
303	есть нечто	2	1
304	для каждого	1	1
305	не имеет	1	1
306	и притом	1	1
307	та или	1	1
308	два различных	1	1
309	они являются	1	1
310	более что	1	1
311	создается в	2	1
312	можно рассматривать	1	1
313	русские интеллигенты	1	1
314	с и	1	1
315	относиться к	1	1
316	есть признак	1	1
317	да и	2	1
318	числе и	1	1
319	всего что	1	1
320	среды в	1	1
321	никакого сомнения	1	1
322	сходства между	1	1
323	заставить их	1	1
324	что составляет	1	1
325	мысль о	2	1
326	об отношении	1	1
327	отличаться от	1	1
328	за то	1	1
329	в борьбе	1	1
330	ибо только	1	1
331	не были	1	1
332	что от	1	1
333	более ранняя	1	1
334	стремление к	1	1
335	или иной	1	1
336	находится в	1	1
337	за тем	1	1
338	время в	2	1
339	никак не	2	1
340	в значительной	2	1
341	к истине	1	1
342	или иная	1	1
343	это сделать	1	1
344	борьбе с	1	1
345	во всей	2	1
346	современности и	1	1
347	с европой	1	1
348	и главное	1	1
349	связь между	1	1
350	эти последние	1	1
351	в современной	1	1
352	тех пор	1	1
353	мы видим	1	1
354	бы ни	2	1
355	тот или	1	1
356	с чертами	1	1
357	в качестве	9	1
358	уже в	1	1
359	только на	1	1
360	положение что	1	1
361	на этих	2	1
362	в прошлом	1	1
363	друг друга	1	1
364	мы возьмем	1	1
365	в других	1	1
366	бы это	1	1
367	были бы	1	1
368	в государство	1	1
369	именно как	2	1
370	из двух	1	1
371	ней и	1	1
372	развития в	1	1
373	чем тот	1	1
374	связаны с	1	1
375	только к	1	1
376	европы и	1	1
377	и пр	5	1
378	на основании	1	1
379	тем чтобы	1	1
380	может ли	2	1
381	а не	2	1
382	тем больше	1	1
383	нет ничего	1	1
384	должна была	1	1
385	эта идея	2	1
386	к жизни	1	1
387	наряду с	3	1
388	могут быть	3	1
389	есть как	1	1
390	в тот	2	1
391	этого сделать	1	1
392	стремления к	1	1
393	называли себя	1	1
394	дело идет	1	1
395	на пути	4	1
396	и самих	1	1
397	на свои	1	1
398	эти ценности	1	1
399	она должна	1	1
400	н с	2	1
401	сильны и	1	1
402	и среди	1	1
403	ли они	1	1
404	и греческой	1	1
405	еще более	2	1
406	с у	1	1
407	россии в	5	1
408	подошел к	2	1
409	взгляда на	2	1
410	пути к	1	1
411	том числе	2	1
