N	2gram	Nazirov_Tr_1	EvropaiC
106	в такой	1	4
107	и то	2	4
108	не есть	1	4
109	бы в	1	3
110	для нас	1	3
111	и наконец	1	3
112	данном случае	2	3
113	вопрос о	2	3
114	в связи	1	3
115	прежде всего	4	3
116	в нем	4	3
117	является ли	1	3
118	же не	1	3
119	это не	5	3
120	только что	1	3
121	жизнь и	3	3
122	отличие от	2	3
123	всегда будет	1	3
124	от него	1	3
125	даже если	2	3
126	во всем	1	3
127	и потому	1	3
128	в истории	1	3
129	не вполне	1	3
130	как у	2	3
131	с одной	1	3
132	на земле	1	3
133	что противоречит	1	3
134	представление о	1	3
135	с тем	2	3
136	заключается в	1	3
137	что оно	1	3
138	и это	2	3
139	ко всем	1	3
140	гораздо больше	1	3
141	и по	1	3
142	в данном	2	3
143	в них	1	2
144	эти черты	1	2
145	это может	1	2
146	но не	1	2
147	он считает	1	2
148	же время	6	2
149	во всяком	1	2
150	в другом	1	2
151	только не	1	2
152	ко всему	1	2
153	а это	1	2
154	нет в	2	2
155	никто не	3	2
156	и ее	2	2
157	этими двумя	2	2
158	этого слова	1	2
159	не было	1	2
160	есть в	1	2
161	к нему	3	2
162	отнюдь не	3	2
163	тем самым	3	2
164	то есть	3	2
165	что на	1	2
166	если он	1	2
167	в ней	1	2
168	то в	1	2
169	одно из	1	2
170	что под	1	2
171	только один	1	2
172	с этой	1	2
173	для него	3	2
174	что она	2	2
175	конечно в	1	2
176	а затем	1	2
177	но если	1	2
178	но как	1	2
179	и сам	3	2
180	у в	1	2
181	как мы	1	2
182	то и	2	2
183	для самого	1	2
184	при таком	1	2
185	всяком случае	1	2
186	со своей	1	2
187	к ним	1	2
188	ту же	1	2
189	что эти	2	2
190	с ними	1	2
191	одна из	2	2
192	в котором	1	2
193	а к	1	2
194	сходство с	1	2
195	тому что	1	2
196	она не	1	2
197	на этом	1	2
198	одну из	1	2
199	в частности	2	2
200	между этими	2	2
201	смотреть на	1	2
202	и до	2	2
203	от нее	1	2
204	в глазах	2	2
205	и особенно	1	2
206	в самой	1	2
207	с ее	3	2
208	со своими	1	2
209	на нее	1	2
210	в виду	1	2
211	все в	1	2
212	жизни ее	1	1
213	эти мысли	1	1
214	не могла	1	1
215	в борьбе	1	1
216	начала в	1	1
217	жалкую и	1	1
218	для ее	1	1
219	силой что	1	1
220	может ли	1	1
221	друг друга	2	1
222	и вот	1	1
223	на деле	1	1
224	жизни в	1	1
225	на всем	2	1
226	исходит из	1	1
227	за себя	1	1
228	идет в	1	1
229	этого не	1	1
230	борьбе за	1	1
231	самой природе	1	1
232	что когда	1	1
233	что ее	1	1
234	его культуры	1	1
235	не к	1	1
236	но при	2	1
237	но еще	1	1
238	рядом с	1	1
239	во времена	1	1
240	никакой роли	1	1
241	я и	1	1
242	грубость и	1	1
243	причем в	1	1
244	но мы	1	1
245	бы не	1	1
246	это по	1	1
247	на котором	1	1
248	некоторые черты	1	1
249	себя а	1	1
250	в центре	1	1
251	сравняться с	1	1
252	в своей	1	1
253	а на	1	1
254	слов как	1	1
255	наряду с	1	1
256	смысл этого	1	1
257	которой он	1	1
258	ли это	1	1
259	как нечто	1	1
260	эти слова	1	1
261	такова сила	1	1
262	если так	1	1
263	вместо того	1	1
264	столкновение с	1	1
265	на свои	1	1
266	он сам	7	1
267	борьбу с	1	1
268	обстоит дело	1	1
269	и способствует	1	1
270	себя на	1	1
271	не мог	2	1
272	с чертами	1	1
273	смысле этого	1	1
274	над собою	1	1
275	я не	4	1
276	всего что	1	1
277	к жизни	5	1
278	здесь мы	1	1
279	например в	1	1
280	исходит от	1	1
281	свидетельствует о	1	1
282	сам автор	1	1
283	быть не	1	1
284	и даже	4	1
285	вполне ясно	1	1
286	этого господина	1	1
287	что этот	2	1
288	ведь с	1	1
289	может случиться	1	1
290	не имеет	2	1
291	мы видим	1	1
292	всегда будут	1	1
293	а как	2	1
294	как в	3	1
295	развития в	1	1
296	но этот	1	1
297	но он	1	1
298	того кто	1	1
299	и его	6	1
300	это и	1	1
301	силы и	1	1
302	в голову	1	1
303	что я	4	1
304	виде в	1	1
305	психику этого	1	1
306	а за	1	1
307	с такими	1	1
308	и которую	1	1
309	к ней	1	1
310	из трех	1	1
311	высшей степени	1	1
312	он в	1	1
313	отказывается от	2	1
314	естественно что	1	1
315	к сожалению	1	1
316	один из	3	1
317	стремление к	1	1
318	ничего не	2	1
319	тем что	2	1
320	в первом	2	1
321	перестает быть	1	1
322	на них	1	1
323	от самого	1	1
324	той же	1	1
325	вызывает в	1	1
326	уже не	2	1
327	совершенно в	1	1
328	это было	1	1
329	по мнению	2	1
330	лишь на	1	1
331	из самых	2	1
332	это была	1	1
333	не вызывает	1	1
334	на вид	1	1
335	мы бы	1	1
336	всего предшествующего	1	1
337	x так	1	1
338	из своих	2	1
339	же являются	1	1
340	могут быть	1	1
341	на всю	1	1
342	что именно	1	1
343	своею и	1	1
344	то для	1	1
345	только к	2	1
346	в высшей	1	1
347	в человеке	1	1
348	только по	1	1
349	до конца	2	1
350	и притом	1	1
351	а из	1	1
352	он есть	1	1
353	что за	3	1
354	он творит	1	1
355	лицом во	1	1
356	присмотреться к	1	1
357	роль в	1	1
358	всю эту	1	1
359	и ко	1	1
360	и как	3	1
361	не случайно	2	1
362	и еще	1	1
363	с его	2	1
364	и хотя	1	1
365	наивность этого	1	1
366	однако ни	1	1
367	к одному	1	1
368	самого начала	1	1
369	в развитии	1	1
370	с самого	1	1
371	ее не	1	1
372	тогда и	1	1
373	под тяжелым	1	1
374	я буду	2	1
375	она должна	2	1
376	а не	1	1
377	с такой	1	1
378	слова были	1	1
379	знает что	2	1
380	необходимое условие	1	1
381	на себя	1	1
382	говорили что	1	1
383	с другим	1	1
384	быть в	1	1
385	судя по	1	1
386	одному из	1	1
387	точно так	2	1
388	уже в	3	1
389	роли в	1	1
390	только на	1	1
391	распространяется на	1	1
392	не быть	1	1
393	перед нами	2	1
394	за то	1	1
395	как же	2	1
396	высших классов	1	1
397	и эта	1	1
398	об отношении	1	1
399	мысль о	1	1
400	ко всей	1	1
401	связь между	1	1
402	на новую	1	1
403	он и	2	1
