N	2gram	Tiupa_Vved_1	VelikijI
142	о возможности	1	1
143	никогда и	1	1
144	и ее	1	1
145	зависимости от	1	1
146	не ведая	1	1
147	в их	1	1
148	и на	3	1
149	и который	1	1
150	истории в	5	1
151	природы и	1	1
152	к нему	1	1
153	но как	1	1
154	от них	1	1
155	если в	2	1
156	присутствует в	1	1
157	в новом	1	1
158	тогда как	10	1
159	бы в	3	1
160	крайней мере	1	1
161	мире и	1	1
162	и уж	1	1
163	своим словом	1	1
164	его на	1	1
165	как в	4	1
166	в своем	5	1
167	все же	6	1
168	но с	1	1
169	себя с	1	1
170	в двух	1	1
171	могли бы	1	1
172	мы видим	1	1
173	мы увидим	1	1
174	в разные	1	1
175	и так	1	1
176	со своей	1	1
177	в самом	2	1
178	у них	1	1
179	что это	1	1
180	на людей	1	1
181	в целом	3	1
182	их не	1	1
183	тоже не	2	1
184	в этой	1	1
185	уже в	1	1
186	то и	2	1
187	слово это	1	1
188	в виде	1	1
189	и если	1	1
190	и стало	1	1
191	или даже	1	1
192	о которой	2	1
193	перестает быть	1	1
194	и вот	1	1
195	вовсе не	1	1
196	отношение к	2	1
197	нашего времени	2	1
198	у него	1	1
199	этом мире	1	1
200	и по	3	1
201	и человеческого	1	1
202	на этом	1	1
203	человека в	1	1
204	лишь к	1	1
205	в едином	3	1
206	себя мы	1	1
207	и с	2	1
208	а его	2	1
209	себя не	1	1
210	с другой	5	1
211	которого не	1	1
212	этом пути	1	1
213	как близок	1	1
214	это одна	1	1
215	еще и	1	1
216	бытия в	2	1
217	и тем	2	1
218	нового времени	3	1
219	отказавшись от	1	1
220	но люди	1	1
221	к человеку	1	1
222	жизни от	1	1
223	и опять	2	1
224	власти и	1	1
225	человеческой жизни	3	1
226	не всегда	2	1
227	жизнь в	1	1
228	человека не	1	1
229	жизни но	1	1
230	о чем	2	1
231	и было	1	1
232	мировой истории	1	1
233	в бытии	1	1
234	и вновь	3	1
235	стороны в	1	1
236	вместе с	1	1
237	так же	1	1
238	как это	1	1
239	человека к	1	1
240	то есть	8	1
241	является и	1	1
242	с каким-то	1	1
243	у нас	1	1
244	в которых	1	1
245	времени с	1	1
246	в одном	1	1
247	и великим	1	1
248	в мир	1	1
249	в тот	1	1
250	по крайней	1	1
251	ведет не	1	1
252	на разных	1	1
253	и нет	1	1
254	можно ли	1	1
255	ни для	1	1
256	к ним	2	1
257	на котором	1	1
258	роковым образом	1	1
259	не по	1	1
260	но она	1	1
261	не существует	2	1
262	и от	2	1
263	мира и	2	1
264	которая в	3	1
265	человек и	1	1
266	в разных	1	1
267	того как	1	1
268	жизни не	1	1
269	может быть	18	1
270	в третьем	1	1
271	пути и	1	1
272	как она	1	1
273	для полноты	1	1
274	во всем	1	1
275	будто бы	3	1
276	можно признать	1	1
277	на него	2	1
278	в сознании	4	1
279	к ее	3	1
280	связь с	1	1
281	жизни в	4	1
282	что на	2	1
283	может и	1	1
284	другой стороны	2	1
285	им не	1	1
286	к этому	2	1
287	тайны и	1	1
288	его с	2	1
289	жизни без	1	1
290	в искусстве	1	1
291	в своих	2	1
292	в процессе	1	1
293	в противоположность	1	1
294	прошлом и	1	1
295	они не	1	1
