N	2gram	Berdyaev_M_1	VelikijI
110	людей в	1	3
111	оно не	1	3
112	человеческого благополучия	1	3
113	и это	12	2
114	нем нет	1	2
115	духа но	1	2
116	об абсолютном	1	2
117	того чтобы	2	2
118	и то	1	2
119	вечности и	1	2
120	божественной жизни	2	2
121	верит в	1	2
122	и сам	1	2
123	и т	1	2
124	можно было	1	2
125	его не	3	2
126	и свободы	4	2
127	бога как	1	2
128	мы не	1	2
129	тысячи миллионов	1	2
130	свободной и	1	2
131	с ним	2	2
132	своей истории	1	2
133	сего и	1	2
134	и во	2	2
135	между тем	1	2
136	принудить к	1	2
137	ивана карамазова	7	2
138	нет и	5	2
139	которые не	1	2
140	человека как	2	2
141	высшей свободе	1	2
142	его к	1	2
143	духа и	4	2
144	только в	6	2
145	те которые	9	2
146	в человека	4	2
147	имя счастья	1	2
148	государство не	1	2
149	смысл мира	1	2
150	конечно не	3	2
151	уже не	4	2
152	не только	29	2
153	вера в	3	2
154	его и	1	2
155	не так	3	2
156	для него	11	2
157	земли и	1	2
158	не хотел	3	2
159	не к	4	2
160	для людей	1	2
161	и никогда	1	2
162	своей свободы	1	2
163	людей не	1	2
164	тем что	4	2
165	на том	3	2
166	это не	5	2
167	истории и	2	2
168	прежде всего	10	2
169	для них	3	2
170	свободе и	4	2
171	с тем	9	2
172	один из	4	2
173	вопросе о	1	2
174	выше всякого	1	2
175	для человека	3	2
176	для их	1	2
177	от свободы	2	2
178	мира в	1	2
179	бога нет	1	2
180	когда я	1	2
181	более чем	1	2
182	счастливых младенцев	1	2
183	от веры	1	2
184	не могут	5	2
185	является в	1	2
186	мир и	1	2
187	самого себя	2	2
188	да и	1	2
189	и окончательное	1	2
190	о свободе	18	2
191	в смысл	1	2
192	что их	1	2
193	основанную на	1	2
194	уж конечно	2	2
195	было еще	1	2
196	уже на	1	2
197	в бога	2	2
198	соединения людей	1	2
199	так много	1	2
200	том что	3	2
201	а к	1	2
202	для нас	3	2
203	от него	4	2
204	есть уже	4	2
205	людей и	2	2
206	давно уже	1	2
207	это все	1	2
208	а в	4	2
209	но не	8	2
210	в духе	1	2
211	могут быть	2	2
212	силы человека	1	2
213	всего в	2	2
214	и зла	5	2
215	котором окончательно	1	2
216	без бога	1	2
217	во всяком	1	2
218	всегда в	1	1
219	соединению людей	1	1
220	глубине его	1	1
221	кто бы	1	1
222	эта новая	1	1
223	быть может	7	1
224	в виду	2	1
225	выше свободы	1	1
226	с жаждой	1	1
227	в ее	3	1
228	униженным и	1	1
229	и плененный	1	1
230	он будто	1	1
231	христианского мира	6	1
232	свободного избрания	1	1
233	и до	1	1
234	роль в	1	1
235	важное место	1	1
236	он осуществляет	1	1
237	и самое	1	1
238	значение в	1	1
239	от чуда	1	1
240	имя его	1	1
241	которое может	1	1
242	для человеческого	3	1
243	и злым	1	1
244	об устроении	1	1
245	это он	1	1
246	живет в	2	1
247	из всего	1	1
248	бога есть	1	1
249	человеческой природы	20	1
250	почве не	1	1
251	истины и	1	1
252	и тут	1	1
253	по сравнению	2	1
254	вопрос о	2	1
255	с человека	1	1
256	самой жизни	1	1
257	те которых	1	1
258	не была	3	1
259	самого ивана	1	1
260	в природном	1	1
261	который был	2	1
262	чудо должно	1	1
263	находится в	1	1
264	выше самого	1	1
265	я не	1	1
266	и ее	1	1
267	атеистического социализма	1	1
268	не был	7	1
269	зависимости от	1	1
270	мира если	1	1
271	о судьбе	1	1
272	вражда к	1	1
273	теми которые	1	1
274	в их	4	1
275	и на	6	1
276	он был	14	1
277	человека свободы	1	1
278	с ненавистью	1	1
279	в последних	1	1
280	отказ от	1	1
281	любви к	7	1
282	истории в	2	1
283	путь путь	1	1
284	природы и	1	1
285	свободы она	2	1
286	все в	6	1
287	за тобой	1	1
288	стремлений не	1	1
289	к нему	7	1
290	что люди	1	1
291	свободу они	1	1
292	ко всякому	1	1
293	идет к	1	1
294	дороже всего	1	1
295	от них	1	1
296	если в	1	1
297	свободы с	3	1
298	менее всего	7	1
299	но нет	1	1
300	что человек	3	1
301	себе и	2	1
302	с истиной	1	1
303	бы в	2	1
304	хотел бы	4	1
305	мире и	1	1
306	это лишь	1	1
307	и можно	1	1
308	и свободное	1	1
309	легенде о	2	1
310	достоинство человека	2	1
311	к конечному	1	1
312	свободной совести	3	1
313	снять с	1	1
314	и уж	2	1
315	его на	1	1
316	как в	2	1
317	и мир	2	1
318	людей с	1	1
319	что человечество	1	1
320	это ни	1	1
321	сходятся тут	1	1
322	в своем	10	1
323	потребность в	1	1
324	свобода их	1	1
325	с именем	1	1
326	все же	2	1
327	есть что-то	2	1
328	его свободы	2	1
329	сострадания к	1	1
330	жизнь свою	1	1
331	мы видим	2	1
332	в вере	1	1
333	мы увидим	3	1
334	ли он	1	1
335	и свою	1	1
336	отняв у	1	1
337	это очень	3	1
338	он дал	1	1
339	духа в	3	1
340	со своей	1	1
341	в самом	11	1
342	к свободе	4	1
343	их жизни	1	1
344	в которой	6	1
345	образа в	1	1
346	бы ни	1	1
347	на людей	2	1
348	средство для	1	1
349	существует лишь	1	1
350	что-то похожее	1	1
351	бога в	2	1
352	сущности и	1	1
353	свободой в	1	1
354	в этой	6	1
355	тебе была	1	1
356	же и	1	1
357	есть зло	2	1
358	хаос и	1	1
359	человеке и	8	1
360	лишь во	2	1
361	христианство есть	3	1
362	свободы но	5	1
363	я в	1	1
364	личности но	2	1
365	уже в	4	1
366	достоинства человека	1	1
367	то и	1	1
368	в религиозном	1	1
369	зла в	4	1
370	в праве	1	1
371	это отрицание	1	1
372	чего бы	1	1
373	говорит что	1	1
374	свою свободу	2	1
375	истину о	1	1
376	вас свободными	1	1
377	человеческого духа	26	1
378	в понимании	1	1
379	любви в	1	1
380	свободы за	1	1
381	чем у	4	1
382	но путь	2	1
383	зла и	8	1
384	и вот	3	1
385	христа во	1	1
386	ницше и	1	1
387	вовсе не	1	1
388	себя от	1	1
389	отношение к	4	1
390	человека когда	1	1
391	стоило и	1	1
392	природы человека	1	1
393	у него	17	1
394	свобода есть	3	1
395	он великий	1	1
396	и по	4	1
397	на этом	3	1
398	мировому соединению	1	1
399	и вместе	4	1
400	человека в	13	1
401	и свободу	2	1
402	бы это	1	1
403	для того	2	1
404	у ницше	1	1
405	в платоновском	1	1
406	в состоянии	1	1
407	в легенде	4	1
408	прельщенный и	1	1
409	ничего выше	2	1
410	той истины	1	1
411	и подобие	2	1
412	и устроения	1	1
413	не были	1	1
414	и с	3	1
415	путь этот	1	1
416	свободной веры	1	1
417	принимает разные	1	1
418	и менее	1	1
419	кто знает	1	1
420	этом пути	2	1
421	проповедовал царство	1	1
422	его личности	3	1
423	есть не	4	1
424	ницше нет	1	1
425	сын божий	1	1
426	и быть	1	1
427	к миру	2	1
428	но дух	1	1
429	весь мир	1	1
430	что бог	2	1
431	души и	1	1
432	были в	1	1
433	говорит о	1	1
434	к человеку	9	1
435	духа все	3	1
436	может ли	1	1
437	был в	4	1
438	знает может	1	1
439	всех есть	1	1
440	у человека	5	1
441	ни стоило	1	1
442	их было	1	1
443	власти и	1	1
444	человеческой жизни	2	1
445	жизнь в	1	1
446	в божественном	1	1
447	своей личности	1	1
448	свободу совести	2	1
449	очень важное	1	1
450	человеческую и	1	1
451	человека не	4	1
452	было для	1	1
453	о чем	2	1
454	есть истина	2	1
455	него не	2	1
456	любви человека	2	1
457	своего бога	1	1
458	о зле	1	1
459	пути не	1	1
460	который я	1	1
461	его бессилие	1	1
462	веры а	1	1
463	иван карамазов	8	1
464	платоновском смысле	1	1
465	и авторитет	1	1
466	что свобода	3	1
467	свободы его	3	1
468	бог есть	2	1
469	но христос	1	1
470	вместе с	6	1
471	есть преодоление	1	1
472	так же	1	1
473	свобода совести	1	1
474	ко всем	3	1
475	в богочеловечестве	1	1
476	человека к	2	1
477	то есть	3	1
478	и великий	1	1
479	свободно пошел	1	1
480	бесконечного содержания	1	1
481	быть от	1	1
482	в человеке	8	1
483	совести не	1	1
484	над ним	1	1
485	разрушение и	1	1
486	у нас	5	1
487	в которых	4	1
488	сравнению с	1	1
489	этих словах	1	1
490	с такой	1	1
491	ведет к	6	1
492	отпадения от	1	1
493	свободы не	6	1
494	в одном	1	1
495	их веры	1	1
496	против свободы	1	1
497	бунт против	4	1
498	чтобы свободно	1	1
499	образ и	2	1
500	в мир	3	1
501	у самого	2	1
502	человек с	1	1
503	это значит	3	1
504	свобода и	6	1
505	который он	1	1
506	если нет	5	1
507	и скажет	1	1
508	мира с	1	1
509	этот мир	2	1
510	и всех	1	1
511	с этой	4	1
512	человеку не	1	1
513	на пути	4	1
514	ницше в	1	1
515	в атмосфере	1	1
516	и нет	2	1
517	есть один	1	1
518	человека есть	3	1
519	ничего кроме	1	1
520	есть прежде	1	1
521	мире лишь	1	1
522	к ним	1	1
523	говорит великий	1	1
524	о мире	2	1
525	веры тебе	1	1
526	нужно знать	1	1
527	на два	1	1
528	мирового смысла	1	1
529	со свободой	4	1
530	сознании и	1	1
531	и именно	1	1
532	но она	1	1
533	мы все	1	1
534	его есть	2	1
535	есть путь	4	1
536	и слишком	1	1
537	возжелал свободной	2	1
538	не существует	2	1
539	тайну и	1	1
540	и от	2	1
541	достоевский имел	1	1
542	карамазова и	2	1
543	мира и	5	1
544	нет бога	2	1
545	человека чтобы	1	1
546	он за	1	1
547	ничего не	3	1
548	человек и	6	1
549	в разных	1	1
550	пошел он	1	1
551	достоинство его	1	1
552	жизни не	1	1
553	вся сложность	1	1
554	ибо лишь	1	1
555	христа и	3	1
556	может быть	30	1
557	человек на	1	1
558	природы в	3	1
559	пути и	2	1
560	конце концов	2	1
561	обличье добра	1	1
562	против того	1	1
563	инквизитор христу	1	1
564	во всем	1	1
565	будто бы	3	1
566	свобода человека	2	1
567	была дороже	1	1
568	можно признать	1	1
569	к жизни	1	1
570	истории мира	1	1
571	человеческого общества	1	1
572	к ее	1	1
573	мы давно	1	1
574	из сторон	1	1
575	свобода выше	1	1
576	жизни в	2	1
577	источник зла	1	1
578	и высшее	1	1
579	ничего нельзя	1	1
580	не быть	1	1
581	свободы а	2	1
582	о духе	1	1
583	борются в	1	1
584	для нашего	1	1
585	относятся ко	1	1
586	социализма и	1	1
587	зло это	1	1
588	от природы	3	1
589	есть и	3	1
590	есть то	1	1
591	к этому	2	1
592	чтобы человек	2	1
593	возможны лишь	1	1
594	его с	2	1
595	и атеистического	1	1
596	всего что	2	1
597	его тайна	1	1
598	тайна мы	1	1
599	ли что	1	1
600	в искусстве	1	1
601	людям к	1	1
602	в своих	1	1
603	есть свобода	5	1
604	и эта	1	1
605	в противоположность	1	1
606	природу человека	1	1
607	свободы тогда	2	1
608	но к	1	1
609	себя и	3	1
610	она не	4	1
611	во власть	1	1
612	они не	1	1
