N	2gram	Propp_Russ_2	EvropaiE
167	и более	1	2
168	к такой	1	2
169	она не	3	2
170	тогда когда	4	2
171	по своей	1	2
172	как будто	1	2
173	что на	2	2
174	могут быть	2	2
175	случаях когда	1	2
176	оставить в	1	2
177	своей идеологии	1	2
178	только одно	1	2
179	имеет место	1	2
180	свою очередь	1	2
181	данном случае	7	2
182	на основе	1	2
183	нужно заметить	1	2
184	мог бы	1	2
185	именно тогда	1	2
186	если бы	1	2
187	и поэтому	1	2
188	и что	5	2
189	и во	1	2
190	к нему	4	2
191	ее от	2	2
192	в его	1	2
193	во всей	1	2
194	востока и	1	2
195	также в	2	2
196	мы должны	1	2
197	но с	1	2
198	же к	1	2
199	этот вопрос	2	2
200	в какой	1	2
201	есть в	2	2
202	идеологии и	1	2
203	не можем	2	2
204	в большинстве	1	2
205	если в	1	2
206	при помощи	1	2
207	и других	3	2
208	в одном	1	2
209	заметить что	2	2
210	в других	15	2
211	влияние на	2	2
212	а именно	3	2
213	в некоторых	9	2
214	на основании	1	2
215	а не	4	2
216	нужно иметь	1	2
217	что все	1	2
218	начиная с	2	2
219	вместе с	6	2
220	относятся к	1	2
221	или по	1	2
222	не дают	1	2
223	ко всему	1	2
224	совершенно очевидно	2	2
225	и таким	1	2
226	более поздние	1	2
227	или в	7	2
228	и все	4	2
229	и наконец	1	2
230	же в	6	2
231	в другой	1	2
232	а в	9	2
233	другой стороны	1	2
234	г по	1	2
235	приводит нас	2	2
236	и эта	1	2
237	ту же	1	1
238	вопрос мы	1	1
239	также что	2	1
240	в силе	1	1
241	и т	5	1
242	например в	1	1
243	в русских	4	1
244	место при	1	1
245	мы здесь	2	1
246	в тех	1	1
247	некоторые из	1	1
248	и это	1	1
249	многих отношениях	1	1
250	с природой	1	1
251	дойдя до	1	1
252	которую они	1	1
253	и до	1	1
254	с таким	1	1
255	или ее	3	1
256	эту же	1	1
257	например то	1	1
258	из всего	1	1
259	что между	1	1
260	исторической перспективе	1	1
261	время как	1	1
262	говорить о	1	1
263	достаточно чтобы	1	1
264	которое не	1	1
265	то это	1	1
266	когда мы	2	1
267	может дать	1	1
268	выходит и	1	1
269	которых нет	1	1
270	что его	1	1
271	тем как	1	1
272	самих себя	1	1
273	видели что	4	1
274	значение и	1	1
275	тогда как	2	1
276	отличие от	3	1
277	может произойти	1	1
278	что вызывает	1	1
279	к сожалению	1	1
280	относится к	1	1
281	в одной	1	1
282	ней в	2	1
283	все остальные	1	1
284	все же	2	1
285	в противном	1	1
286	кроме того	2	1
287	тех случаях	1	1
288	смысле этого	1	1
289	к тем	1	1
290	что по	4	1
291	исключения и	1	1
292	не являются	1	1
293	его к	1	1
294	более или	1	1
295	увидим что	1	1
296	в этот	10	1
297	та же	2	1
298	он в	1	1
299	еще далеко	1	1
300	которые в	1	1
301	своему влиянию	1	1
302	идут в	2	1
303	тому же	1	1
304	к выводу	1	1
305	при этом	6	1
306	т д	5	1
307	области и	1	1
308	и когда	1	1
309	состоит в	15	1
310	в новой	2	1
311	то как	1	1
312	на земле	5	1
313	несколько ниже	1	1
314	чтобы на	3	1
315	на этом	3	1
316	как более	1	1
317	мы устанавливаем	1	1
318	в человеческом	1	1
319	но все	1	1
320	от нее	1	1
321	а затем	4	1
322	в нем	1	1
323	значение в	1	1
324	входит в	1	1
325	если при	1	1
326	рядом с	1	1
327	каждая область	1	1
328	одна другую	1	1
329	или из	1	1
330	активности и	1	1
331	сильнее чем	1	1
332	и целые	1	1
333	их на	1	1
334	в западной	1	1
335	или менее	1	1
336	в изучении	1	1
337	оставаться в	1	1
338	в такой	1	1
339	в отличие	3	1
340	что при	2	1
341	можем входить	1	1
342	выше мы	3	1
343	в другие	4	1
344	при рассмотрении	2	1
345	образом из	1	1
346	том же	4	1
347	для этого	5	1
348	возвращается к	1	1
349	входящие в	1	1
350	некоторых случаях	1	1
351	все эти	3	1
352	не менее	2	1
353	но они	1	1
354	что эта	1	1
355	признаков что	1	1
356	что с	2	1
357	этого же	1	1
358	и хозяйства	1	1
359	считает что	1	1
360	принадлежат к	2	1
361	одна из	11	1
362	или это	1	1
363	о таких	1	1
364	подходят к	1	1
365	земли в	1	1
366	именно с	1	1
367	такая же	1	1
368	во всем	2	1
369	и его	1	1
370	связи с	2	1
371	можно рассматривать	1	1
372	так называемый	1	1
373	е не	1	1
374	поворот к	1	1
375	в основе	1	1
376	и несколько	1	1
377	у нас	4	1
378	такие же	3	1
379	он называет	1	1
380	других случаях	1	1
381	мир в	1	1
382	например по	1	1
383	все еще	1	1
384	свои границы	1	1
385	и о	3	1
386	и сами	1	1
387	это имело	1	1
388	то время	2	1
389	мнение что	2	1
390	с собой	1	1
391	был бы	1	1
392	и другими	1	1
393	об этом	2	1
394	еще в	2	1
395	когда в	1	1
396	и вообще	1	1
397	с ним	1	1
398	означает что	1	1
399	сводится к	1	1
400	в состав	2	1
401	или на	8	1
402	это должно	1	1
403	может не	1	1
404	более высокой	1	1
405	нас в	1	1
406	затем в	1	1
407	связь между	2	1
408	из себя	1	1
409	а через	2	1
410	которая должна	1	1
411	того в	2	1
412	в ту	1	1
413	и следовательно	1	1
414	быть и	1	1
415	но так	1	1
416	один из	2	1
417	iv в	1	1
418	в двух	1	1
419	тот же	1	1
420	с ними	1	1
421	всех этих	1	1
422	мы увидим	1	1
423	ли он	1	1
424	идут к	2	1
425	который в	1	1
426	они могут	1	1
427	на которые	1	1
428	или же	5	1
429	и ее	2	1
430	по этому	2	1
431	уже не	4	1
432	уже в	1	1
433	то и	4	1
434	только тогда	3	1
435	от других	1	1
436	нему однако	1	1
437	например к	1	1
438	в великой	1	1
439	это обстоятельство	1	1
440	одно из	2	1
441	не будут	1	1
442	для него	1	1
443	и должна	1	1
444	как его	1	1
445	которые как	1	1
446	образом к	1	1
447	в исторической	1	1
448	даже не	1	1
449	а на	9	1
450	также на	1	1
451	с той	1	1
452	в ряде	1	1
453	имело место	1	1
454	и затем	1	1
455	что для	3	1
456	выступает в	1	1
457	не было	2	1
458	на которых	1	1
459	зависит от	1	1
460	пока что	1	1
461	каждую из	1	1
462	него не	1	1
463	становится ясным	1	1
464	связь с	3	1
465	части ее	1	1
466	в европе	2	1
467	многих случаях	2	1
468	этих случаях	4	1
469	к жизни	5	1
470	что за	1	1
471	случае она	1	1
472	также к	1	1
473	религии и	1	1
474	некоторое время	1	1
475	п с	1	1
476	многих других	1	1
477	в состоянии	1	1
478	должно быть	2	1
479	этого слова	1	1
480	на пути	1	1
481	аналогии с	1	1
482	и где	1	1
483	с полной	1	1
484	она может	1	1
485	а к	2	1
486	ее и	2	1
487	климата и	1	1
488	всем другим	1	1
489	но это	1	1
490	в мировом	1	1
491	но возможно	1	1
492	и другие	14	1
493	с ней	5	1
494	понимать как	1	1
495	что такие	2	1
496	оно не	1	1
497	время не	1	1
498	на нижнем	1	1
499	к числу	2	1
500	к этой	1	1
501	это в	2	1
502	все что	1	1
