N	2gram	Propp_Morf_1	Marksizm
227	к этой	1	2
228	в одной	1	2
229	ни в	1	2
230	этот момент	3	2
231	должно быть	1	2
232	всяком случае	2	2
233	данный момент	1	2
234	тем что	4	2
235	они все	1	2
236	это делает	1	2
237	ту же	2	2
238	и др	10	2
239	одна из	4	2
240	мы уже	1	2
241	точку зрения	1	2
242	формы в	1	2
243	могут быть	16	2
244	тому что	4	2
245	в тот	1	2
246	стороны оно	1	2
247	тем не	5	2
248	мы можем	2	2
249	она не	2	2
250	может существовать	3	2
251	что и	7	2
252	ни к	2	2
253	пр и	2	2
254	в нашем	3	2
255	этого материала	1	2
256	иными словами	1	2
257	не приходится	1	2
258	и иных	2	2
259	о том	2	2
260	мы скажем	1	2
261	одним словом	1	2
262	мы постарались	1	2
263	что он	4	2
264	или вообще	1	2
265	ни одной	1	2
266	в основе	1	2
267	благодаря этому	3	2
268	должна быть	1	2
269	в виду	1	2
270	так как	16	2
271	можно было	2	2
272	если бы	2	2
273	без всякой	2	2
274	но для	2	2
275	все остальные	1	2
276	тех пор	1	2
277	в первой	1	2
278	эти формы	2	2
279	в данной	1	2
280	и более	1	2
281	во втором	3	2
282	в русской	1	2
283	совершаться в	1	1
284	не означает	1	1
285	и там	1	1
286	бы они	2	1
287	и совершенно	1	1
288	главным образом	4	1
289	лишь постольку	1	1
290	есть функция	1	1
291	которые еще	1	1
292	образом и	1	1
293	не входит	1	1
294	никаких новых	2	1
295	приводит к	2	1
296	очень много	1	1
297	бы по	1	1
298	не значит	2	1
299	материал и	1	1
300	частности как	1	1
301	в форме	6	1
302	бы быть	1	1
303	известным образом	1	1
304	иных форм	1	1
305	входить в	2	1
306	или они	1	1
307	и вот	1	1
308	и наконец	1	1
309	и художественный	1	1
310	многих других	1	1
311	связаны между	1	1
312	говорить о	3	1
313	углом зрения	1	1
314	момент когда	2	1
315	на пути	4	1
316	имеет целью	1	1
317	бы на	1	1
318	проходит через	1	1
319	может дать	1	1
320	и ни	1	1
321	как таковой	2	1
322	системе и	1	1
323	вопрос в	2	1
324	в один	3	1
325	действительно в	1	1
326	лишь к	1	1
327	прав то	1	1
328	нет в	1	1
329	не ощущается	1	1
330	к определению	1	1
331	по пути	1	1
332	еще и	1	1
333	здесь не	2	1
334	лишь как	1	1
335	можно сделать	2	1
336	за ней	2	1
337	явления и	1	1
338	на ее	1	1
339	этой формы	3	1
340	так чтобы	1	1
341	исходить из	1	1
342	или просто	2	1
343	главе мы	1	1
344	к истории	1	1
345	не по	2	1
346	может возникнуть	1	1
347	образом как	1	1
348	к нему	3	1
349	в подробности	1	1
350	из двух	2	1
351	что это	1	1
352	здесь можно	3	1
353	укладываются в	1	1
354	можно лишь	1	1
355	другом случае	1	1
356	обстоит дело	1	1
357	то перед	5	1
358	тесно связаны	1	1
359	то все	1	1
360	они превращаются	1	1
361	и другие	6	1
362	так что	1	1
363	как это	3	1
364	элементы которые	2	1
365	та же	2	1
366	друг с	1	1
367	или во	1	1
368	например в	2	1
369	мы получим	1	1
370	размаха на	1	1
371	может только	1	1
372	между прочим	1	1
373	это значит	1	1
374	с тем	2	1
375	во избежание	1	1
376	в одном	1	1
377	а потому	1	1
378	со всеми	1	1
379	того как	2	1
380	жизни языка	1	1
381	всех случаях	1	1
382	лишь один	1	1
383	вместо того	1	1
384	другие элементы	2	1
385	но кроме	1	1
386	ответ на	1	1
387	камень и	2	1
388	до известной	1	1
389	каким образом	1	1
390	многообразна и	1	1
391	деле в	1	1
392	были бы	1	1
393	достижения в	1	1
394	совсем не	3	1
395	в образе	4	1
396	утверждение что	1	1
397	но не	4	1
398	же не	1	1
399	связывается с	2	1
400	людей в	1	1
401	его до	1	1
402	нет это	1	1
403	или же	6	1
404	и мог	1	1
405	же может	2	1
406	никем не	1	1
407	отношение к	1	1
408	многих отношениях	1	1
409	с другом	1	1
410	представители этой	1	1
411	потому что	3	1
412	но вот	2	1
413	во всей	1	1
414	мы еще	1	1
415	очень важный	1	1
416	действия и	1	1
417	было указано	1	1
418	она есть	1	1
419	быть не	1	1
420	здесь нет	1	1
421	увидим дальше	1	1
422	или если	1	1
423	этому же	1	1
424	в следующей	1	1
425	состоит из	1	1
426	с теми	4	1
427	точном смысле	1	1
428	в той	1	1
429	но как	2	1
430	это не	6	1
431	к ней	1	1
432	перед ним	1	1
433	если же	5	1
434	хотя и	3	1
435	следует ли	1	1
436	эта история	1	1
437	превращаются в	1	1
438	на все	1	1
439	в россии	2	1
440	при помощи	9	1
441	вообще не	1	1
442	как они	1	1
443	средство для	1	1
444	на него	3	1
445	скажем что	1	1
446	которые в	1	1
447	формы которые	2	1
448	остается невыясненным	1	1
449	в совершенно	1	1
450	тем мы	1	1
451	в других	3	1
452	момента в	1	1
453	пор не	1	1
454	нисколько не	1	1
455	то с	2	1
456	в целом	3	1
457	русском языке	1	1
458	ее в	1	1
459	эти две	1	1
460	этой цели	1	1
461	же самый	1	1
462	значит что	3	1
463	эта форма	13	1
464	к нескольким	1	1
465	идет об	1	1
466	которые он	1	1
467	она все	1	1
468	может фигурировать	1	1
469	лица в	1	1
470	отвечает на	1	1
471	в нее	1	1
472	основной тезис	2	1
473	можно назвать	3	1
474	знаки и	1	1
475	другой вопрос	2	1
476	во многих	1	1
477	уже давно	1	1
478	на классификацию	1	1
479	следующим образом	3	1
480	мы увидим	8	1
481	это или	1	1
482	до наших	2	1
483	бы только	1	1
484	а и	3	1
485	всякое значение	1	1
486	наших дней	2	1
487	но этого	1	1
488	этой главе	1	1
489	следует еще	1	1
490	от разрешения	1	1
491	этого момента	3	1
492	еще в	1	1
493	значение и	1	1
494	о чем	1	1
495	но ведь	1	1
496	лишь на	2	1
497	уже не	2	1
498	или менее	2	1
499	всех подобных	1	1
500	и может	1	1
501	втором случае	1	1
502	во время	6	1
503	она могла	1	1
504	для выделения	1	1
505	собой и	1	1
506	более или	2	1
507	дает себя	1	1
508	с ними	1	1
509	в особенности	1	1
510	трудная задача	7	1
511	между собою	2	1
512	следует сказать	1	1
513	одной стороны	1	1
514	быть выражено	1	1
515	и тем	2	1
516	возможны и	1	1
517	равно как	1	1
518	между самыми	1	1
519	в этой	2	1
520	психология народов	1	1
521	не делает	1	1
522	в постановке	1	1
523	к двум	1	1
524	сделать из	2	1
525	как то	2	1
526	с одной	1	1
527	то для	1	1
528	вошел в	1	1
529	или служит	1	1
530	наоборот мы	1	1
531	а по	3	1
532	о формах	2	1
533	ни были	1	1
534	мы видим	13	1
535	более и	1	1
536	может совершаться	1	1
537	и что	2	1
538	также и	4	1
539	оказалось бы	1	1
540	в точном	1	1
541	свое место	1	1
542	целом не	1	1
543	нашего века	1	1
544	их в	1	1
545	форм а	1	1
546	в различных	2	1
547	же касается	1	1
548	себя и	2	1
549	чем является	1	1
550	с его	2	1
551	ведь и	1	1
552	наука о	2	1
553	в рамках	1	1
554	превращена в	2	1
555	здесь же	3	1
556	подобно тому	6	1
557	или точнее	1	1
558	могут считаться	2	1
559	само собой	1	1
560	мы переходим	1	1
561	известной степени	1	1
562	чего в	1	1
563	или наоборот	1	1
564	есть и	4	1
565	особая функция	1	1
566	как особого	2	1
567	на эти	1	1
568	предмета но	1	1
569	рассмотрению и	1	1
570	его не	1	1
571	по существу	12	1
572	из членов	3	1
573	прочим и	1	1
574	и до	1	1
575	которая не	1	1
576	вторая половина	2	1
577	или как	1	1
578	его если	1	1
579	все более	1	1
580	и то	1	1
581	и по-видимому	1	1
582	в последнем	2	1
583	для наших	1	1
584	нами в	2	1
585	процессов и	1	1
586	она является	1	1
587	имеется в	3	1
588	все другие	1	1
589	будем говорить	1	1
590	то она	1	1
591	он служит	1	1
592	стремится к	1	1
593	тому как	5	1
594	со стороны	3	1
595	так например	3	1
596	нет а	1	1
597	он сам	1	1
598	ряд вопросов	1	1
599	в интересах	2	1
600	ответить на	1	1
601	получает в	1	1
602	за другом	2	1
603	друг за	2	1
604	прибавить к	1	1
605	характерно что	1	1
606	что мы	2	1
607	а если	4	1
608	бы какое	1	1
609	на отношения	1	1
610	так называемой	1	1
611	могли бы	1	1
612	и по	2	1
613	иные формы	1	1
614	по отдельным	1	1
615	может идти	1	1
616	очень ярко	1	1
617	и самая	1	1
