N	2gram	Berdyaev_O_1	Vladivir
273	свое учение	1	1
274	по силе	1	1
275	лишь в	7	1
276	в свое	1	1
277	с вопросом	1	1
278	в свой	1	1
279	которая была	1	1
280	в жизни	1	1
281	в положительной	2	1
282	жила в	1	1
283	что природа	1	1
284	всю жизнь	1	1
285	тонет в	1	1
286	только бога	2	1
287	своей новой	1	1
288	чем в	2	1
289	вот о	1	1
290	помешало бы	1	1
291	бога и	1	1
292	не так	1	1
293	и без	1	1
294	это подтверждается	1	1
295	оказывается что	1	1
296	любовь и	1	1
297	мир и	1	1
298	и дела	1	1
299	если бы	1	1
300	вещей и	1	1
301	чтобы иметь	1	1
302	что сам	1	1
303	не любит	1	1
304	и напряженной	1	1
305	из писателей	1	1
306	вообще но	1	1
307	всего его	1	1
308	в русской	3	1
309	этого нужно	1	1
310	что их	1	1
311	идеях и	1	1
312	любовь эта	1	1
313	в отношениях	1	1
314	жизни не	1	1
315	в самой	9	1
316	и весь	1	1
317	всего и	2	1
318	и лишь	1	1
319	и женщины	1	1
320	во всем	1	1
321	достоевского можно	1	1
322	в сознании	1	1
323	всякий кто	2	1
324	было не	1	1
325	ведь все	1	1
326	перед ним	1	1
327	бытия как	1	1
328	свое собственное	1	1
329	личной судьбы	1	1
330	и здесь	1	1
331	он начинал	1	1
332	все еще	2	1
333	от которой	1	1
334	характер и	1	1
335	нет никакой	1	1
336	от того	1	1
337	стремиться к	1	1
338	погружении в	1	1
339	лет назад	1	1
340	жизнь а	1	1
341	особенно в	1	1
342	еще не	3	1
343	том как	1	1
344	быть может	3	1
345	где оно	1	1
346	любовью и	1	1
347	все его	1	1
348	вопросу о	1	1
349	но ничего	1	1
350	в глазах	1	1
351	в древнем	1	1
352	частью в	2	1
353	нам всем	1	1
354	говорит в	1	1
355	интереса к	1	1
356	что только	1	1
357	еще близкий	1	1
358	их жизни	1	1
359	и раньше	1	1
360	и ее	3	1
361	со всеми	1	1
362	к которой	1	1
363	человека с	1	1
364	с какой	1	1
365	человеческого духа	3	1
366	и везде	1	1
367	ему еще	1	1
368	в душе	2	1
369	и других	1	1
370	не стал	1	1
371	уже с	1	1
372	из них	1	1
373	мужчины и	1	1
374	никто не	3	1
375	в одном	1	1
376	вот с	1	1
377	тем что	2	1
378	этом отношении	1	1
379	его целиком	1	1
380	ты не	1	1
381	что человек	3	1
382	сказать про	1	1
383	было и	1	1
384	на людей	1	1
385	ли может	1	1
386	у его	1	1
387	нужно считать	1	1
388	него не	2	1
389	что во	1	1
390	его как	1	1
391	против католичества	1	1
392	не могут	3	1
393	с до	1	1
394	он говорит	1	1
395	но сам	1	1
396	и своим	1	1
397	это есть	1	1
398	выше всего	2	1
399	в мир	1	1
400	человек всегда	2	1
401	в бесах	3	1
402	уже сам	1	1
403	как например	1	1
404	оба они	1	1
405	нужно отметить	1	1
406	любовь к	2	1
407	и случайное	1	1
408	не с	1	1
409	христа и	1	1
410	от него	7	1
411	с достоевским	1	1
412	ни к	1	1
413	есть уже	1	1
414	он во	1	1
415	личности и	2	1
416	отношении к	1	1
417	всего мира	1	1
418	а ведь	1	1
419	была бы	1	1
420	от всех	1	1
421	любви к	1	1
422	бы даже	1	1
423	ее в	2	1
424	те которые	2	1
