N	2gram	Tiupa_Vved_1	RusskieA
405	как его	2	1
406	случае не	1	1
407	как раз	2	1
408	следует признать	4	1
409	происходит на	1	1
410	чем и	1	1
411	в другой	1	1
412	и даже	1	1
413	как у	1	1
414	это множество	1	1
415	по своим	3	1
416	имеет место	4	1
417	и др	1	1
418	и затем	1	1
419	выступает в	1	1
420	превращается в	1	1
421	этому времени	1	1
422	не на	1	1
423	зависит от	2	1
424	это на	1	1
425	в одной	2	1
426	и потому	1	1
427	к себе	1	1
428	или по	1	1
429	в москве	1	1
430	дерево это	1	1
431	по своему	2	1
432	он может	1	1
433	исходя из	2	1
434	в современной	3	1
435	и более	3	1
436	быть не	4	1
437	и не	12	1
438	на другое	1	1
439	как более	1	1
440	но это	3	1
441	внимания на	1	1
442	и действия	2	1
443	в теорию	1	1
444	что касается	5	1
445	при всем	1	1
446	времени его	2	1
447	она может	1	1
448	в настоящее	1	1
449	тот кто	2	1
450	в двух	1	1
451	мы должны	1	1
452	не непосредственно	1	1
453	только что	1	1
454	собой очень	1	1
455	или не	2	1
456	но возможно	2	1
457	и воскресение	1	1
458	к ее	3	1
459	несмотря на	1	1
460	только с	1	1
461	в период	1	1
462	от первого	1	1
463	в свою	4	1
464	сказать что	1	1
465	другой стороны	2	1
466	когда в	2	1
467	им не	1	1
468	время не	1	1
469	и становится	1	1
470	и состоит	1	1
471	во всяком	1	1
472	также не	1	1
473	и особенно	1	1
474	все что	3	1
