N	2gram	Propp_Russ_2	VeschiIm
355	далеко не	4	1
356	а за	4	1
357	не всегда	3	1
358	одна другую	1	1
359	и значения	1	1
360	в научной	1	1
361	оно же	1	1
362	на первый	3	1
363	нужно чтобы	1	1
364	имен и	1	1
365	этом случае	6	1
366	нас не	2	1
367	уже к	1	1
368	в котором	3	1
369	ту сторону	1	1
370	столь важное	1	1
371	представление о	5	1
372	в отличие	3	1
373	и этой	1	1
374	но эта	1	1
375	объяснить но	1	1
376	как от	1	1
377	iii и	1	1
378	случае мы	1	1
379	нас к	3	1
380	например и	1	1
381	и очень	1	1
382	чтобы это	1	1
383	отдельно от	1	1
384	что эта	1	1
385	можно понимать	1	1
386	что с	2	1
387	которое он	1	1
388	смысла есть	1	1
389	дело не	2	1
390	не имеет	3	1
391	какое-нибудь дерево	1	1
392	с и	1	1
393	о них	2	1
394	это еще	1	1
395	учения о	1	1
396	место это	1	1
397	по своей	1	1
398	и является	1	1
399	быть потому	1	1
400	сводится к	1	1
401	так называемый	1	1
402	которое не	1	1
403	до того	1	1
404	только с	1	1
405	за волосы	1	1
406	остановиться несколько	1	1
407	ясно но	1	1
408	и оно	1	1
409	могут быть	2	1
410	одних имен	1	1
411	тут все	1	1
412	только одну	2	1
413	ничего общего	1	1
414	в применении	1	1
415	обычно в	1	1
416	из всего	1	1
417	в конце	1	1
418	вывод что	2	1
419	на нем	1	1
420	на основе	1	1
421	и от	3	1
422	то время	2	1
423	в пределах	1	1
424	идет речь	1	1
425	название это	1	1
426	до самого	1	1
427	они могут	1	1
428	то как	1	1
429	что у	1	1
430	достаточно чтобы	1	1
431	в другом	1	1
432	на нее	6	1
433	что также	1	1
434	на которую	1	1
435	оно все	1	1
436	когда в	1	1
437	права говорить	1	1
438	со старой	1	1
439	но может	1	1
440	говорят что	1	1
441	из теста	1	1
442	из основных	2	1
443	не был	2	1
444	то они	1	1
445	за пределами	2	1
446	таким же	1	1
447	и объяснить	1	1
448	а также	4	1
449	из ряда	1	1
450	происходит не	1	1
451	нас в	1	1
452	должно было	3	1
453	связь между	2	1
454	эту березку	1	1
455	от них	1	1
456	чем и	1	1
457	не надо	1	1
458	а именно	3	1
459	дать в	1	1
460	это приводит	1	1
461	что здесь	3	1
462	содержится в	1	1
463	но с	1	1
464	сделать это	1	1
465	в двух	1	1
466	в какой	1	1
467	но ни	1	1
468	и так	1	1
469	несколько подробнее	1	1
470	не было	2	1
471	с одной	2	1
472	собою как	1	1
473	где они	2	1
474	не можем	2	1
475	в виде	4	1
476	от других	1	1
477	при помощи	1	1
478	области в	1	1
479	получает имя	1	1
480	очевидно что	2	1
481	себе в	1	1
482	на части	9	1
483	всяком случае	1	1
484	и должна	1	1
485	части и	2	1
486	себя от	1	1
487	как его	1	1
488	она будет	1	1
489	на некоторые	1	1
490	ее на	2	1
491	в других	15	1
492	живой и	1	1
493	сущность ее	1	1
494	же а	2	1
495	и эту	1	1
496	говорит о	2	1
497	в некоторых	9	1
498	одной стороны	2	1
499	зависит от	1	1
500	к таким	2	1
501	этом основании	1	1
502	что каждый	1	1
503	название не	1	1
504	или по	1	1
505	верно что	1	1
506	из которых	2	1
507	который также	1	1
508	той и	1	1
509	смысле этого	1	1
510	применении к	1	1
511	также к	1	1
512	им не	1	1
513	и основной	1	1
514	по существу	4	1
515	и другой	3	1
516	в состоянии	1	1
517	и жизнь	1	1
518	в изучении	1	1
519	или другого	1	1
520	этого слова	1	1
521	говорилось что	1	1
522	происхождении и	1	1
523	не является	1	1
524	более полное	1	1
525	решить вопрос	2	1
526	или в	7	1
527	есть носитель	1	1
528	тот кто	1	1
529	ее и	2	1
530	и новое	1	1
531	они говорят	1	1
532	у них	2	1
533	мы должны	1	1
534	всем другим	1	1
535	также не	1	1
536	очень хорошо	1	1
537	этих элементов	1	1
538	чтобы обеспечить	3	1
539	а н	3	1
540	в целях	2	1
541	с ней	5	1
542	понимать как	1	1
543	только как	2	1
544	другой стороны	1	1
545	религии и	1	1
546	личность или	1	1
547	мы увидим	1	1
548	из этого	2	1
549	ли он	1	1
550	из своей	1	1
551	теории не	1	1
552	к этой	1	1
553	и эта	1	1
554	есть тут	1	1
555	к этому	5	1
556	в таком	4	1
