N	2gram	Savitsky_E_1	Mirosoze
255	не понимали	1	1
256	тем как	1	1
257	строе человеческой	1	1
258	значение и	1	1
259	только тогда	1	1
260	если в	2	1
261	в новом	1	1
262	россия есть	2	1
263	в свои	2	1
264	за пределы	1	1
265	земного шара	9	1
266	которые не	1	1
267	кому бы	1	1
268	с этим	2	1
269	мира в	4	1
270	будущее россии	1	1
271	кровь от	1	1
272	все остальные	1	1
273	могли бы	1	1
274	и всецело	2	1
275	и как	2	1
276	выйти к	1	1
277	его к	1	1
278	не быть	1	1
279	многие из	1	1
280	все так	1	1
281	все эти	1	1
282	во многих	4	1
283	поскольку в	1	1
284	однако же	1	1
285	бы только	1	1
286	мира но	2	1
287	на то	6	1
288	эту мысль	1	1
289	на западе	1	1
290	все другие	2	1
291	потребности в	1	1
292	отношений между	2	1
293	русской стихии	1	1
294	европейской культуры	3	1
295	себя бремя	2	1
296	и творческого	1	1
297	наконец его	1	1
298	это один	1	1
299	но все	1	1
300	значительной степени	1	1
301	то чтобы	1	1
302	они должны	1	1
303	об этом	1	1
304	входит в	1	1
305	было бы	8	1
306	и тем	3	1
307	она и	1	1
308	к которым	5	1
309	с тем	3	1
310	с такой	1	1
311	в развитии	2	1
312	она неизбежно	1	1
313	потому и	1	1
314	культуры с	2	1
315	на себя	3	1
316	перед собой	1	1
317	бы на	1	1
318	но если	5	1
319	в котором	2	1
320	с точки	17	1
321	в которых	3	1
322	признать что	1	1
323	ответить на	1	1
324	значение для	1	1
325	одном из	2	1
326	него не	1	1
327	она в	3	1
328	и более	2	1
329	нас к	2	1
330	но они	1	1
331	культуры были	1	1
332	и хозяйства	1	1
333	для каждого	1	1
334	в революционном	1	1
335	та или	1	1
336	для всего	1	1
337	земли в	1	1
338	на путях	4	1
339	человечества как	2	1
340	всякой иной	1	1
341	и культурной	1	1
342	склонен думать	1	1
343	от плоти	1	1
344	или иная	1	1
345	есть то	1	1
346	от крови	1	1
347	пределах и	1	1
348	душе и	1	1
349	и теперь	2	1
350	за всех	1	1
351	в сознании	1	1
352	того же	3	1
353	находит себе	1	1
354	исторического процесса	1	1
355	и искусства	1	1
356	уже и	3	1
357	что на	2	1
358	при такой	1	1
359	пребывает в	1	1
360	к единому	1	1
361	будущее в	1	1
362	его для	1	1
363	не могут	2	1
364	для такого	1	1
365	но также	2	1
366	более сурового	1	1
367	по сравнению	2	1
368	все еще	1	1
369	для себя	1	1
370	обращенный к	1	1
371	как не	2	1
372	всего этого	1	1
373	в ее	8	1
374	тем в	3	1
375	говорит об	1	1
376	это имело	1	1
377	х и	1	1
378	в пределах	25	1
379	революции русской	1	1
380	как с	1	1
381	и сам	1	1
382	по природе	1	1
383	мог бы	2	1
384	чем все	1	1
385	когда в	1	1
386	стороне от	1	1
387	к тем	1	1
388	мира и	3	1
389	культура есть	2	1
390	оценок и	1	1
391	будет уже	1	1
392	связанная с	1	1
393	народом в	1	1
394	жизни которое	1	1
395	именно потому	2	1
396	а также	7	1
397	в самой	1	1
398	на вопрос	1	1
399	плоть от	1	1
400	и кровь	1	1
401	может не	1	1
402	в значительной	2	1
403	не выходит	1	1
404	это в	1	1
405	во втором	2	1
406	и только	3	1
407	но нельзя	1	1
408	нем и	1	1
409	старого мира	1	1
410	к концу	1	1
411	происходит в	2	1
412	но так	1	1
413	же все	1	1
414	борьбы за	1	1
415	речи о	1	1
416	будь то	1	1
417	ли он	1	1
418	в какой	2	1
419	в стороне	3	1
420	начало в	2	1
421	одних и	1	1
422	русская революция	2	1
423	бы ни	3	1
424	об их	1	1
425	к какому	1	1
426	народе в	1	1
427	не из	3	1
428	не дает	3	1
429	этом мире	1	1
430	мир в	1	1
431	был бы	1	1
432	что культура	1	1
433	постановка проблемы	1	1
434	в явлении	1	1
435	в прошлом	3	1
436	смысле этого	1	1
437	для них	2	1
438	и продолжает	1	1
439	бытия и	1	1
440	этом отношении	3	1
441	народы мира	2	1
442	в границах	1	1
443	на примере	1	1
444	с другой	7	1
445	выход к	2	1
446	вслед за	6	1
447	и прежде	3	1
448	во второй	3	1
449	на которые	1	1
450	европы и	22	1
451	перед тем	1	1
452	может жить	1	1
453	европы но	1	1
454	также в	2	1
455	у других	1	1
456	принадлежит не	1	1
457	культурные ценности	2	1
458	власти и	1	1
459	вопрос можно	1	1
460	русской действительности	1	1
461	культуры не	2	1
462	нужно признать	1	1
463	связь с	1	1
464	ни на	3	1
465	идеи о	2	1
466	независимо от	4	1
467	в европе	1	1
468	не сразу	1	1
469	по своему	7	1
470	сравнению с	2	1
471	эмпирической действительности	2	1
472	в той	5	1
473	плоти и	1	1
474	и единственно	1	1
475	о европе	1	1
476	духовной жизни	2	1
477	многих других	1	1
478	мыслится как	1	1
479	которые идут	1	1
480	этого слова	1	1
481	с этой	6	1
482	в культуре	3	1
483	культуры и	2	1
484	в силах	1	1
485	это можно	1	1
486	русской жизни	1	1
487	а к	1	1
488	когда он	3	1
489	сознания что	1	1
490	целый ряд	2	1
491	из себя	1	1
492	той или	4	1
493	мы должны	2	1
494	не знающие	1	1
495	более всего	1	1
496	в мировом	1	1
497	на такой	1	1
498	не допускает	1	1
499	между ними	2	1
500	с ней	1	1
501	к культуре	1	1
502	ничтожной и	1	1
503	ко всему	2	1
504	культуры в	4	1
505	сам в	1	1
506	в свое	1	1
507	на своем	3	1
508	в строе	2	1
509	приводит нас	2	1
510	это так	3	1
511	к этой	1	1
512	французская революция	2	1
513	как на	3	1
