N	2gram	Losev_Vesc_1	StatiiOP
306	данном месте	1	2
307	со всеми	1	2
308	из которого	1	2
309	конечно не	1	2
310	и у	3	2
311	уже в	1	2
312	свидетельствует о	3	2
313	если в	1	2
314	раз я	1	2
315	одно из	1	2
316	невозможно было	2	2
317	могло бы	1	2
318	допустим что	1	2
319	у него	2	2
320	даже и	4	2
321	бы это	1	2
322	самого же	1	2
323	или иначе	4	2
324	еще и	8	2
325	превращается в	1	2
326	одной стороны	3	2
327	однако и	1	2
328	по крайней	4	2
329	языка не	1	2
330	если не	3	2
331	стороны в	1	2
332	ни на	3	2
333	и потому	5	2
334	и их	7	2
335	а если	1	2
336	по существу	2	2
337	том смысле	1	2
338	в свое	2	2
339	не у	1	2
340	между прочим	3	2
341	точно и	1	2
342	и тогда	1	2
343	но для	2	2
344	что то	2	2
345	ли в	3	2
346	о котором	1	2
347	то не	4	2
348	в этих	1	2
349	хотя в	1	2
350	е в	7	2
351	несмотря на	1	2
352	сам в	1	2
353	в своих	1	2
354	можно назвать	1	2
355	в вопросе	1	1
356	позволю себе	1	1
357	можно говорить	2	1
358	чтобы не	1	1
359	должно стать	1	1
360	целых пять	1	1
361	случае есть	1	1
362	но тогда	3	1
363	и есть	26	1
364	кроме всего	1	1
365	почти не	1	1
366	и всем	4	1
367	чего не	2	1
368	сказано что	1	1
369	из его	2	1
370	что эти	1	1
371	от которых	1	1
372	едва ли	1	1
373	какими бы	1	1
374	в зависимости	1	1
375	и этот	2	1
376	если я	6	1
377	хотя сам	1	1
378	так чтобы	2	1
379	и такой	1	1
380	с но	2	1
381	как я	4	1
382	но даже	3	1
383	полной определенностью	1	1
384	зависимости от	1	1
385	что создает	1	1
386	д на	1	1
387	пребывания в	1	1
388	и самого	1	1
389	же нужно	1	1
390	на нем	1	1
391	в принципиальном	1	1
392	между собой	1	1
393	внимание и	1	1
394	это действительно	1	1
395	бы то	4	1
396	с его	1	1
397	вполне и	1	1
398	а только	3	1
399	нет не	1	1
400	только при	1	1
401	очевидно что	1	1
402	нужно быть	1	1
403	с собою	6	1
404	было а	1	1
405	нет и	1	1
406	в настоящем	2	1
407	результате этого	1	1
408	чем мы	3	1
409	настоящем смысле	1	1
410	стороны и	2	1
411	этой стороны	1	1
412	перед нами	2	1
413	кроме того	4	1
414	себе совершенно	1	1
415	хотя и	4	1
416	и понимания	2	1
417	я должен	4	1
418	это тоже	1	1
419	и к	1	1
420	для ее	2	1
421	или иную	2	1
422	важно для	1	1
423	себе как	2	1
424	а во-вторых	1	1
425	момент его	1	1
426	нельзя то	1	1
427	так в	1	1
428	но без	1	1
429	звуков а	1	1
430	бы только	1	1
431	и кто	2	1
432	от необходимости	1	1
433	если он	1	1
434	после всех	1	1
435	что каждая	1	1
436	не знать	2	1
437	одно целое	1	1
438	с именем	4	1
439	и вот	2	1
440	смысле как	1	1
441	такого же	1	1
442	могла бы	3	1
443	содержит в	4	1
444	которой говорят	1	1
445	это было	1	1
446	те или	4	1
447	е уже	1	1
448	и дает	1	1
449	всего прочего	5	1
450	только одно	2	1
451	говорить в	1	1
452	о которых	1	1
453	как общее	1	1
454	далеко не	1	1
455	с тем	5	1
456	кроме самого	1	1
457	во внимание	1	1
458	сейчас мы	1	1
459	в один	1	1
460	не больше	1	1
461	на себя	1	1
462	со всей	2	1
463	что значит	8	1
464	бы на	1	1
465	что такое	12	1
466	представить себе	1	1
467	нас не	1	1
468	не интересует	1	1
469	это только	1	1
470	разная степень	1	1
471	мы в	1	1
472	не столько	1	1
473	или вернее	1	1
474	от себя	1	1
475	что я	24	1
476	вовсе еще	1	1
477	мы теперь	1	1
478	когда и	2	1
479	две стороны	1	1
480	а есть	2	1
481	том чтобы	1	1
482	и эти	2	1
483	чтобы она	2	1
484	однако в	1	1
485	с такими	1	1
486	быть не	4	1
487	пока в	1	1
488	нет вообще	1	1
489	по себе	13	1
490	же мы	1	1
491	нас к	1	1
492	нет никакого	2	1
493	если и	1	1
494	и другое	4	1
495	тогда когда	5	1
496	одна из	5	1
497	в науке	1	1
498	и притом	3	1
499	почему я	1	1
500	я буду	1	1
501	чем та	1	1
502	но только	3	1
503	чем не	2	1
504	решительно никаких	1	1
505	в разных	4	1
506	никому не	1	1
507	только и	2	1
508	целое в	1	1
509	той колоссальной	1	1
510	е не	2	1
511	уже и	1	1
512	так то	3	1
513	и делает	2	1
514	более строго	1	1
515	больше того	4	1
516	ему не	1	1
517	не потому	6	1
518	сделать в	1	1
519	всех прочих	3	1
520	ни о	1	1
521	мы встречаем	1	1
522	в духе	1	1
523	когда мы	6	1
524	отличается от	7	1
525	одного слова	1	1
526	с полной	4	1
527	к тому	3	1
528	то ни	4	1
529	сделать хотя	1	1
530	трудом можно	1	1
531	как мы	4	1
532	и о	3	1
533	в виду	2	1
534	и говорить	1	1
535	на основе	1	1
536	еще почти	1	1
537	только то	2	1
538	вообще нет	1	1
539	со мною	2	1
540	нечто целое	2	1
541	и когда	4	1
542	то как	2	1
543	только тот	1	1
544	итак если	1	1
545	времени и	1	1
546	было в	1	1
547	мог бы	5	1
548	почему же	1	1
549	которые с	1	1
550	она была	2	1
551	можно только	4	1
552	ли и	1	1
553	но у	1	1
554	является в	2	1
555	в отдельном	1	1
556	хотя это	1	1
557	вот это	1	1
558	о ней	2	1
559	а нас	1	1
560	о нем	1	1
561	только так	1	1
562	не существовало	1	1
563	и возможно	2	1
564	кого не	1	1
565	но к	1	1
566	полноты что	1	1
567	язык и	1	1
568	отношении данной	1	1
569	можно сказать	6	1
570	и который	1	1
571	не просто	19	1
572	к истине	1	1
573	же образ	1	1
574	и всякая	1	1
575	я вообще	1	1
576	нуждается в	1	1
577	во всей	1	1
578	словами не	2	1
579	них в	1	1
580	кто в	1	1
581	в свете	7	1
582	еще только	1	1
583	самостоятельно и	1	1
584	психология и	1	1
585	в современной	1	1
586	но тот	1	1
587	что только	3	1
588	чем он	1	1
589	тот же	3	1
590	понимание этого	1	1
591	как нечто	2	1
592	бы ни	2	1
593	но то	2	1
594	i и	1	1
595	на мой	1	1
596	себя в	10	1
597	уже не	9	1
598	я имею	2	1
599	если мы	8	1
600	выражение для	1	1
601	странным и	1	1
602	его и	2	1
603	области в	1	1
604	ту или	2	1
605	не так	1	1
606	к чему-то	1	1
607	себе в	3	1
608	слова в	2	1
609	существуют в	1	1
610	в одном	2	1
611	сами по	3	1
612	и стремится	1	1
613	можно с	2	1
614	не о	1	1
615	естественно что	1	1
616	почему это	1	1
617	от того	3	1
618	где в	1	1
619	более для	1	1
620	или иной	1	1
621	на ее	3	1
622	не один	1	1
623	этого имени	1	1
624	из таких	1	1
625	чтобы я	1	1
626	но о	1	1
627	обратиться к	1	1
628	отношении есть	1	1
629	я позволю	1	1
630	не на	1	1
631	именно так	1	1
632	что нового	1	1
633	о чем	1	1
634	еще до	1	1
635	него не	1	1
636	бы совершенно	1	1
637	ближе к	1	1
638	в одно	1	1
639	и ему	1	1
640	это покрывается	1	1
641	но что	2	1
642	является его	1	1
643	вместе с	1	1
644	где эта	1	1
645	вопрос можно	1	1
646	в потенции	2	1
647	мы говорим	5	1
648	есть такое	1	1
649	в меру	1	1
650	что именно	1	1
651	из которых	1	1
652	чем то	2	1
653	оно существует	1	1
654	к самой	1	1
655	как чего-то	1	1
656	в течение	1	1
657	не заслуживает	1	1
658	на факты	1	1
659	что сначала	1	1
660	чтобы было	3	1
661	в это	1	1
662	все одинаково	1	1
663	это выражение	2	1
664	и новой	2	1
665	говорить что	3	1
666	в наше	1	1
667	отсюда что	1	1
668	каждой из	2	1
669	относиться к	1	1
670	указать на	1	1
671	факт что	1	1
672	от той	1	1
673	и от	3	1
674	к данной	2	1
675	или в	2	1
676	другое дело	1	1
677	которая в	1	1
678	тот кто	1	1
679	себя самого	2	1
680	это может	2	1
681	у них	1	1
682	но еще	3	1
683	той или	2	1
684	в третьем	1	1
685	бы в	5	1
686	вообще в	1	1
687	конце концов	2	1
688	я же	1	1
689	я в	2	1
690	смысле это	1	1
691	еще очень	1	1
692	слово в	2	1
693	с ней	2	1
694	то понимание	1	1
695	всего я	1	1
696	не быть	3	1
697	состоит из	1	1
698	от всех	4	1
699	к его	1	1
700	оно не	3	1
701	из этого	1	1
702	для большинства	1	1
703	не верить	1	1
704	большей частью	1	1
705	е для	1	1
706	и другие	1	1
707	к этому	1	1
708	смысле что	1	1
