N	2gram	Savitsky_P_1	DiskursI
137	них в	1	2
138	в различных	1	2
139	том числе	2	2
140	себя в	1	2
141	и есть	2	2
142	в ряду	2	2
143	на себя	1	2
144	в г	1	2
145	уже в	1	2
146	в каждом	1	2
147	в пределах	8	2
148	и по	1	2
149	более или	1	2
150	не есть	1	2
151	полной мере	2	1
152	в отдельности	1	1
153	входят в	1	1
154	может ли	2	1
155	одно и	1	1
156	было бы	6	1
157	вопрос о	1	1
158	в одно	1	1
159	говорить о	2	1
160	чем то	1	1
161	мы и	1	1
162	на то	1	1
163	оказывается в	1	1
164	было и	1	1
165	в определенную	2	1
166	не к	2	1
167	своего существования	1	1
168	следует понимать	1	1
169	в проблеме	2	1
170	большинстве случаев	1	1
171	и эти	1	1
172	историческом и	2	1
173	известном смысле	1	1
174	выступает в	1	1
175	исходить из	1	1
176	вслед за	3	1
177	случаях когда	1	1
178	в виде	2	1
179	общекультурное значение	2	1
180	при отсутствии	1	1
181	в большинстве	1	1
182	которая и	1	1
183	как раз	2	1
184	и теперь	1	1
185	тем чем	1	1
186	тем самым	3	1
187	что это	1	1
188	и весьма	2	1
189	в области	11	1
190	в смысле	6	1
191	только то	1	1
192	свидетельство о	1	1
193	наряду с	3	1
194	бы и	1	1
195	с тем	3	1
196	вопросом о	1	1
197	не одной	1	1
198	те же	1	1
199	или иным	1	1
200	что было	1	1
201	как учения	1	1
202	в напряжении	1	1
203	каждый из	1	1
204	культуры в	2	1
205	не входят	1	1
206	отношением к	1	1
207	например с	1	1
208	вместе с	1	1
209	этом смысле	1	1
210	в полной	2	1
211	к чему	2	1
212	особенно в	1	1
213	отношения в	1	1
214	ее собственных	1	1
215	и другие	1	1
216	в формах	1	1
217	не об	1	1
218	переход от	2	1
219	и главное	1	1
220	без которой	1	1
221	усомниться в	1	1
222	и других	2	1
223	в этих	1	1
224	сознания к	1	1
225	в россии	3	1
226	исключительно в	2	1
227	с точки	3	1
228	не имеет	1	1
229	в последующие	1	1
230	в современной	1	1
231	человеческого бытия	1	1
232	восходит к	1	1
233	развития в	1	1
234	поскольку мы	1	1
235	из этих	1	1
236	можно говорить	1	1
237	в творчестве	1	1
238	что его	1	1
239	если в	2	1
240	в прошлом	1	1
241	являются наиболее	1	1
242	и мы	2	1
243	мы должны	4	1
244	и вся	1	1
245	и чем	1	1
246	связаны с	1	1
247	не все	1	1
248	полноты и	1	1
249	да и	2	1
250	в смене	1	1
251	всяком случае	1	1
252	в жизни	2	1
253	в и	1	1
254	не столько	2	1
255	к более	1	1
256	в исторической	1	1
257	россии в	5	1
258	к сфере	1	1
259	культурной традиции	1	1
260	не о	2	1
261	подошел к	2	1
262	в философии	1	1
263	как таковые	1	1
264	явственно различимы	2	1
265	с ними	3	1
266	друг друга	1	1
267	и другим	1	1
268	традиции в	1	1
269	по преимуществу	1	1
270	не вполне	1	1
271	можно рассматривать	1	1
272	в которой	1	1
273	в иных	1	1
274	отношении к	5	1
275	в мире	2	1
276	мы можем	1	1
277	как известно	1	1
278	к истине	1	1
279	в результате	1	1
280	и притом	1	1
281	и само	1	1
282	именно здесь	1	1
283	в народе	1	1
284	xix веке	2	1
285	последующие века	1	1
286	тем более	2	1
287	живет в	1	1
288	в известном	1	1
289	для каждого	1	1
290	этих двух	1	1
291	помимо воли	1	1
292	в xix	2	1
293	определенный и	1	1
294	представляют собой	1	1
295	отчасти и	1	1
296	мы не	3	1
297	для них	2	1
298	в каком	1	1
299	в определенном	1	1
300	многие из	1	1
301	в основном	1	1
302	они едины	1	1
303	тому на	1	1
304	как возможность	1	1
305	знание в	1	1
306	тем же	1	1
307	и то	1	1
308	и более	1	1
309	религиозные и	1	1
310	и это	2	1
311	только на	1	1
312	из важнейших	2	1
313	все еще	1	1
314	мы все	1	1
315	если бы	4	1
316	который не	1	1
317	что во	1	1
318	мысль о	2	1
319	но также	4	1
320	своем значении	2	1
321	в отношениях	1	1
322	но для	1	1
323	в русской	4	1
324	к предмету	1	1
325	и при	1	1
