N	2gram	Tiupa_Hudo_1	Freidism
424	далеко не	1	1
425	оно все	1	1
426	что произведение	1	1
427	со своими	1	1
428	он и	1	1
429	и тоже	1	1
430	можно считать	1	1
431	не мог	1	1
432	на первый	1	1
433	таким же	1	1
434	и духовную	1	1
435	он должен	1	1
436	и без	1	1
437	участие в	2	1
438	имеется и	1	1
439	себе а	1	1
440	жизни с	1	1
441	из области	1	1
442	душу и	1	1
443	в одном	1	1
444	друг другу	1	1
445	есть именно	1	1
446	однако в	2	1
447	с такими	2	1
448	нас к	1	1
449	раз и	1	1
450	иной раз	1	1
451	между людьми	1	1
452	гораздо большей	1	1
453	человека есть	1	1
454	до известной	1	1
455	человека но	1	1
456	исчерпывается мы	1	1
457	друг друга	5	1
458	одну сторону	1	1
459	взглянуть на	1	1
460	о них	1	1
461	ним а	1	1
462	вопрос который	1	1
463	дело в	1	1
464	а во	1	1
465	или как	1	1
466	жизни каждого	1	1
467	образом он	1	1
468	и чувства	1	1
469	что на	2	1
470	похожи на	1	1
471	представляется нам	2	1
472	периода мы	1	1
473	за что	1	1
474	в поле	1	1
475	она же	1	1
476	уже на	1	1
477	на это	1	1
478	если же	1	1
479	о том	12	1
480	и это	4	1
481	и которая	1	1
482	приходит к	1	1
483	человеку в	1	1
484	но при	1	1
485	как по	2	1
486	далее к	1	1
487	в дальнейшем	1	1
488	и когда	3	1
489	в мире	3	1
490	по аналогии	1	1
491	на нее	1	1
492	времени и	1	1
493	ясно что	2	1
494	мог бы	1	1
495	на месте	1	1
496	в результате	2	1
497	жизни о	1	1
498	осведомленность и	1	1
499	его оно	1	1
500	жизнь и	1	1
501	остановимся на	2	1
502	только у	1	1
503	по теории	2	1
504	ничего не	8	1
505	означает что	1	1
506	находится в	1	1
507	все его	1	1
508	в широком	1	1
509	а также	3	1
510	внимание на	2	1
511	и та	1	1
512	говорит об	1	1
513	в сфере	1	1
514	но когда	1	1
515	там же	2	1
516	нет это	1	1
517	он берет	1	1
518	в которую	1	1
519	русской литературы	1	1
520	какие были	1	1
521	на одном	1	1
522	в форме	2	1
523	тотчас же	1	1
524	нем и	1	1
525	а его	2	1
526	путь и	1	1
527	слов и	1	1
528	у которого	1	1
529	в лице	3	1
530	именно ему	1	1
531	все зависит	1	1
532	но так	1	1
533	сна с	1	1
534	в двух	1	1
535	что можем	1	1
536	мы о	1	1
537	согласиться с	2	1
538	и быть	4	1
539	и так	2	1
540	поэтому и	2	1
541	не соответствует	1	1
542	есть в	1	1
543	решающее значение	1	1
544	говорить об	2	1
545	для других	2	1
546	то и	3	1
547	же из	1	1
548	второй главе	2	1
549	также и	1	1
550	за пределами	1	1
551	не принимает	1	1
552	легли в	1	1
553	по выражению	2	1
554	плана в	1	1
555	к содержанию	1	1
556	к своим	1	1
557	одно из	1	1
558	слова в	2	1
559	в землю	2	1
560	удивительного в	1	1
561	бытия и	4	1
562	никакого отношения	1	1
563	отдельного человека	1	1
564	как будто	4	1
565	тем что	3	1
566	него уже	2	1
567	к той	1	1
568	к элементарному	1	1
569	и только	1	1
570	длительные и	1	1
571	появилось новое	1	1
572	же деле	1	1
573	в другой	1	1
574	представляется в	1	1
575	даже не	1	1
576	как симптом	1	1
577	она в	3	1
578	на примере	1	1
579	нашей жизни	2	1
580	этот взгляд	1	1
581	на них	1	1
582	именно в	7	1
583	эти две	1	1
584	поэтому лишь	1	1
585	с той	2	1
586	себе сам	1	1
587	всякого человека	1	1
588	во внешней	1	1
589	к человеку	1	1
590	превращается в	3	1
591	самом же	1	1
592	и своего	1	1
593	так обстояло	1	1
594	однако и	3	1
595	существенно для	1	1
596	человек в	2	1
597	долгое время	1	1
598	отнюдь не	3	1
599	в слове	1	1
600	там где	1	1
601	или с	2	1
602	за нею	2	1
603	жизнь в	1	1
604	себя на	1	1
605	так называемых	1	1
606	является его	1	1
607	достоинства действительно	1	1
608	себе самому	3	1
609	из которых	1	1
610	к своему	2	1
611	жизни которые	1	1
612	двух людей	1	1
613	такого рода	3	1
614	и там	1	1
615	литературного произведения	1	1
616	в первой	6	1
617	и целостности	1	1
618	от раннего	1	1
619	реакции на	1	1
620	который он	1	1
621	они сами	1	1
622	быть не	1	1
623	в это	2	1
624	в контексте	1	1
625	бытия с	1	1
626	в гораздо	1	1
627	не будем	1	1
628	ближе к	2	1
629	в смысле	1	1
630	известной степени	1	1
631	не знаем	2	1
632	но на	1	1
633	или только	1	1
634	которого они	1	1
635	совершенно иной	2	1
636	ее и	1	1
637	души в	1	1
638	находит свое	1	1
639	бы в	1	1
640	тем более	1	1
641	мышления не	1	1
642	будто бы	3	1
643	с ужасом	1	1
644	я в	1	1
645	или не	3	1
646	же в	3	1
647	в том	12	1
648	к ее	1	1
649	может и	3	1
650	нет ничего	2	1
651	не похожи	1	1
652	о своем	1	1
653	сведения о	1	1
654	на смену	1	1
655	весь мир	1	1
656	их с	1	1
657	мы считаем	1	1
658	чем иным	1	1
659	из этого	1	1
660	который не	1	1
661	у толстого	1	1
662	самосознания и	1	1
663	это так	2	1
664	молодой человек	1	1
665	можно назвать	1	1
