N	2gram	Tiupa_Hudo_1	UchenyiS
162	вообще во	1	1
163	о нем	3	1
164	тех кто	2	1
165	приводит к	3	1
166	о том	12	1
167	в ней	4	1
168	и потому	2	1
169	героя не	1	1
170	только для	2	1
171	и что	2	1
172	она в	3	1
173	все его	1	1
174	из которых	1	1
175	в значительной	2	1
176	признать что	1	1
177	которых так	1	1
178	он будет	1	1
179	поднимается до	1	1
180	все в	1	1
181	словами как	1	1
182	впадая в	1	1
183	пишет в	1	1
184	отказ от	2	1
185	в данном	1	1
186	что же	2	1
187	бы в	1	1
188	переходит в	1	1
189	того что	4	1
190	друг другу	1	1
191	в которых	1	1
192	их в	1	1
193	друг с	1	1
194	художественного впечатления	1	1
195	на его	2	1
196	тому чтобы	1	1
197	что этот	1	1
198	нет и	1	1
199	на то	4	1
200	быть не	1	1
201	отнюдь не	3	1
202	она не	4	1
203	и существенным	1	1
204	еще раз	2	1
205	первый взгляд	1	1
206	данное время	1	1
207	его на	1	1
208	но тут	1	1
209	историческая поэтика	1	1
210	в своем	4	1
211	как нам	2	1
212	но для	1	1
213	и все	4	1
214	художественного восприятия	2	1
215	произведения а	1	1
216	у кого	1	1
217	тот же	1	1
218	путь и	1	1
219	более или	1	1
220	вообще по	1	1
221	частности с	1	1
222	верно и	1	1
223	себя на	1	1
224	всего лишь	4	1
225	он уже	4	1
226	по мнению	5	1
227	так много	1	1
228	в которой	1	1
229	о котором	2	1
230	не впадая	1	1
231	мыслей о	2	1
232	не было	4	1
233	так или	2	1
234	в данное	1	1
235	он в	1	1
236	с одной	1	1
237	в качестве	9	1
238	то о	2	1
239	но именно	1	1
240	тем более	1	1
241	литературы в	1	1
242	уже не	7	1
243	далеко не	1	1
244	но также	1	1
245	то и	3	1
246	же в	3	1
247	и всей	1	1
248	в нем	3	1
249	или даже	1	1
250	с другом	1	1
251	он не	4	1
252	о которой	1	1
253	сказать что	1	1
254	они в	2	1
255	впервые в	2	1
256	одно из	1	1
257	в первую	2	1
258	и так	2	1
259	данного произведения	1	1
260	ценность в	1	1
261	он и	1	1
262	что еще	1	1
263	мы полагаем	1	1
264	нем но	1	1
265	в свое	1	1
266	у толстого	1	1
267	время не	1	1
268	но он	3	1
269	работ в	1	1
270	у него	9	1
271	него уже	2	1
272	что нельзя	1	1
273	и эта	1	1
274	это в	3	1
275	что при	3	1
276	что в	6	1
277	в таком	3	1
278	все что	1	1
