N	2gram	Vinokur_Vv_1	OGranits
360	это конечно	1	1
361	должно служить	1	1
362	даже и	3	1
363	для того	21	1
364	в особенности	4	1
365	в чисто	4	1
366	должно составить	1	1
367	особенности в	1	1
368	от другой	3	1
369	его в	6	1
370	как к	1	1
371	с известным	1	1
372	материала к	1	1
373	искусства в	1	1
374	тем мы	1	1
375	которая как	2	1
376	своей науки	1	1
377	к которому	1	1
378	в предисловии	1	1
379	заключается в	4	1
380	между отдельными	1	1
381	ведь в	1	1
382	под заглавием	1	1
383	лежит в	2	1
384	слово но	1	1
385	что мы	2	1
386	обратиться к	1	1
387	отношений здесь	1	1
388	для них	1	1
389	нужно сказать	1	1
390	о которых	2	1
391	не было	1	1
392	она и	1	1
393	соприкасается с	1	1
394	которые не	1	1
395	все равно	1	1
396	он действительно	1	1
397	из наиболее	4	1
398	необходимость в	1	1
399	не всегда	1	1
400	он и	2	1
401	все время	1	1
402	уже у	1	1
403	долгое время	1	1
404	существует то	1	1
405	систему и	1	1
406	должно быть	2	1
407	автора и	1	1
408	здесь вопроса	1	1
409	и тогда	3	1
410	историей не	1	1
411	дифференциации и	1	1
412	если не	1	1
413	момента в	2	1
414	одно дело	2	1
415	но если	3	1
416	внимания к	1	1
417	что раньше	1	1
418	и особенно	1	1
419	к истории	6	1
420	в такой	1	1
421	как это	5	1
422	путь от	2	1
423	существует как	1	1
424	что всякий	1	1
425	напр в	1	1
426	о возможности	1	1
427	представление о	1	1
428	установлен самый	1	1
429	между языком	2	1
430	в отличие	3	1
431	в которых	6	1
432	мысли и	2	1
433	предисловии к	1	1
434	и создавать	1	1
435	она есть	5	1
436	к этому	3	1
437	такого рода	2	1
438	должно было	1	1
439	тому как	1	1
440	и вот	3	1
441	возможна ли	1	1
442	тем не	8	1
443	в эпоху	1	1
444	такие явления	1	1
445	и более	1	1
446	в ряду	1	1
447	своего времени	1	1
448	ее мы	1	1
449	его учеников	1	1
450	и наоборот	2	1
451	отношениями между	1	1
452	быть не	1	1
453	не создает	1	1
454	это особенно	1	1
455	памятник в	4	1
456	этого слова	2	1
457	что такое	10	1
458	только то	1	1
459	тому что	2	1
460	заключаться в	1	1
461	нет никакого	1	1
462	быть и	2	1
463	письма к	1	1
464	до конца	3	1
465	литературы как	1	1
466	но это	1	1
467	о теории	1	1
468	xvii-xviii вв	1	1
469	в начале	3	1
470	истории и	4	1
471	была создана	1	1
472	в то	5	1
473	как о	4	1
474	мысли в	1	1
475	в достаточной	1	1
476	например у	1	1
477	уже из	1	1
478	одна из	2	1
479	к новым	1	1
480	тех или	3	1
481	которых он	1	1
482	именно этого	1	1
483	ними и	1	1
484	того чтобы	21	1
485	своих основных	1	1
486	в самых	1	1
487	само по	3	1
488	на почву	2	1
489	и изучение	3	1
490	и чем	1	1
491	не существует	2	1
492	в разных	5	1
493	и становится	1	1
494	или в	1	1
495	художественного образа	1	1
496	того как	3	1
497	в самой	1	1
498	находятся в	2	1
499	же время	5	1
500	лишь как	2	1
501	или как	3	1
502	находит свое	1	1
503	тем более	2	1
504	вообще в	2	1
505	за исключением	1	1
506	с понятием	3	1
507	а лишь	1	1
508	только что	4	1
509	нужна для	1	1
510	потому что	14	1
511	связи с	3	1
512	что вообще	1	1
513	до того	2	1
514	и стилистические	1	1
515	в системе	1	1
516	этом отношении	3	1
517	их по	1	1
518	не вполне	4	1
519	об этом	5	1
520	чем сложнее	1	1
521	языка в	4	1
522	сказать что	5	1
523	среди них	1	1
524	между словами	1	1
525	в задачу	1	1
526	впервые в	1	1
527	связей и	1	1
528	он называет	1	1
529	работы и	1	1
530	все то	1	1
531	понимается как	1	1
532	и именно	12	1
533	типа и	1	1
534	и часто	1	1
535	когда мы	2	1
536	языке и	1	1
537	греции и	3	1
538	только о	2	1
539	в совокупности	2	1
540	произведения и	2	1
541	же самое	2	1
542	должны быть	1	1
543	всего в	1	1
544	вместе с	6	1
545	язык во	1	1
546	этого и	1	1
547	же только	2	1
548	к речи	1	1
549	например в	2	1
550	в технике	1	1
551	по поводу	1	1
552	что при	1	1
553	как некая	1	1
554	этой точки	1	1
555	они не	1	1
