N	2gram	Medvedev_V_1	OGranits
460	поэта как	2	1
461	которых он	1	1
462	речь может	1	1
463	связанная с	1	1
464	именно этого	2	1
465	того чтобы	3	1
466	мышления в	2	1
467	в самых	2	1
468	и изучение	1	1
469	иметь в	2	1
470	формы и	2	1
471	однако если	1	1
472	стадиях своего	1	1
473	связанный с	1	1
474	или в	3	1
475	на одном	1	1
476	художественного образа	1	1
477	того как	1	1
478	в самой	1	1
479	ее и	1	1
480	у некоторых	2	1
481	же время	5	1
482	или как	1	1
483	в основе	1	1
484	наблюдения над	1	1
485	находит свое	1	1
486	сложность и	1	1
487	произведение являющееся	1	1
488	от него	1	1
489	только что	4	1
490	потому что	1	1
491	являются материальными	1	1
492	связи с	4	1
493	еще платон	1	1
494	сложную систему	1	1
495	в системе	2	1
496	этом отношении	13	1
497	не вполне	2	1
498	об этом	9	1
499	его точки	1	1
500	та или	1	1
501	сказать что	5	1
502	видим у	1	1
503	равно как	4	1
504	все то	1	1
505	ли не	2	1
506	с его	3	1
507	только о	2	1
508	в совокупности	1	1
509	произведения и	7	1
510	же самое	2	1
511	должны быть	2	1
512	вместе с	7	1
513	которая уже	1	1
514	например в	3	1
515	по поводу	2	1
516	что при	2	1
517	этой точки	2	1
518	они не	2	1
