N	2gram	Medvedev_V_1	VrazhdaK
102	мая года	2	2
103	ноябре года	1	2
104	при создании	3	2
105	в этой	4	2
106	в себе	6	2
107	время и	1	2
108	после этого	2	2
109	в нашей	4	2
110	их в	6	2
111	таким образом	31	2
112	в них	4	2
113	мы знаем	3	2
114	во время	3	2
115	точки зрения	3	2
116	отцы и	1	2
117	в своей	4	2
118	и ее	4	2
119	о романе	1	2
120	письмо к	1	2
121	не менее	2	2
122	том же	6	2
123	одна из	4	2
124	никогда не	4	2
125	п в	3	2
126	на это	2	2
127	и это	1	2
128	же не	1	2
129	на основе	5	2
130	в в	1	2
131	еще не	2	2
132	а также	1	2
133	и образы	3	2
134	об их	1	2
135	с нею	2	2
136	уже не	1	2
137	при помощи	3	2
138	из них	9	2
139	его и	1	2
140	для него	8	2
141	отношение к	1	2
142	к ним	1	2
143	как раз	3	2
144	как же	1	2
145	о чем	2	2
146	эти годы	1	2
147	начиная с	2	2
148	деталей и	1	2
149	не может	17	2
150	вместе с	7	2
151	в него	1	2
152	в ноябре	1	2
153	но это	1	2
154	о достоевском	1	2
155	письме от	5	2
156	же в	6	2
157	а в	3	2
158	а н	1	2
159	личность и	1	2
160	в свою	1	2
161	это в	1	2
162	а между	1	1
163	как известно	2	1
164	вряд ли	1	1
165	можно говорить	1	1
166	этого в	1	1
167	также и	2	1
168	у гоголя	1	1
169	человека и	3	1
170	н ф	2	1
171	это и	6	1
172	и есть	5	1
173	уже по	2	1
174	в их	5	1
175	по его	2	1
176	говорит достоевский	1	1
177	что прототипом	1	1
178	именно к	1	1
179	не слишком	1	1
180	начинается с	1	1
181	еще до	1	1
182	равно как	4	1
183	говорить о	2	1
184	что характер	1	1
185	разобраться в	2	1
186	писал фету	1	1
187	это время	1	1
188	а другие	1	1
189	собой в	1	1
190	одном из	3	1
191	содержания в	1	1
192	служит для	1	1
193	по своему	1	1
194	но не	2	1
195	в наброске	3	1
196	же на	1	1
197	не все	1	1
198	если в	2	1
199	каком направлении	1	1
200	некоторые черты	1	1
201	что они	3	1
202	ли эта	1	1
203	к сожалению	2	1
204	как говорит	5	1
205	как в	1	1
206	с этим	3	1
207	социальный тип	1	1
208	только об	1	1
209	что ее	1	1
210	и наконец	2	1
211	не являются	1	1
212	эту проблему	1	1
213	роль играет	1	1
214	то в	1	1
215	писал я	1	1
216	в самом	4	1
217	к страхову	1	1
218	мы получаем	1	1
219	в целом	4	1
220	не был	1	1
221	за это	1	1
222	только два	1	1
223	рассказ о	1	1
224	тому же	1	1
225	но ведь	1	1
226	как он	2	1
227	он всегда	1	1
228	да и	1	1
229	всех этих	2	1
230	в силу	11	1
231	этот процесс	2	1
232	сказал что	1	1
233	в плане	5	1
234	из него	1	1
235	что ни	2	1
236	и этот	2	1
237	одно и	1	1
238	общественное положение	1	1
239	их и	4	1
240	тургенев писал	2	1
241	говорить не	3	1
242	это было	1	1
243	заключается в	2	1
244	августа года	1	1
245	года на	1	1
246	было бы	7	1
247	в итоге	1	1
248	в жизни	2	1
249	соответствии с	1	1
250	писал о	1	1
251	этого не	1	1
252	не всегда	1	1
253	которой он	1	1
254	он и	2	1
255	в анненкова	1	1
256	года и	2	1
257	может идти	1	1
258	художник как	2	1
259	в этих	1	1
260	или вообще	1	1
261	и их	3	1
262	всяком случае	1	1
263	впечатлений и	1	1
264	этому же	1	1
265	на свою	1	1
266	ряда других	1	1
267	по крайней	2	1
268	что этот	1	1
269	не должна	1	1
270	связь этого	1	1
271	а вот	2	1
272	портретность персонажей	1	1
273	вплоть до	2	1
274	что эта	1	1
275	и гончарова	1	1
276	не имеет	1	1
277	даже во	1	1
278	в процессе	16	1
279	как о	2	1
280	также что	2	1
281	общественный деятель	1	1
282	только не	2	1
283	писателя с	1	1
284	нельзя не	1	1
285	того как	1	1
286	это то	1	1
287	вне его	2	1
288	пробивается к	2	1
289	в другую	2	1
290	текста к	1	1
291	потому что	1	1
292	свою мать	1	1
293	что самые	1	1
294	этом отношении	13	1
295	в каком	1	1
296	ли это	2	1
297	к идиоту	1	1
298	тем это	1	1
299	один раз	1	1
300	в духе	1	1
301	могут быть	5	1
302	ли не	2	1
303	отличается от	2	1
304	же говорил	1	1
305	время сна	1	1
306	ничего общего	1	1
307	с ее	1	1
308	свою очередь	1	1
309	у чехова	1	1
310	в ее	4	1
311	не могло	1	1
312	то время	1	1
313	роль в	4	1
314	художником и	1	1
315	и сам	1	1
316	так и	5	1
317	было в	2	1
318	списан с	1	1
319	еще в	1	1
320	том как	3	1
321	перед сном	1	1
322	но у	1	1
323	жизнь и	1	1
324	короче говоря	1	1
325	писал п	1	1
326	во всяком	1	1
327	мертвые души	1	1
328	анекдота о	1	1
329	художественные произведения	1	1
330	до сих	1	1
331	затем в	1	1
332	по воспоминаниям	2	1
333	июня года	1	1
334	доходит до	1	1
335	во всех	6	1
336	от них	2	1
337	во всей	2	1
338	в форме	3	1
339	крайней мере	2	1
340	все основания	1	1
341	вслед за	2	1
342	творческой фантазии	1	1
343	романа в	1	1
344	в свете	1	1
345	если это	1	1
346	и самые	1	1
347	этом смысле	1	1
348	один из	5	1
349	но с	2	1
350	писал достоевскому	1	1
351	романа и	1	1
352	он просил	1	1
353	известном письме	1	1
354	и кончая	1	1
355	в качестве	11	1
356	своем дневнике	1	1
357	мы бы	1	1
358	и явно	1	1
359	целого ряда	2	1
360	хотя в	1	1
361	что для	3	1
362	говорит о	7	1
363	в известной	1	1
364	в одном	4	1
365	для правильного	1	1
366	друг друга	1	1
367	каждый из	1	1
368	от апреля	2	1
369	и никогда	1	1
370	от того	2	1
371	ф м	1	1
372	десять лет	1	1
373	в особенности	2	1
374	и речи	1	1
375	что пишет	2	1
376	о своей	1	1
377	так не	1	1
378	и из	1	1
379	с другой	11	1
380	именно в	2	1
381	что тот	1	1
382	труд и	1	1
383	прежде всего	13	1
384	в соответствии	1	1
385	на этот	1	1
386	целым рядом	1	1
387	и самый	1	1
388	в ту	1	1
389	некоторых его	1	1
390	обычно не	1	1
391	что из	1	1
392	не об	2	1
393	нет ничего	1	1
394	в частности	11	1
395	него в	3	1
396	из которых	2	1
397	без труда	1	1
398	этого типа	3	1
399	по которой	1	1
400	того что	3	1
401	с очень	1	1
402	еще к	1	1
403	еще раз	1	1
404	сих пор	1	1
405	в основном	5	1
406	между прочим	2	1
407	романа с	1	1
408	об одном	1	1
409	но для	2	1
410	внутреннюю логику	2	1
411	и общим	1	1
412	которых он	1	1
413	нем можно	1	1
414	и от	3	1
415	но на	1	1
416	я всегда	1	1
417	такое понимание	2	1
418	о котором	1	1
419	это как	1	1
420	работы над	5	1
421	хотя и	2	1
422	ее и	1	1
423	у некоторых	2	1
424	бы в	3	1
425	еще более	1	1
426	у которого	1	1
427	конце концов	2	1
428	только что	4	1
429	но вот	1	1
430	а о	2	1
431	о своем	2	1
432	быть и	1	1
433	другой стороны	8	1
434	о творчестве	2	1
435	его произведений	2	1
436	бы его	1	1
437	только о	2	1
438	от мая	2	1
439	жизни и	3	1
440	к этой	1	1
441	от марта	2	1
442	пяти лет	1	1
443	во сне	21	1
444	как на	3	1
445	в таком	1	1
446	образа его	1	1
447	они не	2	1
