N	2gram	Vinokur_St_1	Poddanst
161	точное воспроизведение	2	1
162	очень далеко	1	1
163	еще в	1	1
164	законченные и	1	1
165	бы что	2	1
166	в эпоху	2	1
167	для этого	2	1
168	тьма в	1	1
169	на себя	1	1
170	почти исключительно	1	1
171	непременно и	1	1
172	вопроса и	1	1
173	подчеркнуть что	2	1
174	может не	2	1
175	не означает	1	1
176	настоящее время	1	1
177	на пространстве	1	1
178	и что	4	1
179	литературы и	2	1
180	притом в	1	1
181	еще не	3	1
182	были бы	1	1
183	и на	1	1
184	он был	3	1
185	с того	1	1
186	и который	1	1
187	ч в	1	1
188	ответа на	2	1
189	с его	1	1
190	бы она	1	1
191	к истине	1	1
192	не все	3	1
193	что и	6	1
194	не просто	1	1
195	них в	1	1
196	факты в	1	1
197	о положении	1	1
198	также в	2	1
199	в истории	3	1
200	которой в	1	1
201	что во	2	1
202	судить по	1	1
203	в современной	1	1
204	такова же	1	1
205	все же	8	1
206	и критика	2	1
207	в какой	3	1
208	должен быть	3	1
209	в самом	7	1
210	только то	1	1
211	но как	1	1
212	в которой	4	1
213	бы и	4	1
214	что это	4	1
215	чуть ли	2	1
216	у каждого	1	1
217	из этих	6	1
218	если мы	1	1
219	именно на	1	1
220	себя в	1	1
221	в известном	1	1
222	под его	1	1
223	оказывается в	2	1
224	что его	1	1
225	уже в	2	1
226	во многих	3	1
227	xviii и	1	1
228	на то	4	1
229	если он	1	1
230	но на	2	1
231	в наших	2	1
232	не могла	2	1
233	т д	21	1
234	одно из	2	1
235	не как	1	1
236	очень и	1	1
237	наших глазах	2	1
238	что каждая	1	1
239	к ним	1	1
240	чтобы в	1	1
241	и только	3	1
242	какой бы	1	1
243	каждый из	1	1
244	при отсутствии	1	1
245	и по	5	1
246	бы это	2	1
247	в каждом	3	1
248	связанные с	3	1
249	из двух	3	1
250	без того	1	1
251	в число	1	1
252	не были	1	1
253	возможно что	3	1
254	или иной	1	1
255	ясно что	10	1
256	его в	2	1
257	и тех	1	1
258	а с	3	1
259	были в	1	1
260	что не	3	1
261	в это	1	1
262	в ином	1	1
263	по всему	1	1
264	обратиться к	1	1
265	них и	1	1
266	далеко не	1	1
267	в этой	11	1
268	на основании	1	1
269	но каждый	1	1
270	как и	9	1
271	и уже	2	1
272	в свете	1	1
273	и я	3	1
274	в развитии	1	1
275	нисколько не	2	1
276	когда в	1	1
277	в одно	1	1
278	должна была	4	1
279	бы оно	1	1
280	и при	1	1
281	работы в	3	1
282	величайшим трудом	1	1
283	так же	5	1
284	усомниться в	1	1
285	представить себе	1	1
286	всяком случае	6	1
287	недостаточно для	1	1
288	многих случаях	2	1
289	того чем	1	1
290	что именно	1	1
291	место в	1	1
292	важнее всего	1	1
293	всей полноте	1	1
294	бы мы	2	1
295	в данном	14	1
296	вопрос о	4	1
297	когда и	1	1
298	верить что	1	1
299	можно говорить	1	1
300	что было	1	1
301	и эти	1	1
302	как к	3	1
303	и более	2	1
304	в прошлом	1	1
305	там где	5	1
306	и наоборот	1	1
307	с величайшим	1	1
308	ни были	2	1
309	xix в	5	1
310	и очень	4	1
311	этой области	5	1
312	нет никакого	1	1
313	и другим	1	1
314	чем то	1	1
315	стремление к	3	1
316	что эта	2	1
317	лиц и	1	1
318	она не	2	1
319	что с	2	1
320	но для	2	1
321	более раннего	1	1
322	и философской	1	1
323	тогда когда	1	1
324	этом смысле	1	1
325	г а	1	1
326	случаях когда	1	1
327	того чтобы	11	1
328	вообще можно	1	1
329	не имеет	4	1
330	вполне и	1	1
331	никогда не	5	1
332	наука и	1	1
333	в результате	3	1
334	казалось бы	1	1
335	о котором	2	1
336	в настоящее	1	1
337	или иным	3	1
338	что называют	1	1
339	этих двух	3	1
340	они являются	1	1
341	иными словами	1	1
342	и притом	1	1
343	где уже	1	1
344	более что	2	1
345	что по	1	1
346	в наши	1	1
347	в г	3	1
348	другой стороны	7	1
349	пусть в	1	1
350	последующих годов	1	1
351	в этих	2	1
352	в случаях	1	1
353	чем как	1	1
354	всеми его	1	1
355	в каком	3	1
356	конечно и	3	1
357	половины xix	1	1
358	в момент	1	1
359	в иной	1	1
360	относиться к	1	1
361	что все	2	1
362	этом не	1	1
363	ли не	2	1
364	в других	2	1
365	не верить	1	1
366	числе и	2	1
367	что то	2	1
368	что оно	3	1
369	к сожалению	3	1
370	всего что	1	1
371	ни на	2	1
372	котором говорит	1	1
373	и другие	1	1
374	вместе с	1	1
375	это в	4	1
376	что от	2	1
377	никакого сомнения	3	1
378	что при	2	1
379	который не	2	1
380	во всяком	6	1
381	они не	1	1
382	гораздо более	4	1
