N	2gram	Tiupa_Disk_2	Formalny
113	известной степени	1	4
114	оно не	1	4
115	к этому	4	4
116	например в	3	3
117	же как	2	3
118	и сюжет	1	3
119	и до	1	3
120	мы не	1	3
121	общения в	1	3
122	и на	5	3
123	в сюжете	1	3
124	если в	1	3
125	однако не	1	3
126	хотя и	1	3
127	звук в	1	3
128	и как	3	3
129	смыслом а	1	3
130	в целом	2	3
131	из этих	3	3
132	роль в	4	3
133	только на	1	3
134	так сказать	1	3
135	время и	1	3
136	но именно	1	3
137	значительной степени	1	3
138	и может	3	3
139	его в	3	3
140	в художественную	1	3
141	такой же	2	3
142	место в	2	3
143	развитие литературы	1	3
144	до известной	1	3
145	не является	4	3
146	в области	2	3
147	но все	1	3
148	его с	1	3
149	не есть	1	3
150	так в	1	3
151	все дело	1	3
152	и здесь	1	3
153	одного из	4	3
154	в значительной	1	3
155	должно было	1	3
156	того что	1	3
157	в какой	1	3
158	большинстве случаев	1	3
159	и их	1	3
160	каждый из	1	3
161	с другой	5	3
162	а о	1	3
163	и прежде	2	3
164	и др	1	3
165	не то	1	3
166	речи и	1	3
167	о возможности	1	3
168	быть и	1	3
169	все это	2	3
170	и все	3	3
171	жизни и	3	3
172	формы и	1	2
173	можно говорить	1	2
174	в такой	1	2
175	и то	4	2
176	идет о	2	2
177	к другому	1	2
178	его не	1	2
179	по аналогии	1	2
180	не была	1	2
181	совпадает с	2	2
182	они были	1	2
183	этого термина	1	2
184	это время	1	2
185	он был	1	2
186	столь же	3	2
187	но не	7	2
188	отношение к	2	2
189	отличие от	12	2
190	ни одна	1	2
191	речи именно	1	2
192	в одной	1	2
193	перед нами	3	2
194	то в	1	2
195	со своей	1	2
196	в которой	1	2
197	в поэтике	1	2
198	же это	1	2
199	состоит в	16	2
200	не к	2	2
201	и более	1	2
202	на этом	1	2
203	то ни	1	2
204	для нее	1	2
205	и иных	1	2
206	ни в	7	2
207	должно быть	2	2
208	том что	10	2
209	на первый	2	2
210	в этих	3	2
211	во второй	1	2
212	установка на	1	2
213	в отличие	12	2
214	их в	2	2
215	произведения в	1	2
216	для этого	1	2
217	даже в	1	2
218	она не	1	2
219	самого рассказа	2	2
220	период своего	1	2
221	тем самым	6	2
222	с теми	1	2
223	самого начала	1	2
224	никогда не	2	2
225	на язык	1	2
226	как она	1	2
227	точке зрения	1	2
228	всего в	1	2
229	что на	2	2
230	и это	2	2
231	в ее	1	2
232	в в	1	2
233	и от	1	2
234	с самого	1	2
235	приводит к	3	2
236	времени и	2	2
237	было в	3	2
238	мы в	1	2
239	в эпоху	1	2
240	с ним	1	2
241	произведения как	2	2
242	в применении	1	2
243	между тем	2	2
244	это не	3	2
245	и всякое	2	2
246	один из	1	2
247	потому что	4	2
248	в качестве	16	2
249	же и	1	2
250	является не	2	2
251	в котором	3	2
252	общения и	2	2
253	не просто	1	2
254	понятия в	1	2
255	со стороны	10	2
256	между ними	1	2
257	превращается в	1	2
258	до конца	1	2
259	его как	1	2
260	к его	4	2
261	как это	1	2
262	в той	2	2
263	перехода от	1	2
264	применении к	1	2
265	из этого	1	2
266	является для	1	2
267	но это	3	2
268	в чем	1	2
269	к другим	1	2
270	должна была	1	2
271	а к	2	2
272	совершенно иной	1	2
273	слово в	1	2
274	сказать что	1	2
275	поэзии как	1	2
276	равно как	1	2
277	системы а	1	2
278	ее в	1	2
279	в искусстве	1	2
280	которых не	2	1
281	того же	2	1
282	изображения и	1	1
283	на деле	1	1
284	слова эта	1	1
285	проникает в	1	1
286	к созданию	1	1
287	поэзии и	1	1
288	той же	2	1
289	всей ее	1	1
290	есть не	1	1
291	и была	1	1
292	на материале	1	1
293	мы имеем	2	1
294	и само	1	1
295	этом не	1	1
296	высказывания в	1	1
297	целого это	1	1
298	но она	3	1
299	не вполне	1	1
300	из того	1	1
301	но даже	1	1
302	становится объектом	1	1
303	и со	1	1
304	для литературы	1	1
305	из ее	1	1
306	в ранний	2	1
307	на их	1	1
308	время в	2	1
309	бы то	1	1
310	прозы не	1	1
311	события в	1	1
312	общих чертах	2	1
313	привели к	1	1
314	иного рода	1	1
315	образа из	1	1
316	чем это	1	1
317	отказ от	1	1
318	точка зрения	1	1
319	произведение не	1	1
320	некоторых жанровых	1	1
321	роман якобсон	1	1
322	оказывается не	2	1
323	в своем	5	1
324	в одних	1	1
325	высказывания это	1	1
326	и есть	1	1
327	для поэтической	1	1
328	собственно и	2	1
329	в круг	1	1
330	в этот	1	1
331	знаменательно что	1	1
332	в нашем	1	1
333	бы не	1	1
334	с их	2	1
335	им в	1	1
336	но на	1	1
337	роли в	1	1
338	из темницы	1	1
339	задний план	1	1
340	тем не	1	1
341	и еще	1	1
342	он должен	1	1
343	в принципе	2	1
344	к одному	1	1
345	речи в	2	1
346	из виду	3	1
347	характерное для	1	1
348	и выражения	1	1
349	дистанции между	1	1
350	именно это	1	1
351	мы его	1	1
352	же касается	2	1
353	в другом	3	1
354	а их	1	1
355	сообщение о	1	1
356	не совпадает	1	1
357	здесь это	1	1
358	из первых	1	1
359	в них	3	1
360	случае мы	1	1
361	первые два	1	1
362	и вне	1	1
363	в данном	7	1
364	как целого	1	1
365	ведет к	3	1
366	об особом	1	1
367	можно только	1	1
368	в лирической	1	1
369	но если	1	1
370	при изучении	1	1
371	нас не	1	1
372	между романом	1	1
373	однако они	1	1
374	если можно	1	1
375	дальнейшее развитие	1	1
376	вопрос о	1	1
377	строго говоря	1	1
378	однако от	1	1
379	по тынянову	1	1
380	по крайней	1	1
381	не должно	1	1
382	не для	1	1
383	рода в	1	1
384	не менее	7	1
385	но они	1	1
386	мышления и	1	1
387	дело в	2	1
388	к этим	1	1
389	на него	1	1
390	и художественный	1	1
391	бытия и	2	1
392	и именно	1	1
393	и имеет	1	1
394	о них	1	1
395	чем не	2	1
396	это еще	2	1
397	например не	1	1
398	высказываний с	1	1
399	предполагается в	1	1
400	ориентация на	1	1
401	таким путем	1	1
402	преимущественно на	1	1
403	к ней	1	1
404	базируется на	2	1
405	во всем	1	1
406	с читателем	3	1
407	далеко не	2	1
408	качестве а	1	1
409	как будто	3	1
410	и несколько	1	1
411	одним из	1	1
412	события но	1	1
413	настоящего времени	1	1
414	уже о	1	1
415	апелляции к	1	1
416	и другой	1	1
417	отличается от	1	1
418	только еще	1	1
419	на читателя	1	1
420	так называемого	1	1
421	различных типов	1	1
422	той или	3	1
423	должен быть	1	1
424	для себя	2	1
425	самого по	1	1
426	и образ	1	1
427	но при	2	1
428	говоря уже	1	1
429	данном случае	6	1
430	в собственном	1	1
431	характер и	1	1
432	то чтобы	1	1
433	относятся не	1	1
434	только то	1	1
435	во главе	1	1
436	на свой	1	1
437	для поэтики	1	1
438	читателя в	1	1
439	обращаясь к	1	1
440	например о	1	1
441	и сам	1	1
442	этот период	1	1
443	она была	1	1
444	в общих	1	1
445	ней и	1	1
446	можно сказать	3	1
447	для превращения	1	1
448	другому в	1	1
449	является по	1	1
450	о том	4	1
451	поэтических высказываний	1	1
452	с одной	4	1
453	аналогии с	1	1
454	относя его	1	1
455	и во	1	1
456	всего на	1	1
457	высказывания которые	1	1
458	в форме	1	1
459	крайней мере	1	1
460	и ни	1	1
461	слов и	1	1
462	перестал бы	1	1
463	и следовательно	1	1
464	может иметь	2	1
465	следует однако	1	1
466	не зная	1	1
467	как объект	1	1
468	в современной	1	1
469	существенная роль	1	1
470	такая же	1	1
471	в себе	19	1
472	не ведет	1	1
473	к их	2	1
474	и так	1	1
475	фразы как	1	1
476	сторону от	1	1
477	поэтому и	1	1
478	в литературу	1	1
479	и поэтическое	1	1
480	от них	1	1
481	так что	1	1
482	для всех	1	1
483	героя с	1	1
484	мог стать	1	1
485	связывается с	1	1
486	в прозе	1	1
487	содержание и	1	1
488	и оценки	1	1
489	непосредственно на	1	1
490	это по	1	1
491	этого понятия	1	1
492	не обладает	1	1
493	но из	1	1
494	рассказа не	2	1
495	момент в	2	1
496	и продуктивных	1	1
497	точек зрения	1	1
498	случая и	2	1
499	всех основных	1	1
500	за пределы	1	1
501	здесь в	3	1
502	исторической роли	1	1
503	имеет место	1	1
504	ранний период	2	1
505	что будет	2	1
506	этом слово	1	1
507	установку на	2	1
508	на этот	1	1
509	а сам	2	1
510	стремится к	2	1
511	не на	2	1
512	позиции в	1	1
513	было ему	1	1
514	ведь для	1	1
515	что из	1	1
516	заключали в	1	1
517	ближе к	1	1
518	художественного целого	4	1
519	почву для	1	1
520	по мысли	6	1
521	всем что	1	1
522	требует от	1	1
523	к своему	2	1
524	о чем	2	1
525	одной стороны	4	1
526	для обозначения	1	1
527	такого рода	9	1
528	аналогичное значение	1	1
529	типа как	1	1
530	и там	1	1
531	да и	1	1
532	в контексте	3	1
533	этом случае	2	1
534	в условиях	1	1
535	той мере	1	1
536	рассказа как	4	1
537	как система	1	1
538	но для	1	1
539	виду что	1	1
540	просто как	1	1
541	в книге	1	1
542	лишь его	1	1
543	такова внутренняя	1	1
544	в пределе	3	1
545	в индивидуальном	1	1
546	о нем	1	1
547	уже как	2	1
548	в поэтических	1	1
549	особого рода	1	1
550	несмотря на	1	1
551	к историческому	1	1
552	или не	1	1
553	же в	1	1
554	хотя в	1	1
555	не дает	1	1
556	его произведениях	1	1
557	к самому	1	1
558	одной из	1	1
559	как явления	1	1
560	не говоря	1	1
561	жизни а	3	1
562	можно утверждать	1	1
563	мере в	1	1
564	только о	1	1
565	значение не	2	1
566	героя в	5	1
567	можно назвать	4	1
568	как на	3	1
569	в своих	6	1
570	свойства в	1	1
571	русской литературы	1	1
572	которая не	1	1
