N	2gram	Berdyaev_M_1	Analitik
248	и по	4	1
249	конца и	1	1
250	человека в	13	1
251	в каждом	1	1
252	об этом	1	1
253	он ничего	1	1
254	из самой	1	1
255	в глубине	8	1
256	первый и	1	1
257	входит в	2	1
258	заключается в	1	1
259	это не	5	1
260	не совпадает	1	1
261	в жизни	3	1
262	в ином	2	1
263	только одно	3	1
264	в них	4	1
265	которой он	1	1
266	всегда и	1	1
267	ведет к	6	1
268	нисколько не	1	1
269	в понимании	1	1
270	но если	3	1
271	почти нет	1	1
272	этой связи	1	1
273	в такой	1	1
274	жизнь и	1	1
275	прийти к	2	1
276	что я	1	1
277	и уж	2	1
278	вплоть до	1	1
279	обнаруживается в	1	1
280	свободы как	2	1
281	мук и	1	1
282	обращение к	1	1
283	и эти	1	1
284	и более	1	1
285	бы но	1	1
286	зрения и	1	1
287	и вся	1	1
288	было с	2	1
289	к мировому	1	1
290	себе такова	1	1
291	мира не	3	1
292	хотелось бы	1	1
293	зрения герои	1	1
294	это еще	1	1
295	он экспериментирует	1	1
296	в разных	1	1
297	только и	3	1
298	жизни не	1	1
299	такова что	1	1
300	и такой	1	1
301	с одним	1	1
302	пути и	2	1
303	по своей	2	1
304	людей не	1	1
305	потому что	16	1
306	только с	1	1
307	же до	1	1
308	у нас	5	1
309	всему этому	1	1
310	личности в	2	1
311	которых он	4	1
312	если он	5	1
313	и заключается	1	1
314	отличается от	2	1
315	бы он	1	1
316	как человек	1	1
317	судьба человека	9	1
318	и о	1	1
319	в виду	2	1
320	в ее	3	1
321	встреча с	1	1
322	рассудка и	2	1
323	это путь	1	1
324	слова а	1	1
325	в образе	1	1
326	с собой	3	1
327	в отношении	1	1
328	связан с	1	1
329	она была	1	1
330	поэтому в	1	1
331	из одного	1	1
332	о нем	2	1
333	но к	1	1
334	своей истории	1	1
335	и что	2	1
336	своеволия в	1	1
337	все его	3	1
338	может не	2	1
339	но когда	1	1
340	восходит к	1	1
341	к нему	7	1
342	с его	3	1
343	путь к	1	1
344	от них	1	1
345	себя от	1	1
346	это лишь	1	1
347	мире так	1	1
348	даже для	1	1
349	во внутренней	1	1
350	ее уже	1	1
351	сразу же	1	1
352	мы видим	2	1
353	на природу	2	1
354	хотя бы	3	1
355	и после	1	1
356	между этими	1	1
357	и ее	1	1
358	делает его	1	1
359	человека с	2	1
360	же и	1	1
361	этот вопрос	1	1
362	к земле	1	1
363	уже в	4	1
364	то и	1	1
365	в начале	2	1
366	не вне	1	1
367	признает не	1	1
368	мышления и	1	1
369	его и	1	1
370	сам не	2	1
371	проникает в	2	1
372	страсть к	1	1
373	так как	3	1
374	к ним	1	1
375	себе и	2	1
376	как его	1	1
377	характерны для	1	1
378	бы это	1	1
379	обращением к	1	1
380	рост и	1	1
381	и речи	1	1
382	и из	1	1
383	как у	1	1
384	в свою	2	1
385	характерно для	1	1
386	может показаться	1	1
387	себя и	3	1
388	обратиться к	1	1
389	близко к	1	1
390	у меня	1	1
391	есть лишь	9	1
392	существенно для	1	1
393	или человек	1	1
394	было для	1	1
395	долгое время	2	1
396	в ряду	1	1
397	произведения искусства	1	1
398	от свободы	2	1
399	душевной жизни	2	1
400	мира в	1	1
401	ближе к	1	1
402	если не	1	1
403	мире в	1	1
404	было в	1	1
405	но оно	1	1
406	эти слова	2	1
407	и потому	10	1
408	слова он	1	1
409	самого себя	2	1
410	ко всему	1	1
411	для человека	3	1
412	да и	1	1
413	человек всегда	1	1
414	можно принять	1	1
415	том смысле	2	1
416	и там	4	1
417	что же	1	1
418	с этой	4	1
419	только бога	1	1
420	его собственный	1	1
421	было сказано	1	1
422	под собой	1	1
423	что сознание	1	1
424	на которой	1	1
425	только для	1	1
426	и ад	6	1
427	за его	1	1
428	такой строй	1	1
429	и сама	2	1
430	не имея	1	1
431	прежде чем	2	1
432	его не	3	1
433	человек и	6	1
434	в отношения	1	1
435	ума не	1	1
436	для нас	3	1
437	от него	4	1
438	на периферию	1	1
439	или нет	1	1
440	к этой	2	1
441	тем более	1	1
442	и как	2	1
443	ни к	1	1
444	которое есть	1	1
445	будто бы	3	1
446	действительной жизни	1	1
447	но это	1	1
448	силы в	1	1
449	не одну	1	1
450	себя на	1	1
451	мысли о	2	1
452	отношении к	2	1
453	к ее	1	1
454	еще ничего	1	1
455	с ней	2	1
456	отношением к	1	1
457	остается на	1	1
458	не что	1	1
459	принимает ни	1	1
460	у которых	2	1
461	и жизнь	2	1
462	ли он	1	1
463	есть то	1	1
464	на это	1	1
465	значение в	1	1
466	смысле что	1	1
