N	2gram	Nazirov_Vr_1	Mirosoze
262	и почувствовал	1	1
263	так и	1	1
264	души и	1	1
265	не менее	2	1
266	рядом с	2	1
267	его ума	1	1
268	заявляет о	1	1
269	о влиянии	2	1
270	в период	2	1
271	в сторону	1	1
272	вокруг ставрогина	1	1
273	своего народа	1	1
274	нужно было	1	1
275	ключ к	1	1
276	было в	1	1
277	лишь один	1	1
278	с первого	1	1
279	его и	2	1
280	к которому	1	1
281	достоевским как	1	1
282	уже на	1	1
283	если в	1	1
284	что я	2	1
285	во всех	1	1
286	так в	2	1
287	характерно для	1	1
288	в другой	1	1
289	наряду с	3	1
290	достоевского на	3	1
291	об этом	5	1
292	чувств и	2	1
293	которой он	1	1
294	как великое	1	1
295	в одном	1	1
296	и наказания	2	1
297	в это	2	1
298	с ненавистью	1	1
299	петра верховенского	2	1
300	для россии	1	1
301	что только	1	1
302	собой в	1	1
303	у гоголя	1	1
304	за это	1	1
305	себя на	1	1
306	ставрогина –	1	1
307	же не	2	1
308	и наконец	1	1
309	хочет быть	1	1
310	связан с	1	1
311	больше было	1	1
312	к людям	1	1
313	не знали	1	1
314	на той	1	1
315	вплоть до	1	1
316	из него	1	1
317	в нашей	2	1
318	как ему	1	1
319	записках из	1	1
320	между тем	5	1
321	новых времен	1	1
322	еще более	1	1
323	жизнь и	1	1
324	во всем	1	1
325	имя его	1	1
326	отцов и	4	1
327	и сам	1	1
328	которой не	1	1
329	после этого	2	1
330	мысль на	3	1
331	проникнуть в	1	1
332	говорить об	1	1
333	он хочет	1	1
334	из всех	1	1
335	они не	1	1
336	в душе	1	1
337	не стоит	1	1
338	и нигилисты	1	1
339	и литературные	1	1
340	он считал	4	1
341	достоевский всегда	2	1
342	в силу	1	1
343	встреча с	1	1
344	и о	3	1
345	во многих	1	1
346	да и	1	1
347	а достоевский	2	1
348	можно найти	1	1
349	этот момент	2	1
350	всяком случае	1	1
351	к ним	2	1
352	под влиянием	1	1
353	и можно	1	1
354	энергии и	1	1
355	но ведь	1	1
356	писал о	1	1
357	не могло	1	1
358	и был	1	1
359	достоевский очень	1	1
360	это было	1	1
361	ему в	1	1
362	сам же	1	1
363	– явление	1	1
364	во время	2	1
365	человек который	1	1
366	от нас	1	1
367	влияния на	1	1
368	так же	4	1
369	можно признать	1	1
370	такая же	1	1
371	всех этих	1	1
372	ближе к	1	1
373	только от	1	1
374	от того	1	1
375	об этой	2	1
376	роль в	1	1
377	также что	1	1
378	он часто	1	1
379	во всей	1	1
380	ставрогина его	1	1
381	отношение достоевского	1	1
382	был врагом	1	1
383	себя как	1	1
384	свет достоевский	1	1
385	творчества достоевского	1	1
386	как к	1	1
387	людей достоевского	1	1
388	ставрогина с	2	1
389	верит в	1	1
390	истории –	1	1
391	записки из	2	1
392	ставрогина и	3	1
393	которым он	1	1
394	ли он	1	1
395	в своих	4	1
396	и никогда	1	1
397	быть и	1	1
398	книгу в	1	1
399	в записках	1	1
400	я не	3	1
401	нас в	1	1
402	сразу же	1	1
403	человеком в	1	1
404	достоевский имел	1	1
405	достоевского был	1	1
406	же он	1	1
407	в духе	1	1
408	но у	1	1
409	в частности	1	1
410	дома и	1	1
411	в россию	4	1
412	– это	6	1
413	время он	2	1
414	контраст между	1	1
415	тем более	2	1
416	доходит до	1	1
417	давно уже	3	1
418	одним словом	1	1
419	мертвого дома	1	1
420	николай ставрогин	2	1
421	ответ на	2	1
422	был также	1	1
423	и то	2	1
424	хотя в	1	1
425	письма достоевского	1	1
426	к себе	2	1
427	и речи	1	1
428	заключается в	1	1
429	вели к	1	1
430	имел в	3	1
431	достоевский пишет	1	1
432	достоевскому он	1	1
433	и даже	6	1
434	россии не	1	1
435	также в	1	1
436	ведь не	1	1
437	на большую	1	1
438	когда достоевский	1	1
439	как говорит	1	1
440	но это	2	1
441	относился к	3	1
442	ее уже	1	1
443	в русской	3	1
444	отличается не	1	1
